,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,1,Feb 24,0,1,0,0.0
10,1,Feb 25,0,0,0,0.0
11,1,Feb 26,0,0,0,0.0
12,1,Feb 27,0,0,0,0.0
13,1,Feb 28,0,0,0,0.0
14,1,Feb 29,0,0,0,0.0
15,1,Mar 01,0,0,0,0.0
16,1,Mar 02,0,0,0,0.0
17,1,Mar 03,0,0,0,0.0
18,1,Mar 04,0,0,0,0.0
19,1,Mar 05,0,0,0,0.0
20,1,Mar 06,0,0,0,0.0
21,4,Mar 07,0,3,0,0.0
22,4,Mar 08,0,0,0,0.0
23,4,Mar 09,0,0,0,0.0
24,5,Mar 10,0,1,0,0.0
25,7,Mar 11,0,2,0,0.0
26,7,Mar 12,0,0,0,0.0
27,7,Mar 13,0,0,0,0.0
28,11,Mar 14,0,4,0,0.0
29,16,Mar 15,0,5,0,0.0
30,21,Mar 16,0,5,0,0.0
31,22,Mar 17,0,1,0,0.0
32,22,Mar 18,0,0,0,0.0
33,22,Mar 19,0,0,0,0.0
34,24,Mar 20,0,2,0,0.0
35,24,Mar 21,0,0,0,0.0
36,40,Mar 22,1,16,1,0.025
37,40,Mar 23,1,0,0,0.025
38,74,Mar 24,1,34,0,0.013513513513513514
39,84,Mar 25,2,10,1,0.023809523809523808
40,94,Mar 26,4,10,2,0.0425531914893617
41,110,Mar 27,4,16,0,0.03636363636363636
42,110,Mar 28,4,0,0,0.03636363636363636
43,120,Mar 29,4,10,0,0.03333333333333333
44,170,Mar 30,4,50,0,0.023529411764705882
45,174,Mar 31,4,4,0,0.022988505747126436
46,237,Apr 01,4,63,0,0.016877637130801686
47,273,Apr 02,6,36,2,0.02197802197802198
48,281,Apr 03,6,8,0,0.021352313167259787
49,309,Apr 04,7,28,1,0.022653721682847898
50,349,Apr 05,7,40,0,0.02005730659025788
51,367,Apr 06,11,18,4,0.02997275204359673
52,423,Apr 07,14,56,3,0.03309692671394799
53,444,Apr 08,14,21,0,0.03153153153153153
54,484,Apr 09,15,40,1,0.030991735537190084
55,521,Apr 10,15,37,0,0.028790786948176585
56,555,Apr 11,18,34,3,0.032432432432432434
57,607,Apr 12,18,52,0,0.029654036243822075
58,665,Apr 13,21,58,3,0.031578947368421054
59,714,Apr 14,23,49,2,0.03221288515406162
60,784,Apr 15,25,70,2,0.03188775510204082
61,840,Apr 16,30,56,5,0.03571428571428571
62,906,Apr 17,30,66,0,0.033112582781456956
63,933,Apr 18,30,27,0,0.03215434083601286
64,996,Apr 19,33,63,3,0.03313253012048193
65,1026,Apr 20,36,30,3,0.03508771929824561
66,1092,Apr 21,36,66,0,0.03296703296703297
67,1176,Apr 22,40,84,4,0.034013605442176874
68,1279,Apr 23,42,103,2,0.0328381548084441
69,1351,Apr 24,43,72,1,0.03182827535159141
70,1463,Apr 25,47,112,4,0.03212576896787423
71,1531,Apr 26,50,68,3,0.032658393207054215
72,1703,Apr 27,57,172,7,0.03347034644744568
73,1828,Apr 28,58,125,1,0.03172866520787746
74,1939,Apr 29,60,111,2,0.030943785456420837
75,2171,Apr 30,64,232,4,0.02947950253339475
76,2335,May 01,68,164,4,0.029122055674518203
77,2469,May 02,72,134,4,0.02916160388821385
78,2704,May 03,85,235,13,0.03143491124260355
79,2894,May 04,90,190,5,0.031098825155494125
80,3224,May 05,95,330,5,0.02946650124069479
81,3392,May 06,104,168,9,0.030660377358490566
82,3563,May 07,106,171,2,0.029750210496772383
