,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,1,Feb 25,0,1,0,0.0
11,1,Feb 26,0,0,0,0.0
12,1,Feb 27,0,0,0,0.0
13,1,Feb 28,0,0,0,0.0
14,1,Feb 29,0,0,0,0.0
15,3,Mar 01,0,2,0,0.0
16,5,Mar 02,0,2,0,0.0
17,8,Mar 03,0,3,0,0.0
18,17,Mar 04,0,9,0,0.0
19,17,Mar 05,0,0,0,0.0
20,17,Mar 06,0,0,0,0.0
21,19,Mar 07,0,2,0,0.0
22,20,Mar 08,0,1,0,0.0
23,20,Mar 09,0,0,0,0.0
24,20,Mar 10,0,0,0,0.0
25,20,Mar 11,0,0,0,0.0
26,26,Mar 12,2,6,2,0.07692307692307693
27,26,Mar 13,2,0,0,0.07692307692307693
28,39,Mar 14,3,13,1,0.07692307692307693
29,54,Mar 15,4,15,1,0.07407407407407407
30,60,Mar 16,4,6,0,0.06666666666666667
31,61,Mar 17,5,1,1,0.08196721311475409
32,75,Mar 18,7,14,2,0.09333333333333334
33,90,Mar 19,9,15,2,0.1
34,94,Mar 20,11,4,2,0.11702127659574468
35,139,Mar 21,15,45,4,0.1079136690647482
36,201,Mar 22,17,62,2,0.0845771144278607
37,230,Mar 23,17,29,0,0.07391304347826087
38,264,Mar 24,19,34,2,0.07196969696969698
39,302,Mar 25,21,38,2,0.0695364238410596
40,367,Mar 26,25,65,4,0.0681198910081744
41,409,Mar 27,26,42,1,0.06356968215158924
42,454,Mar 28,29,45,3,0.06387665198237885
43,511,Mar 29,31,57,2,0.060665362035225046
44,584,Mar 30,35,73,4,0.059931506849315065
45,716,Mar 31,44,132,9,0.061452513966480445
46,847,Apr 01,58,131,14,0.06847697756788666
47,986,Apr 02,86,139,28,0.0872210953346856
48,1171,Apr 03,105,185,19,0.089666951323655
49,1251,Apr 04,130,80,25,0.10391686650679456
50,1320,Apr 05,152,69,22,0.11515151515151516
51,1423,Apr 06,173,103,21,0.12157413914265636
52,1468,Apr 07,193,45,20,0.13147138964577657
53,1572,Apr 08,205,104,12,0.13040712468193386
54,1666,Apr 09,235,94,30,0.14105642256902762
55,1761,Apr 10,256,95,21,0.14537194775695628
56,1825,Apr 11,275,64,19,0.1506849315068493
57,1914,Apr 12,293,89,18,0.15308254963427378
58,1983,Apr 13,313,69,20,0.1578416540595058
59,2070,Apr 14,326,87,13,0.157487922705314
60,2160,Apr 15,336,90,10,0.15555555555555556
61,2268,Apr 16,348,108,12,0.15343915343915343
62,2418,Apr 17,364,150,16,0.15053763440860216
63,2534,Apr 18,367,116,3,0.14483030781373324
64,2629,Apr 19,375,95,8,0.14263978699125143
65,2718,Apr 20,384,89,9,0.141280353200883
66,2811,Apr 21,392,93,8,0.13945215225898258
67,2910,Apr 22,402,99,10,0.13814432989690723
68,3007,Apr 23,407,97,5,0.13535084802128367
69,3127,Apr 24,415,120,8,0.13271506236008954
70,3256,Apr 25,419,129,4,0.1286855036855037
71,3382,Apr 26,425,126,6,0.12566528681253697
72,3517,Apr 27,432,135,7,0.12283195905601364
73,3649,Apr 28,437,132,5,0.11975883803781857
74,3848,Apr 29,444,199,7,0.11538461538461539
75,4006,Apr 30,450,158,6,0.11233150274588118
76,4154,May 01,453,148,3,0.1090515166104959
77,4295,May 02,459,141,6,0.10686845168800932
78,4474,May 03,463,179,4,0.10348681269557443
79,4648,May 04,465,174,2,0.10004302925989673
80,4838,May 05,470,190,5,0.09714758164530798
81,4997,May 06,476,159,6,0.09525715429257554
82,5182,May 07,483,185,7,0.0932072558857584
