,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,0,Mar 18,0,0,0,0.0
33,0,Mar 19,0,0,0,0.0
34,1,Mar 20,0,1,0,0.0
35,2,Mar 21,0,1,0,0.0
36,2,Mar 22,0,0,0,0.0
37,3,Mar 23,0,1,0,0.0
38,3,Mar 24,0,0,0,0.0
39,3,Mar 25,0,0,0,0.0
40,4,Mar 26,0,1,0,0.0
41,4,Mar 27,0,0,0,0.0
42,5,Mar 28,0,1,0,0.0
43,7,Mar 29,2,2,0,0.2857142857142857
44,7,Mar 30,2,0,0,0.2857142857142857
45,7,Mar 31,2,0,0,0.2857142857142857
46,8,Apr 01,2,1,0,0.25
47,8,Apr 02,2,0,0,0.25
48,8,Apr 03,2,0,0,0.25
49,10,Apr 04,2,2,0,0.2
50,14,Apr 05,2,4,0,0.14285714285714285
51,16,Apr 06,2,2,0,0.125
52,17,Apr 07,2,1,0,0.11764705882352941
53,19,Apr 08,2,2,0,0.10526315789473684
54,19,Apr 09,2,0,0,0.10526315789473684
55,19,Apr 10,2,0,0,0.10526315789473684
56,19,Apr 11,2,0,0,0.10526315789473684
57,19,Apr 12,2,0,0,0.10526315789473684
58,19,Apr 13,2,0,0,0.10526315789473684
59,19,Apr 14,2,0,0,0.10526315789473684
60,19,Apr 15,2,0,0,0.10526315789473684
61,19,Apr 16,2,0,0,0.10526315789473684
62,19,Apr 17,2,0,0,0.10526315789473684
63,24,Apr 18,2,5,0,0.08333333333333333
64,24,Apr 19,2,0,0,0.08333333333333333
65,24,Apr 20,2,0,0,0.08333333333333333
66,24,Apr 21,2,0,0,0.08333333333333333
67,25,Apr 22,2,1,0,0.08
68,25,Apr 23,2,0,0,0.08
69,25,Apr 24,2,0,0,0.08
70,25,Apr 25,2,0,0,0.08
71,26,Apr 26,2,1,0,0.07692307692307693
72,27,Apr 27,2,1,0,0.07407407407407407
73,27,Apr 28,2,0,0,0.07407407407407407
74,27,Apr 29,2,0,0,0.07407407407407407
75,27,Apr 30,2,0,0,0.07407407407407407
76,30,May 01,2,3,0,0.06666666666666667
77,35,May 02,2,5,0,0.05714285714285714
78,35,May 03,2,0,0,0.05714285714285714
79,35,May 04,2,0,0,0.05714285714285714
80,36,May 05,2,1,0,0.05555555555555555
81,36,May 06,2,0,0,0.05555555555555555
82,36,May 07,2,0,0,0.05555555555555555
