,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,1,Mar 03,0,1,0,0.0
18,1,Mar 04,0,0,0,0.0
19,2,Mar 05,0,1,0,0.0
20,8,Mar 06,0,6,0,0.0
21,9,Mar 07,1,1,0,0.1111111111111111
22,12,Mar 08,1,3,0,0.08333333333333333
23,17,Mar 09,1,5,0,0.058823529411764705
24,19,Mar 10,1,2,0,0.05263157894736842
25,21,Mar 11,1,2,0,0.047619047619047616
26,31,Mar 12,1,10,0,0.03225806451612903
27,34,Mar 13,2,3,1,0.058823529411764705
28,45,Mar 14,2,11,0,0.044444444444444446
29,56,Mar 15,2,11,0,0.03571428571428571
30,65,Mar 16,2,9,0,0.03076923076923077
31,79,Mar 17,2,14,0,0.02531645569620253
32,97,Mar 18,2,18,0,0.020618556701030927
33,128,Mar 19,3,31,1,0.0234375
34,158,Mar 20,3,30,0,0.0189873417721519
35,158,Mar 21,4,0,1,0.02531645569620253
36,266,Mar 22,4,108,0,0.015037593984962405
37,301,Mar 23,4,35,0,0.013289036544850499
38,387,Mar 24,6,86,2,0.015503875968992248
39,502,Mar 25,8,115,2,0.01593625498007968
40,589,Mar 26,12,87,4,0.02037351443123939
41,589,Mar 27,13,0,1,0.022071307300509338
42,745,Mar 28,19,156,6,0.025503355704697986
43,820,Mar 29,20,75,1,0.024390243902439025
44,820,Mar 30,23,0,3,0.02804878048780488
45,1054,Mar 31,27,234,4,0.025616698292220113
46,1133,Apr 01,32,79,5,0.02824360105913504
47,1265,Apr 02,36,132,4,0.028458498023715414
48,1353,Apr 03,42,88,6,0.031042128603104215
49,1451,Apr 04,43,98,1,0.029634734665747762
50,1554,Apr 05,46,103,3,0.029601029601029602
51,1628,Apr 06,53,74,7,0.032555282555282554
52,1715,Apr 07,60,87,7,0.03498542274052478
53,1795,Apr 08,65,80,5,0.036211699164345405
54,1894,Apr 09,79,99,14,0.04171066525871172
55,1975,Apr 10,82,81,3,0.04151898734177215
56,2142,Apr 11,89,167,7,0.041549953314659195
57,2142,Apr 12,90,0,1,0.04201680672268908
58,2277,Apr 13,98,135,8,0.043039086517347384
59,2277,Apr 14,102,0,4,0.04479578392621871
60,2571,Apr 15,112,294,10,0.043562816024893036
61,2669,Apr 16,122,98,10,0.04571000374672162
62,2669,Apr 17,123,0,1,0.046084675908579995
63,2839,Apr 18,132,170,9,0.04649524480450863
64,2941,Apr 19,134,102,2,0.045562733764025844
65,3031,Apr 20,142,90,8,0.04684922467832398
66,3144,Apr 21,151,113,9,0.04802798982188295
67,3288,Apr 22,159,144,8,0.048357664233576646
68,3435,Apr 23,165,147,6,0.048034934497816595
69,3607,Apr 24,176,172,11,0.048794011644025505
70,3780,Apr 25,185,173,9,0.04894179894179894
71,3892,Apr 26,192,112,7,0.04933196300102775
72,4003,Apr 27,197,111,5,0.04921309018236323
73,4127,Apr 28,207,124,10,0.0501574993942331
74,4285,Apr 29,214,158,7,0.049941656942823806
75,4428,Apr 30,218,143,4,0.04923215898825655
76,4532,May 01,225,104,7,0.04964695498676081
77,4681,May 02,237,149,12,0.05063020722067934
78,4783,May 03,246,102,9,0.05143215555090947
79,4887,May 04,260,104,14,0.053202373644362595
80,5020,May 05,264,133,4,0.05258964143426295
81,5208,May 06,273,188,9,0.05241935483870968
82,5371,May 07,282,163,9,0.05250418916402905
