,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,1,Mar 01,0,1,0,0.0
16,1,Mar 02,0,0,0,0.0
17,1,Mar 03,0,0,0,0.0
18,1,Mar 04,0,0,0,0.0
19,1,Mar 05,0,0,0,0.0
20,1,Mar 06,0,0,0,0.0
21,1,Mar 07,0,0,0,0.0
22,1,Mar 08,0,0,0,0.0
23,1,Mar 09,0,0,0,0.0
24,1,Mar 10,0,0,0,0.0
25,1,Mar 11,0,0,0,0.0
26,6,Mar 12,0,5,0,0.0
27,8,Mar 13,0,2,0,0.0
28,20,Mar 14,0,12,0,0.0
29,28,Mar 15,0,8,0,0.0
30,52,Mar 16,0,24,0,0.0
31,78,Mar 17,0,26,0,0.0
32,110,Mar 18,0,32,0,0.0
33,122,Mar 19,0,12,0,0.0
34,136,Mar 20,0,14,0,0.0
35,160,Mar 21,0,24,0,0.0
36,194,Mar 22,0,34,0,0.0
37,235,Mar 23,0,41,0,0.0
38,249,Mar 24,0,14,0,0.0
39,265,Mar 25,0,16,0,0.0
40,290,Mar 26,1,25,1,0.0034482758620689655
41,329,Mar 27,1,39,0,0.00303951367781155
42,407,Mar 28,1,78,0,0.002457002457002457
43,424,Mar 29,3,17,2,0.007075471698113208
44,482,Mar 30,3,58,0,0.006224066390041493
45,532,Mar 31,3,50,0,0.005639097744360902
46,571,Apr 01,4,39,1,0.0070052539404553416
47,663,Apr 02,7,92,3,0.010558069381598794
48,736,Apr 03,7,73,0,0.009510869565217392
49,770,Apr 04,7,34,0,0.00909090909090909
50,822,Apr 05,7,52,0,0.00851581508515815
51,833,Apr 06,8,11,1,0.009603841536614645
52,853,Apr 07,8,20,0,0.009378663540445486
53,881,Apr 08,9,28,1,0.01021566401816118
54,921,Apr 09,10,40,1,0.010857763300760043
55,937,Apr 10,12,16,2,0.012806830309498399
56,967,Apr 11,13,30,1,0.01344364012409514
57,1013,Apr 12,13,46,0,0.012833168805528134
58,1039,Apr 13,14,26,1,0.013474494706448507
59,1067,Apr 14,16,28,2,0.01499531396438613
60,1111,Apr 15,17,44,1,0.0153015301530153
61,1159,Apr 16,18,48,1,0.015530629853321829
62,1201,Apr 17,19,42,1,0.01582014987510408
63,1248,Apr 18,20,47,1,0.016025641025641024
64,1291,Apr 19,20,43,0,0.015491866769945779
65,1339,Apr 20,22,48,2,0.016430171769977596
66,1401,Apr 21,24,62,2,0.017130620985010708
67,1473,Apr 22,24,72,0,0.016293279022403257
68,1523,Apr 23,24,50,0,0.015758371634931056
69,1596,Apr 24,27,73,3,0.016917293233082706
70,1677,Apr 25,28,81,1,0.016696481812760882
71,1746,Apr 26,28,69,0,0.016036655211912942
72,1808,Apr 27,29,62,1,0.016039823008849558
73,1867,Apr 28,30,59,1,0.016068559185859668
74,1932,Apr 29,30,65,0,0.015527950310559006
75,2066,Apr 30,32,134,2,0.015488867376573089
76,2148,May 01,33,82,1,0.015363128491620111
77,2273,May 02,33,125,0,0.014518257809062912
78,2386,May 03,35,113,2,0.014668901927912825
79,2507,May 04,39,121,4,0.015556441962504986
80,2619,May 05,40,112,1,0.015273004963726614
81,2782,May 06,40,163,0,0.014378145219266714
82,2884,May 07,42,102,2,0.014563106796116505
