,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,2,Mar 13,0,2,0,0.0
28,2,Mar 14,0,0,0,0.0
29,2,Mar 15,0,0,0,0.0
30,2,Mar 16,0,0,0,0.0
31,3,Mar 17,0,1,0,0.0
32,4,Mar 18,0,1,0,0.0
33,5,Mar 19,0,1,0,0.0
34,5,Mar 20,0,0,0,0.0
35,5,Mar 21,0,0,0,0.0
36,9,Mar 22,0,4,0,0.0
37,9,Mar 23,0,0,0,0.0
38,17,Mar 24,0,8,0,0.0
39,19,Mar 25,0,2,0,0.0
40,28,Mar 26,0,9,0,0.0
41,33,Mar 27,0,5,0,0.0
42,46,Mar 28,0,13,0,0.0
43,50,Mar 29,0,4,0,0.0
44,50,Mar 30,0,0,0,0.0
45,55,Mar 31,0,5,0,0.0
46,55,Apr 01,0,0,0,0.0
47,60,Apr 02,0,5,0,0.0
48,62,Apr 03,0,2,0,0.0
49,64,Apr 04,0,2,0,0.0
50,64,Apr 05,0,0,0,0.0
51,71,Apr 06,0,7,0,0.0
52,74,Apr 07,0,3,0,0.0
53,77,Apr 08,0,3,0,0.0
54,82,Apr 09,0,5,0,0.0
55,86,Apr 10,0,4,0,0.0
56,92,Apr 11,0,6,0,0.0
57,92,Apr 12,0,0,0,0.0
58,92,Apr 13,0,0,0,0.0
59,92,Apr 14,0,0,0,0.0
60,93,Apr 15,1,1,0,0.010752688172043012
61,95,Apr 16,2,2,1,0.021052631578947368
62,96,Apr 17,2,1,0,0.020833333333333332
63,96,Apr 18,2,0,0,0.020833333333333332
64,97,Apr 19,2,1,0,0.020618556701030927
65,97,Apr 20,2,0,0,0.020618556701030927
66,97,Apr 21,2,0,0,0.020618556701030927
67,100,Apr 22,2,3,0,0.02
68,100,Apr 23,2,0,0,0.02
69,100,Apr 24,2,0,0,0.02
70,100,Apr 25,2,0,0,0.02
71,100,Apr 26,2,0,0,0.02
72,100,Apr 27,2,0,0,0.02
73,100,Apr 28,2,0,0,0.02
74,100,Apr 29,2,0,0,0.02
75,100,Apr 30,2,0,0,0.02
76,100,May 01,2,0,0,0.02
77,100,May 02,2,0,0,0.02
78,100,May 03,2,0,0,0.02
79,100,May 04,2,0,0,0.02
80,101,May 05,2,1,0,0.019801980198019802
81,101,May 06,2,0,0,0.019801980198019802
82,101,May 07,3,0,1,0.0297029702970297
