,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,15,Feb 15,0,0,0,0.0
1,15,Feb 16,0,0,0,0.0
2,15,Feb 17,0,0,0,0.0
3,15,Feb 18,0,0,0,0.0
4,15,Feb 19,0,0,0,0.0
5,17,Feb 20,0,2,0,0.0
6,19,Feb 21,0,2,0,0.0
7,21,Feb 22,0,2,0,0.0
8,22,Feb 23,0,1,0,0.0
9,22,Feb 24,0,0,0,0.0
10,22,Feb 25,0,0,0,0.0
11,23,Feb 26,0,1,0,0.0
12,23,Feb 27,0,0,0,0.0
13,25,Feb 28,0,2,0,0.0
14,25,Feb 29,0,0,0,0.0
15,29,Mar 01,1,4,1,0.034482758620689655
16,33,Mar 02,1,4,0,0.030303030303030304
17,39,Mar 03,1,6,0,0.02564102564102564
18,53,Mar 04,2,14,1,0.03773584905660377
19,60,Mar 05,2,7,0,0.03333333333333333
20,63,Mar 06,2,3,0,0.031746031746031744
21,74,Mar 07,3,11,1,0.04054054054054054
22,83,Mar 08,3,9,0,0.03614457831325301
23,93,Mar 09,3,10,0,0.03225806451612903
24,116,Mar 10,3,23,0,0.02586206896551724
25,128,Mar 11,3,12,0,0.0234375
26,156,Mar 12,3,28,0,0.019230769230769232
27,199,Mar 13,3,43,0,0.01507537688442211
28,248,Mar 14,3,49,0,0.012096774193548387
29,300,Mar 15,5,52,2,0.016666666666666666
30,401,Mar 16,5,101,0,0.012468827930174564
31,455,Mar 17,5,54,0,0.01098901098901099
32,596,Mar 18,6,141,1,0.010067114093959731
33,756,Mar 19,7,160,1,0.009259259259259259
34,928,Mar 20,7,172,0,0.007543103448275862
35,1072,Mar 21,7,144,0,0.0065298507462686565
36,1609,Mar 22,7,537,0,0.00435052827843381
37,1887,Mar 23,7,278,0,0.0037095919448860626
38,2317,Mar 24,8,430,1,0.0034527406128614588
39,2676,Mar 25,11,359,3,0.004110612855007474
40,3050,Mar 26,13,374,2,0.0042622950819672135
41,3378,Mar 27,13,328,0,0.0038484310242747188
42,3635,Mar 28,14,257,1,0.0038514442916093533
43,4163,Mar 29,17,528,3,0.004083593562334855
44,4460,Mar 30,19,297,2,0.004260089686098654
45,4763,Mar 31,20,303,1,0.004199034222128911
46,5048,Apr 01,23,285,3,0.0045562599049128365
47,5314,Apr 02,25,266,2,0.004704554008280015
48,5454,Apr 03,28,140,3,0.005133846718005134
49,5550,Apr 04,30,96,2,0.005405405405405406
50,5750,Apr 05,37,200,7,0.006434782608695652
51,5895,Apr 06,45,145,8,0.007633587786259542
52,5988,Apr 07,49,93,4,0.008183032732130929
53,6052,Apr 08,50,64,1,0.008261731658955718
54,6152,Apr 09,51,100,1,0.00828998699609883
55,6238,Apr 10,54,86,3,0.008656620711766592
56,6303,Apr 11,56,65,2,0.008884658099317785
57,6313,Apr 12,59,10,3,0.009345794392523364
58,6359,Apr 13,61,46,2,0.00959270325522881
59,6400,Apr 14,61,41,0,0.00953125
60,6447,Apr 15,63,47,2,0.009771986970684038
61,6468,Apr 16,63,21,0,0.00974025974025974
62,6533,Apr 17,65,65,2,0.00994948721873565
63,6586,Apr 18,70,53,5,0.010628606134224112
64,6612,Apr 19,71,26,1,0.01073805202661827
65,6625,Apr 20,71,13,0,0.010716981132075473
66,6645,Apr 21,71,20,0,0.010684725357411587
67,6649,Apr 22,74,4,3,0.011129493156865695
68,6667,Apr 23,75,18,1,0.011249437528123594
69,6675,Apr 24,79,8,4,0.011835205992509363
70,6695,Apr 25,80,20,1,0.01194921583271098
71,6716,Apr 26,83,21,3,0.01235854675402025
72,6720,Apr 27,83,4,0,0.012351190476190476
73,6738,Apr 28,88,18,5,0.013060255268625705
74,6746,Apr 29,89,8,1,0.013193003261191818
75,6754,Apr 30,92,8,3,0.013621557595498964
76,6767,May 01,93,13,1,0.01374316536131225
77,6781,May 02,93,14,0,0.013714791328712578
78,6801,May 03,95,20,2,0.013968534039111895
79,6825,May 04,95,24,0,0.01391941391941392
80,6849,May 05,96,24,1,0.01401664476565922
81,6875,May 06,97,26,1,0.01410909090909091
82,6896,May 07,97,21,0,0.014066125290023202
