,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,1,Feb 28,0,1,0,0.0
14,3,Feb 29,0,2,0,0.0
15,3,Mar 01,0,0,0,0.0
16,3,Mar 02,0,0,0,0.0
17,3,Mar 03,0,0,0,0.0
18,3,Mar 04,0,0,0,0.0
19,6,Mar 05,0,3,0,0.0
20,9,Mar 06,0,3,0,0.0
21,9,Mar 07,0,0,0,0.0
22,9,Mar 08,0,0,0,0.0
23,9,Mar 09,0,0,0,0.0
24,11,Mar 10,0,2,0,0.0
25,11,Mar 11,0,0,0,0.0
26,15,Mar 12,1,4,1,0.06666666666666667
27,15,Mar 13,1,0,0,0.06666666666666667
28,19,Mar 14,1,4,0,0.05263157894736842
29,23,Mar 15,1,4,0,0.043478260869565216
30,25,Mar 16,1,2,0,0.04
31,34,Mar 17,1,9,0,0.029411764705882353
32,34,Mar 18,1,0,0,0.029411764705882353
33,44,Mar 19,1,10,0,0.022727272727272728
34,44,Mar 20,1,0,0,0.022727272727272728
35,53,Mar 21,1,9,0,0.018867924528301886
36,65,Mar 22,1,12,0,0.015384615384615385
37,72,Mar 23,1,7,0,0.013888888888888888
38,87,Mar 24,1,15,0,0.011494252873563218
39,93,Mar 25,2,6,1,0.021505376344086023
40,122,Mar 26,3,29,1,0.02459016393442623
41,165,Mar 27,3,43,0,0.01818181818181818
42,182,Mar 28,4,17,1,0.02197802197802198
43,209,Mar 29,4,27,0,0.019138755980861243
44,273,Mar 30,4,64,0,0.014652014652014652
45,298,Mar 31,5,25,1,0.016778523489932886
46,359,Apr 01,5,61,0,0.013927576601671309
47,400,Apr 02,5,41,0,0.0125
48,443,Apr 03,5,43,0,0.011286681715575621
49,521,Apr 04,5,78,0,0.009596928982725527
50,584,Apr 05,7,63,2,0.011986301369863013
51,641,Apr 06,7,57,0,0.0109204368174727
52,717,Apr 07,8,76,1,0.011157601115760111
53,822,Apr 08,8,105,0,0.009732360097323601
54,926,Apr 09,9,104,1,0.009719222462203024
55,991,Apr 10,10,65,1,0.010090817356205853
56,1058,Apr 11,11,67,1,0.010396975425330813
57,1098,Apr 12,11,40,0,0.010018214936247723
58,1148,Apr 13,12,50,1,0.010452961672473868
59,1197,Apr 14,13,49,1,0.01086048454469507
60,1253,Apr 15,13,56,0,0.010375099760574621
61,1283,Apr 16,15,30,2,0.011691348402182385
62,1340,Apr 17,15,57,0,0.011194029850746268
63,1373,Apr 18,18,33,3,0.013109978150036417
64,1398,Apr 19,19,25,1,0.013590844062947067
65,1436,Apr 20,19,38,0,0.013231197771587743
66,1480,Apr 21,20,44,1,0.013513513513513514
67,1518,Apr 22,20,38,0,0.013175230566534914
68,1548,Apr 23,20,30,0,0.012919896640826873
69,1592,Apr 24,21,44,1,0.013190954773869347
70,1617,Apr 25,21,25,0,0.012987012987012988
71,1645,Apr 26,21,28,0,0.01276595744680851
72,1678,Apr 27,22,33,1,0.013110846245530394
73,1717,Apr 28,22,39,0,0.0128130460104834
74,1766,Apr 29,23,49,1,0.013023782559456399
75,1804,Apr 30,24,38,1,0.013303769401330377
76,1854,May 01,25,50,1,0.01348435814455232
77,1894,May 02,25,40,0,0.013199577613516367
78,1932,May 03,25,38,0,0.012939958592132506
79,1984,May 04,26,52,1,0.01310483870967742
80,2060,May 05,26,76,0,0.01262135922330097
81,2127,May 06,28,67,2,0.013164080865068171
82,2204,May 07,28,77,0,0.012704174228675136
