,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,2,Feb 24,0,2,0,0.0
10,23,Feb 25,0,21,0,0.0
11,33,Feb 26,0,10,0,0.0
12,33,Feb 27,0,0,0,0.0
13,38,Feb 28,0,5,0,0.0
14,41,Feb 29,0,3,0,0.0
15,47,Mar 01,0,6,0,0.0
16,49,Mar 02,0,2,0,0.0
17,49,Mar 03,0,0,0,0.0
18,52,Mar 04,0,3,0,0.0
19,55,Mar 05,0,3,0,0.0
20,60,Mar 06,0,5,0,0.0
21,85,Mar 07,0,25,0,0.0
22,85,Mar 08,0,0,0,0.0
23,109,Mar 09,0,24,0,0.0
24,110,Mar 10,0,1,0,0.0
25,195,Mar 11,0,85,0,0.0
26,197,Mar 12,0,2,0,0.0
27,210,Mar 13,0,13,0,0.0
28,212,Mar 14,0,2,0,0.0
29,214,Mar 15,0,2,0,0.0
30,228,Mar 16,1,14,1,0.0043859649122807015
31,241,Mar 17,1,13,0,0.004149377593360996
32,256,Mar 18,1,15,0,0.00390625
33,279,Mar 19,1,23,0,0.0035842293906810036
34,298,Mar 20,1,19,0,0.003355704697986577
35,310,Mar 21,1,12,0,0.0032258064516129032
36,334,Mar 22,2,24,1,0.005988023952095809
37,377,Mar 23,2,43,0,0.005305039787798408
38,392,Mar 24,3,15,1,0.007653061224489796
39,419,Mar 25,4,27,1,0.00954653937947494
40,458,Mar 26,4,39,0,0.008733624454148471
41,466,Mar 27,4,8,0,0.008583690987124463
42,476,Mar 28,4,10,0,0.008403361344537815
43,499,Mar 29,4,23,0,0.008016032064128256
44,515,Mar 30,4,16,0,0.007766990291262136
45,567,Mar 31,4,52,0,0.007054673721340388
46,569,Apr 01,4,2,0,0.007029876977152899
47,643,Apr 02,4,74,0,0.006220839813374806
48,672,Apr 03,4,29,0,0.005952380952380952
49,688,Apr 04,4,16,0,0.005813953488372093
50,700,Apr 05,4,12,0,0.005714285714285714
51,756,Apr 06,4,56,0,0.005291005291005291
52,811,Apr 07,5,55,1,0.006165228113440197
53,823,Apr 08,5,12,0,0.006075334143377886
54,887,Apr 09,5,64,0,0.005636978579481398
55,925,Apr 10,6,38,1,0.006486486486486486
56,1040,Apr 11,6,115,0,0.0057692307692307696
57,1136,Apr 12,6,96,0,0.00528169014084507
58,1361,Apr 13,6,225,0,0.00440852314474651
59,1528,Apr 14,7,167,1,0.004581151832460733
60,1671,Apr 15,7,143,0,0.004189108318372232
61,1700,Apr 16,7,29,0,0.00411764705882353
62,1740,Apr 17,7,40,0,0.004022988505747126
63,1773,Apr 18,7,33,0,0.003948110547095319
64,1881,Apr 19,7,108,0,0.003721424774056353
65,1907,Apr 20,7,26,0,0.0036706869428421605
66,1973,Apr 21,7,66,0,0.0035478966041561076
67,2027,Apr 22,7,54,0,0.003453379378391712
68,2217,Apr 23,8,190,1,0.0036084799278304014
69,2518,Apr 24,8,301,0,0.003177124702144559
70,2588,Apr 25,8,70,0,0.0030911901081916537
71,2647,Apr 26,8,59,0,0.003022289384208538
72,2723,Apr 27,8,76,0,0.0029379360998898272
73,2811,Apr 28,8,88,0,0.002845962290999644
74,2921,Apr 29,8,110,0,0.0027387880862718246
75,3040,Apr 30,8,119,0,0.002631578947368421
76,3170,May 01,8,130,0,0.002523659305993691
77,3284,May 02,8,114,0,0.00243605359317905
78,3383,May 03,8,99,0,0.0023647650014779783
79,3533,May 04,8,150,0,0.0022643645626945937
80,3720,May 05,8,187,0,0.002150537634408602
81,3934,May 06,8,214,0,0.0020335536349771225
82,4199,May 07,8,265,0,0.0019052155275065491
