,Cases,Deaths,Daily Cases,Daily Deaths,CFR
0,0,0,0,0,0.0
1,0,0,0,0,0.0
2,0,0,0,0,0.0
3,0,0,0,0,0.0
4,0,0,0,0,0.0
5,0,0,0,0,0.0
6,0,0,0,0,0.0
7,0,0,0,0,0.0
8,0,0,0,0,0.0
9,0,0,0,0,0.0
10,0,0,0,0,0.0
11,0,0,0,0,0.0
12,0,0,0,0,0.0
13,1,0,1,0,0.0
14,1,0,0,0,0.0
15,1,0,0,0,0.0
16,1,0,0,0,0.0
17,4,0,3,0,0.0
18,6,0,2,0,0.0
19,6,0,0,0,0.0
20,6,0,0,0,0.0
21,6,0,0,0,0.0
22,6,0,0,0,0.0
23,6,0,0,0,0.0
24,9,0,3,0,0.0
25,9,0,0,0,0.0
26,21,0,12,0,0.0
27,27,0,6,0,0.0
28,27,0,0,0,0.0
29,27,0,0,0,0.0
30,36,0,9,0,0.0
31,36,0,0,0,0.0
32,51,0,15,0,0.0
33,51,0,0,0,0.0
34,69,0,18,0,0.0
35,76,0,7,0,0.0
36,76,0,0,0,0.0
37,81,0,5,0,0.0
38,81,0,0,0,0.0
39,86,0,5,0,0.0
40,86,0,0,0,0.0
41,94,0,8,0,0.0
42,94,0,0,0,0.0
43,94,0,0,0,0.0
44,152,0,58,0,0.0
45,152,1,0,1,0.006578947368421052
46,163,2,11,1,0.012269938650306749
47,304,4,141,2,0.013157894736842105
48,351,4,47,0,0.011396011396011397
49,440,5,89,1,0.011363636363636364
50,562,8,122,3,0.014234875444839857
51,700,13,138,5,0.018571428571428572
52,861,13,161,0,0.015098722415795587
53,1066,13,205,0,0.012195121951219513
54,1486,16,420,3,0.010767160161507403
55,1981,19,495,3,0.009591115598182737
56,2226,23,245,4,0.010332434860736747
57,2578,26,352,3,0.01008533747090768
58,2919,29,341,3,0.009934909215484755
59,3281,33,362,4,0.010057909174032308
60,3728,36,447,3,0.009656652360515022
61,4204,40,476,4,0.009514747859181731
62,4779,42,575,2,0.008788449466415568
63,4779,45,0,3,0.009416195856873822
64,4779,47,0,2,0.00983469345051266
65,6264,51,1485,4,0.008141762452107279
66,6723,55,459,4,0.008180871634686896
67,7281,58,558,3,0.00796593874467793
68,8022,60,741,2,0.0074794315632011965
69,8773,63,751,3,0.007181123902883848
70,9590,67,817,4,0.006986444212721585
71,10463,72,873,5,0.006881391570295326
72,11289,75,826,3,0.006643635397289397
73,12208,79,919,4,0.006471166448230668
74,13181,84,973,5,0.006372809346787042
75,14027,89,846,5,0.006344906252227846
76,14917,93,890,4,0.006234497553127305
77,15828,97,911,4,0.00612838008592368
78,16705,99,877,2,0.005926369350493864
79,17489,103,784,4,0.005889416204471382
80,18350,107,861,4,0.005831062670299728
81,19255,112,905,5,0.0058166709945468706
