,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,1,Mar 16,0,1,0,0.0
31,1,Mar 17,0,0,0,0.0
32,2,Mar 18,0,1,0,0.0
33,2,Mar 19,0,0,0,0.0
34,2,Mar 20,0,0,0,0.0
35,2,Mar 21,0,0,0,0.0
36,2,Mar 22,0,0,0,0.0
37,6,Mar 23,0,4,0,0.0
38,6,Mar 24,0,0,0,0.0
39,6,Mar 25,0,0,0,0.0
40,6,Mar 26,0,0,0,0.0
41,6,Mar 27,0,0,0,0.0
42,6,Mar 28,0,0,0,0.0
43,6,Mar 29,0,0,0,0.0
44,6,Mar 30,0,0,0,0.0
45,9,Mar 31,0,3,0,0.0
46,13,Apr 01,0,4,0,0.0
47,13,Apr 02,0,0,0,0.0
48,16,Apr 03,0,3,0,0.0
49,16,Apr 04,0,0,0,0.0
50,22,Apr 05,0,6,0,0.0
51,26,Apr 06,1,4,0,0.038461538461538464
52,26,Apr 07,1,0,0,0.038461538461538464
53,26,Apr 08,1,0,0,0.038461538461538464
54,26,Apr 09,1,0,0,0.038461538461538464
55,35,Apr 10,1,9,0,0.02857142857142857
56,35,Apr 11,1,0,0,0.02857142857142857
57,35,Apr 12,1,0,0,0.02857142857142857
58,35,Apr 13,1,0,0,0.02857142857142857
59,35,Apr 14,1,0,0,0.02857142857142857
60,35,Apr 15,1,0,0,0.02857142857142857
61,35,Apr 16,1,0,0,0.02857142857142857
62,35,Apr 17,1,0,0,0.02857142857142857
63,35,Apr 18,1,0,0,0.02857142857142857
64,35,Apr 19,1,0,0,0.02857142857142857
65,54,Apr 20,1,19,0,0.018518518518518517
66,54,Apr 21,1,0,0,0.018518518518518517
67,54,Apr 22,1,0,0,0.018518518518518517
68,54,Apr 23,1,0,0,0.018518518518518517
69,54,Apr 24,1,0,0,0.018518518518518517
70,54,Apr 25,1,0,0,0.018518518518518517
71,64,Apr 26,1,10,0,0.015625
72,64,Apr 27,1,0,0,0.015625
73,64,Apr 28,1,0,0,0.015625
74,64,Apr 29,1,0,0,0.015625
75,64,Apr 30,1,0,0,0.015625
76,90,May 01,2,26,1,0.022222222222222223
77,90,May 02,2,0,0,0.022222222222222223
78,90,May 03,2,0,0,0.022222222222222223
79,96,May 04,2,6,0,0.020833333333333332
80,96,May 05,2,0,0,0.020833333333333332
81,96,May 06,2,0,0,0.020833333333333332
82,140,May 07,2,44,0,0.014285714285714285
