,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,2,Mar 18,0,2,0,0.0
33,2,Mar 19,0,0,0,0.0
34,2,Mar 20,0,0,0,0.0
35,2,Mar 21,0,0,0,0.0
36,6,Mar 22,0,4,0,0.0
37,6,Mar 23,0,0,0,0.0
38,6,Mar 24,0,0,0,0.0
39,7,Mar 25,0,1,0,0.0
40,15,Mar 26,0,8,0,0.0
41,17,Mar 27,0,2,0,0.0
42,17,Mar 28,0,0,0,0.0
43,22,Mar 29,0,5,0,0.0
44,27,Mar 30,0,5,0,0.0
45,32,Mar 31,0,5,0,0.0
46,32,Apr 01,0,0,0,0.0
47,35,Apr 02,0,3,0,0.0
48,35,Apr 03,0,0,0,0.0
49,37,Apr 04,0,2,0,0.0
50,37,Apr 05,0,0,0,0.0
51,39,Apr 06,2,2,0,0.05128205128205128
52,39,Apr 07,2,0,0,0.05128205128205128
53,39,Apr 08,3,0,1,0.07692307692307693
54,48,Apr 09,4,9,1,0.08333333333333333
55,48,Apr 10,4,0,0,0.08333333333333333
56,48,Apr 11,4,0,0,0.08333333333333333
57,57,Apr 12,4,9,0,0.07017543859649122
58,57,Apr 13,5,0,1,0.08771929824561403
59,57,Apr 14,5,0,0,0.08771929824561403
60,81,Apr 15,5,24,0,0.06172839506172839
61,81,Apr 16,5,0,0,0.06172839506172839
62,83,Apr 17,5,2,0,0.060240963855421686
63,83,Apr 18,5,0,0,0.060240963855421686
64,86,Apr 19,5,3,0,0.05813953488372093
65,89,Apr 20,5,3,0,0.056179775280898875
66,98,Apr 21,5,9,0,0.05102040816326531
67,99,Apr 22,5,1,0,0.050505050505050504
68,99,Apr 23,5,0,0,0.050505050505050504
69,99,Apr 24,5,0,0,0.050505050505050504
70,109,Apr 25,5,10,0,0.045871559633027525
71,109,Apr 26,5,0,0,0.045871559633027525
72,110,Apr 27,6,1,1,0.05454545454545454
73,110,Apr 28,6,0,0,0.05454545454545454
74,111,Apr 29,6,1,0,0.05405405405405406
75,114,Apr 30,6,3,0,0.05263157894736842
76,114,May 01,6,0,0,0.05263157894736842
77,114,May 02,7,0,1,0.06140350877192982
78,115,May 03,7,1,0,0.06086956521739131
79,115,May 04,7,0,0,0.06086956521739131
80,115,May 05,7,0,0,0.06086956521739131
81,118,May 06,7,3,0,0.059322033898305086
82,118,May 07,7,0,0,0.059322033898305086
