,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,2,Mar 05,0,2,0,0.0
20,3,Mar 06,0,1,0,0.0
21,3,Mar 07,0,0,0,0.0
22,3,Mar 08,0,0,0,0.0
23,5,Mar 09,0,2,0,0.0
24,7,Mar 10,0,2,0,0.0
25,7,Mar 11,0,0,0,0.0
26,11,Mar 12,0,4,0,0.0
27,18,Mar 13,0,7,0,0.0
28,21,Mar 14,0,3,0,0.0
29,24,Mar 15,0,3,0,0.0
30,25,Mar 16,0,1,0,0.0
31,34,Mar 17,0,9,0,0.0
32,39,Mar 18,0,5,0,0.0
33,64,Mar 19,0,25,0,0.0
34,89,Mar 20,0,25,0,0.0
35,93,Mar 21,1,4,0,0.010752688172043012
36,126,Mar 22,1,33,0,0.007936507936507936
37,136,Mar 23,1,10,0,0.007352941176470588
38,168,Mar 24,3,32,2,0.017857142857142856
39,176,Mar 25,3,8,0,0.017045454545454544
40,191,Mar 26,3,15,0,0.015706806282722512
41,237,Mar 27,4,46,1,0.016877637130801686
42,278,Mar 28,6,41,2,0.02158273381294964
43,323,Mar 29,6,45,0,0.018575851393188854
44,368,Mar 30,10,45,4,0.02717391304347826
45,420,Mar 31,13,52,3,0.030952380952380953
46,459,Apr 01,13,39,0,0.02832244008714597
47,533,Apr 02,16,74,3,0.0300187617260788
48,579,Apr 03,17,46,1,0.02936096718480138
49,624,Apr 04,21,45,4,0.03365384615384615
50,654,Apr 05,23,30,2,0.035168195718654434
51,674,Apr 06,29,20,6,0.04302670623145401
52,764,Apr 07,33,90,4,0.04319371727748691
53,804,Apr 08,34,40,1,0.04228855721393035
54,858,Apr 09,35,54,1,0.04079254079254079
55,901,Apr 10,36,43,1,0.03995560488346282
56,946,Apr 11,37,45,1,0.039112050739957716
57,1009,Apr 12,39,63,2,0.03865213082259663
58,1037,Apr 13,39,28,0,0.037608486017357765
59,1083,Apr 14,40,46,1,0.03693444136657433
60,1110,Apr 15,41,27,1,0.036936936936936934
61,1167,Apr 16,43,57,2,0.03684661525278492
62,1214,Apr 17,46,47,3,0.03789126853377265
63,1268,Apr 18,47,54,1,0.03706624605678233
64,1285,Apr 19,48,17,1,0.03735408560311284
65,1309,Apr 20,49,24,1,0.0374331550802139
66,1342,Apr 21,51,33,2,0.038002980625931444
67,1368,Apr 22,53,26,2,0.03874269005847953
68,1413,Apr 23,54,45,1,0.03821656050955414
69,1421,Apr 24,55,8,1,0.03870513722730472
70,1486,Apr 25,57,65,2,0.03835800807537012
71,1516,Apr 26,59,30,2,0.03891820580474934
72,1565,Apr 27,60,49,1,0.038338658146964855
73,1585,Apr 28,63,20,3,0.03974763406940063
74,1677,Apr 29,65,92,2,0.03875968992248062
75,1757,Apr 30,69,80,4,0.03927148548662493
76,1781,May 01,70,24,1,0.039303761931499155
77,1839,May 02,72,58,2,0.03915171288743882
78,1857,May 03,77,18,5,0.041464728056004305
79,1926,May 04,78,69,1,0.040498442367601244
80,1946,May 05,79,20,1,0.040596094552929084
81,1987,May 06,86,41,7,0.043281328636134875
82,2027,May 07,90,40,4,0.04440059200789344
