,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,1,Feb 25,0,1,0,0.0
11,1,Feb 26,0,0,0,0.0
12,1,Feb 27,0,0,0,0.0
13,1,Feb 28,0,0,0,0.0
14,2,Feb 29,0,1,0,0.0
15,2,Mar 01,0,0,0,0.0
16,2,Mar 02,0,0,0,0.0
17,2,Mar 03,0,0,0,0.0
18,3,Mar 04,0,1,0,0.0
19,8,Mar 05,0,5,0,0.0
20,13,Mar 06,0,5,0,0.0
21,19,Mar 07,0,6,0,0.0
22,25,Mar 08,0,6,0,0.0
23,25,Mar 09,0,0,0,0.0
24,34,Mar 10,0,9,0,0.0
25,52,Mar 11,0,18,0,0.0
26,77,Mar 12,0,25,0,0.0
27,151,Mar 13,0,74,0,0.0
28,151,Mar 14,0,0,0,0.0
29,200,Mar 15,0,49,0,0.0
30,234,Mar 16,0,34,0,0.0
31,346,Mar 17,1,112,1,0.002890173410404624
32,529,Mar 18,4,183,3,0.007561436672967864
33,640,Mar 19,7,111,3,0.0109375
34,970,Mar 20,11,330,4,0.01134020618556701
35,1178,Mar 21,18,208,7,0.015280135823429542
36,1546,Mar 22,25,368,7,0.016170763260025874
37,1924,Mar 23,34,378,9,0.017671517671517672
38,2247,Mar 24,46,323,12,0.020471740097908322
39,2554,Mar 25,59,307,13,0.023101018010963197
40,2985,Mar 26,77,431,18,0.02579564489112228
41,3417,Mar 27,92,432,15,0.026924202516827627
42,3904,Mar 28,114,487,22,0.02920081967213115
43,4256,Mar 29,136,352,22,0.03195488721804511
44,4630,Mar 30,163,374,27,0.035205183585313174
45,5717,Mar 31,201,1087,38,0.035158299807591394
46,6880,Apr 01,242,1163,41,0.03517441860465116
47,8044,Apr 02,324,1164,82,0.04027846842366982
48,9194,Apr 03,363,1150,39,0.03948227104633457
49,10360,Apr 04,445,1166,82,0.04295366795366795
50,11254,Apr 05,486,894,41,0.04318464545939222
51,12183,Apr 06,564,929,78,0.046294016252154645
52,14034,Apr 07,686,1851,122,0.048881288299843235
53,16188,Apr 08,820,2154,134,0.0506548060291574
54,18145,Apr 09,954,1957,134,0.052576467346376415
55,19789,Apr 10,1068,1644,114,0.05396937692657537
56,20962,Apr 11,1140,1173,72,0.05438412365232325
57,22192,Apr 12,1223,1230,83,0.055109949531362654
58,23430,Apr 13,1328,1238,105,0.05667947076397781
59,25262,Apr 14,1532,1832,204,0.06064444620378434
60,28610,Apr 15,1757,3348,225,0.06141209367354072
61,30683,Apr 16,1947,2073,190,0.06345533357233647
62,33682,Apr 17,2141,2999,194,0.06356510896027552
63,36722,Apr 18,2361,3040,220,0.0642938837753935
64,38654,Apr 19,2462,1932,101,0.06369327883272106
65,40743,Apr 20,2587,2089,125,0.06349556979112976
66,43079,Apr 21,2741,2336,154,0.06362728939854685
67,45757,Apr 22,2906,2678,165,0.0635094083965295
68,49492,Apr 23,3313,3735,407,0.06694011153317708
69,52995,Apr 24,3670,3503,357,0.06925181620907633
70,59196,Apr 25,4045,6201,375,0.06833231975133455
71,62859,Apr 26,4271,3663,226,0.06794571978555179
72,66501,Apr 27,4543,3642,272,0.06831476218402731
73,72899,Apr 28,5063,6398,520,0.06945225586084858
74,79361,Apr 29,5511,6462,448,0.06944216932750344
75,85380,Apr 30,5901,6019,390,0.0691145467322558
76,92109,May 01,6410,6729,509,0.06959146228924426
77,96559,May 02,6750,4450,340,0.0699054464110026
78,101147,May 03,7025,4588,275,0.06945336984784521
79,108266,May 04,7343,7119,318,0.06782369349564961
80,114715,May 05,7921,6449,578,0.0690493832541516
81,126611,May 06,8588,11896,667,0.06782980941624346
82,135693,May 07,9188,9082,600,0.06771167267287186
