,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,0,Mar 18,0,0,0,0.0
33,0,Mar 19,0,0,0,0.0
34,0,Mar 20,0,0,0,0.0
35,0,Mar 21,0,0,0,0.0
36,0,Mar 22,0,0,0,0.0
37,0,Mar 23,0,0,0,0.0
38,0,Mar 24,0,0,0,0.0
39,2,Mar 25,0,2,0,0.0
40,2,Mar 26,0,0,0,0.0
41,2,Mar 27,0,0,0,0.0
42,2,Mar 28,0,0,0,0.0
43,2,Mar 29,0,0,0,0.0
44,2,Mar 30,0,0,0,0.0
45,3,Mar 31,0,1,0,0.0
46,3,Apr 01,0,0,0,0.0
47,3,Apr 02,0,0,0,0.0
48,3,Apr 03,0,0,0,0.0
49,3,Apr 04,0,0,0,0.0
50,3,Apr 05,0,0,0,0.0
51,3,Apr 06,0,0,0,0.0
52,3,Apr 07,0,0,0,0.0
53,3,Apr 08,0,0,0,0.0
54,3,Apr 09,0,0,0,0.0
55,3,Apr 10,0,0,0,0.0
56,3,Apr 11,0,0,0,0.0
57,3,Apr 12,0,0,0,0.0
58,3,Apr 13,0,0,0,0.0
59,3,Apr 14,0,0,0,0.0
60,3,Apr 15,0,0,0,0.0
61,3,Apr 16,0,0,0,0.0
62,4,Apr 17,0,1,0,0.0
63,4,Apr 18,0,0,0,0.0
64,4,Apr 19,1,0,0,0.25
65,5,Apr 20,1,1,0,0.2
66,5,Apr 21,1,0,0,0.2
67,5,Apr 22,1,0,0,0.2
68,5,Apr 23,1,0,0,0.2
69,5,Apr 24,1,0,0,0.2
70,6,Apr 25,1,1,0,0.16666666666666666
71,6,Apr 26,1,0,0,0.16666666666666666
72,6,Apr 27,1,0,0,0.16666666666666666
73,6,Apr 28,1,0,0,0.16666666666666666
74,6,Apr 29,1,0,0,0.16666666666666666
75,6,Apr 30,1,0,0,0.16666666666666666
76,6,May 01,1,0,0,0.16666666666666666
77,6,May 02,1,0,0,0.16666666666666666
78,6,May 03,1,0,0,0.16666666666666666
79,6,May 04,1,0,0,0.16666666666666666
80,7,May 05,1,1,0,0.14285714285714285
81,7,May 06,1,0,0,0.14285714285714285
82,7,May 07,1,0,0,0.14285714285714285
