,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,1,Mar 09,0,1,0,0.0
24,6,Mar 10,0,5,0,0.0
25,11,Mar 11,0,5,0,0.0
26,25,Mar 12,0,14,0,0.0
27,37,Mar 13,0,12,0,0.0
28,40,Mar 14,0,3,0,0.0
29,50,Mar 15,0,10,0,0.0
30,54,Mar 16,0,4,0,0.0
31,56,Mar 17,0,2,0,0.0
32,68,Mar 18,0,12,0,0.0
33,73,Mar 19,0,5,0,0.0
34,78,Mar 20,0,5,0,0.0
35,83,Mar 21,0,5,0,0.0
36,88,Mar 22,0,5,0,0.0
37,91,Mar 23,0,3,0,0.0
38,104,Mar 24,0,13,0,0.0
39,109,Mar 25,0,5,0,0.0
40,114,Mar 26,0,5,0,0.0
41,115,Mar 27,0,1,0,0.0
42,120,Mar 28,1,5,0,0.008333333333333333
43,126,Mar 29,1,6,0,0.007936507936507936
44,127,Mar 30,1,1,0,0.007874015748031496
45,129,Mar 31,1,2,0,0.007751937984496124
46,131,Apr 01,1,2,0,0.007633587786259542
47,133,Apr 02,1,2,0,0.007518796992481203
48,134,Apr 03,1,1,0,0.007462686567164179
49,135,Apr 04,1,1,0,0.007407407407407408
50,135,Apr 05,1,0,0,0.007407407407407408
51,135,Apr 06,1,0,0,0.007407407407407408
52,135,Apr 07,1,0,0,0.007407407407407408
53,135,Apr 08,1,0,0,0.007407407407407408
54,135,Apr 09,1,0,0,0.007407407407407408
55,136,Apr 10,1,1,0,0.007352941176470588
56,136,Apr 11,1,0,0,0.007352941176470588
57,136,Apr 12,1,0,0,0.007352941176470588
58,136,Apr 13,1,0,0,0.007352941176470588
59,136,Apr 14,1,0,0,0.007352941176470588
60,136,Apr 15,1,0,0,0.007352941176470588
61,136,Apr 16,1,0,0,0.007352941176470588
62,136,Apr 17,1,0,0,0.007352941176470588
63,137,Apr 18,1,1,0,0.0072992700729927005
64,138,Apr 19,1,1,0,0.007246376811594203
65,138,Apr 20,1,0,0,0.007246376811594203
66,138,Apr 21,1,0,0,0.007246376811594203
67,138,Apr 22,1,0,0,0.007246376811594203
68,138,Apr 23,1,0,0,0.007246376811594203
69,138,Apr 24,1,0,0,0.007246376811594203
70,138,Apr 25,1,0,0,0.007246376811594203
71,138,Apr 26,1,0,0,0.007246376811594203
72,138,Apr 27,1,0,0,0.007246376811594203
73,138,Apr 28,1,0,0,0.007246376811594203
74,138,Apr 29,1,0,0,0.007246376811594203
75,138,Apr 30,1,0,0,0.007246376811594203
76,138,May 01,1,0,0,0.007246376811594203
77,138,May 02,1,0,0,0.007246376811594203
78,138,May 03,1,0,0,0.007246376811594203
79,138,May 04,1,0,0,0.007246376811594203
80,138,May 05,1,0,0,0.007246376811594203
81,139,May 06,1,1,0,0.007194244604316547
82,141,May 07,1,2,0,0.0070921985815602835
