,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,2,Mar 07,0,2,0,0.0
22,4,Mar 08,0,2,0,0.0
23,4,Mar 09,0,0,0,0.0
24,6,Mar 10,0,2,0,0.0
25,7,Mar 11,1,1,0,0.14285714285714285
26,23,Mar 12,1,16,0,0.043478260869565216
27,31,Mar 13,1,8,0,0.03225806451612903
28,41,Mar 14,2,10,1,0.04878048780487805
29,51,Mar 15,2,10,0,0.0392156862745098
30,62,Mar 16,2,11,0,0.03225806451612903
31,81,Mar 17,2,19,0,0.024691358024691357
32,92,Mar 18,2,11,0,0.021739130434782608
33,107,Mar 19,3,15,1,0.028037383177570093
34,127,Mar 20,3,20,0,0.023622047244094488
35,163,Mar 21,3,36,0,0.018404907975460124
36,187,Mar 22,3,24,0,0.016042780748663103
37,201,Mar 23,3,14,0,0.014925373134328358
38,218,Mar 24,3,17,0,0.013761467889908258
39,242,Mar 25,3,24,0,0.012396694214876033
40,264,Mar 26,3,22,0,0.011363636363636364
41,293,Mar 27,3,29,0,0.010238907849829351
42,331,Mar 28,7,38,4,0.021148036253776436
43,346,Mar 29,8,15,1,0.023121387283236993
44,359,Mar 30,8,13,0,0.022284122562674095
45,399,Mar 31,8,40,0,0.020050125313283207
46,422,Apr 01,10,23,2,0.023696682464454975
47,457,Apr 02,10,35,0,0.02188183807439825
48,485,Apr 03,14,28,4,0.0288659793814433
49,503,Apr 04,17,18,3,0.033797216699801194
50,531,Apr 05,20,28,3,0.03766478342749529
51,549,Apr 06,22,18,2,0.04007285974499089
52,577,Apr 07,23,28,1,0.03986135181975736
53,593,Apr 08,24,16,1,0.04047217537942664
54,618,Apr 09,24,25,0,0.038834951456310676
55,635,Apr 10,25,17,1,0.03937007874015748
56,661,Apr 11,28,26,3,0.04236006051437216
57,675,Apr 12,29,14,1,0.04296296296296296
58,685,Apr 13,32,10,3,0.04671532846715328
59,713,Apr 14,35,28,3,0.04908835904628331
60,747,Apr 15,36,34,1,0.04819277108433735
61,800,Apr 16,38,53,2,0.0475
62,846,Apr 17,41,46,3,0.04846335697399527
63,878,Apr 18,41,32,0,0.04669703872437358
64,894,Apr 19,42,16,1,0.04697986577181208
65,929,Apr 20,43,35,1,0.04628632938643703
66,975,Apr 21,45,46,2,0.046153846153846156
67,1024,Apr 22,49,49,4,0.0478515625
68,1097,Apr 23,52,73,3,0.04740200546946217
69,1188,Apr 24,54,91,2,0.045454545454545456
70,1247,Apr 25,55,59,1,0.044105854049719326
71,1300,Apr 26,56,53,1,0.043076923076923075
72,1363,Apr 27,58,63,2,0.0425531914893617
73,1399,Apr 28,58,36,0,0.04145818441744103
74,1447,Apr 29,64,48,6,0.0442294402211472
75,1506,Apr 30,66,59,2,0.043824701195219126
76,1555,May 01,68,49,2,0.04372990353697749
77,1594,May 02,72,39,4,0.0451693851944793
78,1618,May 03,73,24,1,0.04511742892459827
79,1652,May 04,78,34,5,0.04721549636803874
80,1704,May 05,80,52,2,0.046948356807511735
81,1778,May 06,84,74,4,0.047244094488188976
82,1829,May 07,84,51,0,0.045926735921268454
