,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,1,Mar 09,0,1,0,0.0
24,2,Mar 10,0,1,0,0.0
25,2,Mar 11,0,0,0,0.0
26,2,Mar 12,0,0,0,0.0
27,2,Mar 13,0,0,0,0.0
28,2,Mar 14,0,0,0,0.0
29,3,Mar 15,0,1,0,0.0
30,15,Mar 16,0,12,0,0.0
31,15,Mar 17,0,0,0,0.0
32,27,Mar 18,1,12,0,0.037037037037037035
33,33,Mar 19,1,6,0,0.030303030303030304
34,40,Mar 20,1,7,0,0.025
35,64,Mar 21,3,24,2,0.046875
36,75,Mar 22,4,11,1,0.05333333333333334
37,99,Mar 23,4,24,0,0.04040404040404041
38,114,Mar 24,4,15,0,0.03508771929824561
39,146,Mar 25,4,32,0,0.0273972602739726
40,152,Mar 26,7,6,3,0.046052631578947366
41,180,Mar 27,9,28,2,0.05
42,207,Mar 28,11,27,2,0.05314009661835749
43,222,Mar 29,12,15,1,0.05405405405405406
44,246,Mar 30,12,24,0,0.04878048780487805
45,261,Mar 31,14,15,2,0.05363984674329502
46,282,Apr 01,16,21,2,0.05673758865248227
47,288,Apr 02,16,6,0,0.05555555555555555
48,302,Apr 03,16,14,0,0.052980132450331126
49,318,Apr 04,16,16,0,0.050314465408805034
50,345,Apr 05,17,27,1,0.04927536231884058
51,364,Apr 06,18,19,1,0.04945054945054945
52,384,Apr 07,19,20,1,0.049479166666666664
53,414,Apr 08,23,30,4,0.05555555555555555
54,443,Apr 09,24,29,1,0.05417607223476298
55,448,Apr 10,26,5,2,0.05803571428571429
56,484,Apr 11,27,36,1,0.05578512396694215
57,497,Apr 12,27,13,0,0.05432595573440644
58,515,Apr 13,27,18,0,0.05242718446601942
59,528,Apr 14,30,13,3,0.056818181818181816
60,542,Apr 15,32,14,2,0.05904059040590406
61,546,Apr 16,32,4,0,0.05860805860805861
62,557,Apr 17,35,11,3,0.06283662477558348
63,565,Apr 18,36,8,1,0.06371681415929203
64,576,Apr 19,36,11,0,0.0625
65,581,Apr 20,38,5,2,0.06540447504302926
66,600,Apr 21,38,19,0,0.06333333333333334
67,609,Apr 22,39,9,1,0.06403940886699508
68,616,Apr 23,41,7,2,0.06655844155844155
69,629,Apr 24,41,13,0,0.06518282988871224
70,629,Apr 25,41,0,0,0.06518282988871224
71,632,Apr 26,42,3,1,0.06645569620253164
72,635,Apr 27,42,3,0,0.06614173228346457
73,638,Apr 28,42,3,0,0.06583072100313479
74,641,Apr 29,43,3,1,0.06708268330733229
75,645,Apr 30,43,4,0,0.06666666666666667
76,649,May 01,44,4,1,0.06779661016949153
77,652,May 02,44,3,0,0.06748466257668712
78,662,May 03,45,10,1,0.06797583081570997
79,672,May 04,46,10,1,0.06845238095238096
80,688,May 05,48,16,2,0.06976744186046512
81,729,May 06,48,41,0,0.06584362139917696
82,736,May 07,48,7,0,0.06521739130434782
