,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,0,Mar 18,0,0,0,0.0
33,0,Mar 19,0,0,0,0.0
34,1,Mar 20,0,1,0,0.0
35,3,Mar 21,0,2,0,0.0
36,3,Mar 22,0,0,0,0.0
37,3,Mar 23,0,0,0,0.0
38,3,Mar 24,1,0,0,0.3333333333333333
39,4,Mar 25,1,1,0,0.25
40,5,Mar 26,1,1,0,0.2
41,5,Mar 27,1,0,0,0.2
42,6,Mar 28,1,1,0,0.16666666666666666
43,6,Mar 29,1,0,0,0.16666666666666666
44,6,Mar 30,1,0,0,0.16666666666666666
45,6,Mar 31,1,0,0,0.16666666666666666
46,6,Apr 01,1,0,0,0.16666666666666666
47,6,Apr 02,1,0,0,0.16666666666666666
48,6,Apr 03,1,0,0,0.16666666666666666
49,7,Apr 04,1,1,0,0.14285714285714285
50,7,Apr 05,1,0,0,0.14285714285714285
51,7,Apr 06,1,0,0,0.14285714285714285
52,7,Apr 07,1,0,0,0.14285714285714285
53,7,Apr 08,1,0,0,0.14285714285714285
54,7,Apr 09,1,0,0,0.14285714285714285
55,7,Apr 10,1,0,0,0.14285714285714285
56,8,Apr 11,1,1,0,0.125
57,8,Apr 12,1,0,0,0.125
58,10,Apr 13,1,2,0,0.1
59,11,Apr 14,1,1,0,0.09090909090909091
60,56,Apr 15,1,45,0,0.017857142857142856
61,56,Apr 16,1,0,0,0.017857142857142856
62,56,Apr 17,1,0,0,0.017857142857142856
63,58,Apr 18,1,2,0,0.017241379310344827
64,61,Apr 19,1,3,0,0.01639344262295082
65,67,Apr 20,1,6,0,0.014925373134328358
66,68,Apr 21,1,1,0,0.014705882352941176
67,73,Apr 22,1,5,0,0.0136986301369863
68,82,Apr 23,1,9,0,0.012195121951219513
69,88,Apr 24,1,6,0,0.011363636363636364
70,90,Apr 25,1,2,0,0.011111111111111112
71,106,Apr 26,1,16,0,0.009433962264150943
72,109,Apr 27,1,3,0,0.009174311926605505
73,113,Apr 28,1,4,0,0.008849557522123894
74,113,Apr 29,1,0,0,0.008849557522123894
75,121,Apr 30,1,8,0,0.008264462809917356
76,122,May 01,1,1,0,0.00819672131147541
77,152,May 02,2,30,1,0.013157894736842105
78,165,May 03,2,13,0,0.012121212121212121
79,175,May 04,2,10,0,0.011428571428571429
80,186,May 05,2,11,0,0.010752688172043012
81,191,May 06,2,5,0,0.010471204188481676
82,218,May 07,2,27,0,0.009174311926605505
