,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,2,Mar 06,0,2,0,0.0
21,2,Mar 07,0,0,0,0.0
22,2,Mar 08,0,0,0,0.0
23,2,Mar 09,0,0,0,0.0
24,2,Mar 10,0,0,0,0.0
25,2,Mar 11,0,0,0,0.0
26,2,Mar 12,0,0,0,0.0
27,2,Mar 13,0,0,0,0.0
28,3,Mar 14,0,1,0,0.0
29,4,Mar 15,0,1,0,0.0
30,5,Mar 16,0,1,0,0.0
31,10,Mar 17,0,5,0,0.0
32,13,Mar 18,0,3,0,0.0
33,13,Mar 19,0,0,0,0.0
34,27,Mar 20,0,14,0,0.0
35,40,Mar 21,0,13,0,0.0
36,40,Mar 22,0,0,0,0.0
37,56,Mar 23,0,16,0,0.0
38,66,Mar 24,1,10,0,0.015151515151515152
39,75,Mar 25,1,9,0,0.013333333333333334
40,75,Mar 26,1,0,0,0.013333333333333334
41,91,Mar 27,2,16,1,0.02197802197802198
42,91,Mar 28,2,0,0,0.02197802197802198
43,139,Mar 29,6,48,4,0.04316546762589928
44,139,Mar 30,6,0,0,0.04316546762589928
45,193,Mar 31,6,54,0,0.031088082901554404
46,233,Apr 01,6,40,0,0.02575107296137339
47,306,Apr 02,7,73,1,0.02287581699346405
48,509,Apr 03,8,203,1,0.015717092337917484
49,555,Apr 04,9,46,1,0.016216216216216217
50,650,Apr 05,9,95,0,0.013846153846153847
51,658,Apr 06,9,8,0,0.013677811550151976
52,685,Apr 07,9,27,0,0.013138686131386862
53,730,Apr 08,10,45,1,0.0136986301369863
54,803,Apr 09,12,73,2,0.014943960149439602
55,820,Apr 10,12,17,0,0.014634146341463415
56,820,Apr 11,12,0,0,0.014634146341463415
57,820,Apr 12,12,0,0,0.014634146341463415
58,848,Apr 13,12,28,0,0.014150943396226415
59,848,Apr 14,14,0,2,0.01650943396226415
60,848,Apr 15,17,0,3,0.020047169811320754
61,996,Apr 16,22,148,5,0.02208835341365462
62,996,Apr 17,22,0,0,0.02208835341365462
63,1017,Apr 18,42,21,20,0.04129793510324484
64,1017,Apr 19,42,0,0,0.04129793510324484
65,1163,Apr 20,42,146,0,0.03611349957007739
66,1163,Apr 21,43,0,1,0.03697334479793637
67,1163,Apr 22,43,0,0,0.03697334479793637
68,1334,Apr 23,43,171,0,0.03223388305847077
69,1430,Apr 24,43,96,0,0.03006993006993007
70,1518,Apr 25,53,88,10,0.03491436100131752
71,1621,Apr 26,56,103,3,0.03454657618753856
72,1705,Apr 27,58,84,2,0.03401759530791789
73,1705,Apr 28,58,0,0,0.03401759530791789
74,1832,Apr 29,61,127,3,0.03329694323144105
75,1832,Apr 30,61,0,0,0.03329694323144105
76,1832,May 01,61,0,0,0.03329694323144105
77,2077,May 02,64,245,3,0.030813673567645642
78,2077,May 03,64,0,0,0.030813673567645642
79,2104,May 04,64,27,0,0.030418250950570342
80,2104,May 05,64,0,0,0.030418250950570342
81,2265,May 06,108,161,44,0.04768211920529802
82,2267,May 07,108,2,0,0.04764005293339215
