,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,1,Mar 13,0,1,0,0.0
28,1,Mar 14,0,0,0,0.0
29,1,Mar 15,0,0,0,0.0
30,1,Mar 16,1,0,0,1.0
31,1,Mar 17,1,0,0,1.0
32,1,Mar 18,1,0,0,1.0
33,3,Mar 19,1,2,0,0.3333333333333333
34,3,Mar 20,1,0,0,0.3333333333333333
35,3,Mar 21,1,0,0,0.3333333333333333
36,3,Mar 22,1,0,0,0.3333333333333333
37,5,Mar 23,1,2,0,0.2
38,6,Mar 24,1,1,0,0.16666666666666666
39,8,Mar 25,1,2,0,0.125
40,8,Mar 26,1,0,0,0.125
41,8,Mar 27,1,0,0,0.125
42,8,Mar 28,1,0,0,0.125
43,12,Mar 29,1,4,0,0.08333333333333333
44,12,Mar 30,1,0,0,0.08333333333333333
45,14,Mar 31,1,2,0,0.07142857142857142
46,22,Apr 01,1,8,0,0.045454545454545456
47,28,Apr 02,1,6,0,0.03571428571428571
48,29,Apr 03,1,1,0,0.034482758620689655
49,35,Apr 04,1,6,0,0.02857142857142857
50,39,Apr 05,1,4,0,0.02564102564102564
51,39,Apr 06,1,0,0,0.02564102564102564
52,45,Apr 07,1,6,0,0.022222222222222223
53,45,Apr 08,1,0,0,0.022222222222222223
54,45,Apr 09,1,0,0,0.022222222222222223
55,45,Apr 10,1,0,0,0.022222222222222223
56,53,Apr 11,1,8,0,0.018867924528301886
57,53,Apr 12,1,0,0,0.018867924528301886
58,54,Apr 13,1,1,0,0.018518518518518517
59,54,Apr 14,1,0,0,0.018518518518518517
60,60,Apr 15,1,6,0,0.016666666666666666
61,60,Apr 16,1,0,0,0.016666666666666666
62,61,Apr 17,1,1,0,0.01639344262295082
63,61,Apr 18,1,0,0,0.01639344262295082
64,61,Apr 19,1,0,0,0.01639344262295082
65,66,Apr 20,1,5,0,0.015151515151515152
66,66,Apr 21,1,0,0,0.015151515151515152
67,66,Apr 22,1,0,0,0.015151515151515152
68,66,Apr 23,1,0,0,0.015151515151515152
69,70,Apr 24,1,4,0,0.014285714285714285
70,70,Apr 25,1,0,0,0.014285714285714285
71,70,Apr 26,1,0,0,0.014285714285714285
72,70,Apr 27,1,0,0,0.014285714285714285
73,70,Apr 28,1,0,0,0.014285714285714285
74,73,Apr 29,1,3,0,0.0136986301369863
75,73,Apr 30,1,0,0,0.0136986301369863
76,74,May 01,1,1,0,0.013513513513513514
77,74,May 02,1,0,0,0.013513513513513514
78,74,May 03,1,0,0,0.013513513513513514
79,75,May 04,1,1,0,0.013333333333333334
80,75,May 05,1,0,0,0.013333333333333334
81,78,May 06,1,3,0,0.01282051282051282
82,80,May 07,1,2,0,0.0125
