,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,1,Mar 03,0,1,0,0.0
18,3,Mar 04,0,2,0,0.0
19,4,Mar 05,0,1,0,0.0
20,5,Mar 06,0,1,0,0.0
21,7,Mar 07,0,2,0,0.0
22,10,Mar 08,0,3,0,0.0
23,13,Mar 09,0,3,0,0.0
24,17,Mar 10,0,4,0,0.0
25,23,Mar 11,0,6,0,0.0
26,33,Mar 12,0,10,0,0.0
27,43,Mar 13,0,10,0,0.0
28,61,Mar 14,0,18,0,0.0
29,75,Mar 15,0,14,0,0.0
30,156,Mar 16,0,81,0,0.0
31,201,Mar 17,0,45,0,0.0
32,238,Mar 18,0,37,0,0.0
33,342,Mar 19,0,104,0,0.0
34,434,Mar 20,0,92,0,0.0
35,537,Mar 21,1,103,0,0.00186219739292365
36,632,Mar 22,1,95,0,0.0015822784810126582
37,746,Mar 23,2,114,1,0.002680965147453083
38,922,Mar 24,2,176,0,0.0021691973969631237
39,1142,Mar 25,3,220,1,0.002626970227670753
40,1306,Mar 26,4,164,1,0.0030627871362940277
41,1610,Mar 27,5,304,1,0.003105590062111801
42,1909,Mar 28,6,299,1,0.003143006809848088
43,2139,Mar 29,7,230,1,0.0032725572697522207
44,2449,Mar 30,8,310,1,0.0032666394446712946
45,2738,Mar 31,12,289,4,0.004382761139517896
46,3031,Apr 01,16,293,4,0.005278785879247773
47,3404,Apr 02,18,373,2,0.005287896592244419
48,3737,Apr 03,22,333,4,0.005887075194005887
49,4161,Apr 04,27,424,5,0.006488824801730353
50,4471,Apr 05,34,310,7,0.0076045627376425855
51,4815,Apr 06,37,344,3,0.0076843198338525445
52,5116,Apr 07,43,301,6,0.008405003909304144
53,5546,Apr 08,48,430,5,0.00865488640461594
54,5972,Apr 09,57,426,9,0.009544541192230409
55,6501,Apr 10,65,529,8,0.009998461775111522
56,6927,Apr 11,73,426,8,0.010538472643279919
57,7213,Apr 12,80,286,7,0.011091085539997228
58,7525,Apr 13,82,312,2,0.010897009966777409
59,7917,Apr 14,92,392,10,0.011620563344701275
60,8273,Apr 15,94,356,2,0.01136226278254563
61,8807,Apr 16,105,534,11,0.011922334506642443
62,9252,Apr 17,116,445,11,0.012537829658452227
63,9730,Apr 18,126,478,10,0.012949640287769784
64,10088,Apr 19,133,358,7,0.013183980967486122
65,10507,Apr 20,139,419,6,0.013229275720947939
66,10832,Apr 21,147,325,8,0.013570901033973412
67,11296,Apr 22,160,464,13,0.014164305949008499
68,11812,Apr 23,168,516,8,0.014222824246528954
69,12306,Apr 24,174,494,6,0.014139444173573866
70,12858,Apr 25,181,552,7,0.014076839321822989
71,13331,Apr 26,189,473,8,0.014177481059185357
72,13813,Apr 27,198,482,9,0.014334322739448346
73,14365,Apr 28,207,552,9,0.014410024364775497
74,14885,Apr 29,216,520,9,0.014511252939200537
75,16023,Apr 30,227,1138,11,0.014167134743805779
76,17008,May 01,234,985,7,0.013758231420507996
77,18435,May 02,247,1427,13,0.013398426905343097
78,19663,May 03,260,1228,13,0.013222804251640137
79,20643,May 04,270,980,10,0.013079494259555298
80,22016,May 05,275,1373,5,0.012490915697674418
81,23048,May 06,281,1032,6,0.012191947240541479
82,24581,May 07,285,1533,4,0.011594320816891095
