,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,571,Jan 22,17,0,0,0.0297723292469352
1,830,Jan 23,25,259,8,0.030120481927710843
2,1287,Jan 24,41,457,16,0.031857031857031856
3,1975,Jan 25,56,688,15,0.028354430379746835
4,2744,Jan 26,80,769,24,0.029154518950437316
5,4515,Jan 27,106,1771,26,0.023477297895902548
6,5974,Jan 28,132,1459,26,0.022095748242383664
7,7711,Jan 29,170,1737,38,0.022046427181947867
8,9692,Jan 30,213,1981,43,0.02197688815517953
9,11791,Jan 31,259,2099,46,0.021965906199643795
10,14380,Feb 01,304,2589,45,0.02114047287899861
11,17205,Feb 02,361,2825,57,0.02098227259517582
12,20440,Feb 03,425,3235,64,0.020792563600782778
13,24324,Feb 04,490,3884,65,0.02014471304061832
14,28018,Feb 05,563,3694,73,0.020094225140980797
15,31161,Feb 06,636,3143,73,0.020410128044671225
16,34546,Feb 07,722,3385,86,0.020899670005210445
17,37198,Feb 08,811,2652,89,0.02180224743265767
18,40171,Feb 09,908,2973,97,0.02260337059072465
19,42638,Feb 10,1016,2467,108,0.023828509780008444
20,44653,Feb 11,1113,2015,97,0.024925536918012227
21,58761,Feb 12,1259,14108,146,0.021425775599462227
22,63851,Feb 13,1380,5090,121,0.02161281734037055
23,66492,Feb 14,1523,2641,143,0.022905011129158395
24,68500,Feb 15,1665,2008,142,0.024306569343065694
25,70548,Feb 16,1770,2048,105,0.025089300901513862
26,72436,Feb 17,1868,1888,98,0.025788282069689104
27,74185,Feb 18,2004,1749,136,0.02701354721304846
28,74576,Feb 19,2118,391,114,0.028400557820210254
29,75465,Feb 20,2236,889,118,0.02962962962962963
30,76288,Feb 21,2345,823,109,0.03073877936241611
31,76936,Feb 22,2442,648,97,0.0317406675678486
32,77150,Feb 23,2592,214,150,0.03359688917692806
33,77658,Feb 24,2663,508,71,0.0342913801540086
34,78064,Feb 25,2715,406,52,0.03477915556466489
35,78497,Feb 26,2744,433,29,0.034956749939488135
36,78824,Feb 27,2788,327,44,0.03536993808992185
37,79251,Feb 28,2835,427,47,0.03577241927546656
38,79824,Feb 29,2870,573,35,0.03595409901783925
39,80026,Mar 01,2912,202,42,0.03638817384350086
40,80151,Mar 02,2943,125,31,0.036718194408054794
41,80270,Mar 03,2981,119,38,0.03713716207798679
42,80409,Mar 04,3012,139,31,0.037458493452225496
43,80552,Mar 05,3042,143,30,0.037764425464296356
44,80651,Mar 06,3070,99,28,0.03806524407632887
45,80695,Mar 07,3097,44,27,0.03837908172749241
46,80735,Mar 08,3119,40,22,0.038632563324456554
47,80754,Mar 09,3136,19,17,0.038833989647571635
48,80778,Mar 10,3158,24,22,0.0390948030404318
49,80793,Mar 11,3169,15,11,0.039223695122102165
50,80813,Mar 12,3176,20,7,0.03930060757551384
51,80824,Mar 13,3189,11,13,0.03945610214787687
52,80844,Mar 14,3199,20,10,0.03957003611894513
53,80860,Mar 15,3213,16,14,0.039735345040811276
54,80881,Mar 16,3226,21,13,0.0398857580890444
55,80894,Mar 17,3237,13,11,0.040015328701757856
56,80928,Mar 18,3245,34,8,0.040097370502174774
57,80967,Mar 19,3248,39,3,0.04011510862450134
58,81008,Mar 20,3255,41,7,0.040181216669958525
59,81054,Mar 21,3261,46,6,0.04023243763416981
60,81093,Mar 22,3270,39,9,0.04032407236136288
61,81171,Mar 23,3277,78,7,0.040371561271882815
62,81218,Mar 24,3281,47,4,0.04039744884138984
63,81285,Mar 25,3287,67,6,0.04043796518422833
64,81340,Mar 26,3292,55,5,0.04047209245143841
65,81394,Mar 27,3295,54,3,0.040482099417647494
66,81439,Mar 28,3300,45,5,0.040521126241726935
67,81439,Mar 29,3300,0,0,0.040521126241726935
68,81518,Mar 30,3305,79,5,0.04054319291444834
69,81554,Mar 31,3312,36,7,0.04061112882262059
70,81589,Apr 01,3318,35,6,0.040667246810231775
