,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,1,Mar 06,0,1,0,0.0
21,1,Mar 07,0,0,0,0.0
22,1,Mar 08,0,0,0,0.0
23,3,Mar 09,0,2,0,0.0
24,3,Mar 10,0,0,0,0.0
25,9,Mar 11,0,6,0,0.0
26,9,Mar 12,0,0,0,0.0
27,16,Mar 13,0,7,0,0.0
28,24,Mar 14,0,8,0,0.0
29,34,Mar 15,0,10,0,0.0
30,54,Mar 16,0,20,0,0.0
31,65,Mar 17,0,11,0,0.0
32,93,Mar 18,0,28,0,0.0
33,108,Mar 19,0,15,0,0.0
34,145,Mar 20,0,37,0,0.0
35,196,Mar 21,0,51,0,0.0
36,231,Mar 22,2,35,0,0.008658008658008658
37,277,Mar 23,3,46,1,0.010830324909747292
38,378,Mar 24,3,101,0,0.007936507936507936
39,470,Mar 25,4,92,1,0.00851063829787234
40,491,Mar 26,6,21,2,0.012219959266802444
41,539,Mar 27,6,48,0,0.011131725417439703
42,608,Mar 28,6,69,0,0.009868421052631578
43,702,Mar 29,10,94,4,0.014245014245014245
44,798,Mar 30,14,96,4,0.017543859649122806
45,906,Mar 31,16,108,2,0.017660044150110375
46,1065,Apr 01,17,159,1,0.01596244131455399
47,1161,Apr 02,19,96,2,0.01636520241171404
48,1267,Apr 03,25,106,6,0.01973164956590371
49,1406,Apr 04,32,139,7,0.02275960170697013
50,1485,Apr 05,35,79,3,0.02356902356902357
51,1579,Apr 06,46,94,11,0.029132362254591513
52,1780,Apr 07,50,201,4,0.028089887640449437
53,2054,Apr 08,55,274,5,0.026777020447906523
54,2223,Apr 09,69,169,14,0.0310391363022942
55,2473,Apr 10,80,250,11,0.03234937323089365
56,2709,Apr 11,100,236,20,0.0369139904023625
57,2776,Apr 12,109,67,9,0.03926512968299712
58,2852,Apr 13,112,76,3,0.03927068723702665
59,2979,Apr 14,127,127,15,0.042631755622692176
60,3105,Apr 15,131,126,4,0.04219001610305958
61,3233,Apr 16,144,128,13,0.04454067429631921
62,3439,Apr 17,153,206,9,0.04448967723175341
63,3621,Apr 18,166,182,13,0.04584368958851146
64,3792,Apr 19,179,171,13,0.04720464135021097
65,3977,Apr 20,189,185,10,0.04752325873774202
66,4149,Apr 21,196,172,7,0.04724029886719691
67,4356,Apr 22,206,207,10,0.0472910927456382
68,4561,Apr 23,215,205,9,0.04713878535408902
69,4881,Apr 24,225,320,10,0.046097111247695145
70,5142,Apr 25,233,261,8,0.045313107740178916
71,5379,Apr 26,244,237,11,0.04536159137386131
72,5597,Apr 27,253,218,9,0.04520278720743255
73,5949,Apr 28,269,352,16,0.04521768364430997
74,6207,Apr 29,278,258,9,0.044788142419848555
75,6507,Apr 30,293,300,15,0.045028430920547105
76,7006,May 01,314,499,21,0.044818726805595205
77,7285,May 02,324,279,10,0.044474948524365135
78,7668,May 03,340,383,16,0.04434011476264997
79,7973,May 04,358,305,18,0.04490154270663489
80,8613,May 05,378,640,20,0.0438871473354232
81,8959,May 06,397,346,19,0.044312981359526736
82,9456,May 07,407,497,10,0.0430414551607445
