,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,1,Mar 15,0,1,0,0.0
30,1,Mar 16,0,0,0,0.0
31,1,Mar 17,0,0,0,0.0
32,1,Mar 18,0,0,0,0.0
33,3,Mar 19,0,2,0,0.0
34,3,Mar 20,0,0,0,0.0
35,3,Mar 21,0,0,0,0.0
36,3,Mar 22,0,0,0,0.0
37,4,Mar 23,0,1,0,0.0
38,4,Mar 24,0,0,0,0.0
39,4,Mar 25,0,0,0,0.0
40,4,Mar 26,0,0,0,0.0
41,4,Mar 27,0,0,0,0.0
42,4,Mar 28,0,0,0,0.0
43,19,Mar 29,0,15,0,0.0
44,19,Mar 30,0,0,0,0.0
45,19,Mar 31,0,0,0,0.0
46,22,Apr 01,2,3,0,0.09090909090909091
47,22,Apr 02,2,0,0,0.09090909090909091
48,22,Apr 03,2,0,0,0.09090909090909091
49,22,Apr 04,2,0,0,0.09090909090909091
50,45,Apr 05,5,23,3,0.1111111111111111
51,45,Apr 06,5,0,0,0.1111111111111111
52,45,Apr 07,5,0,0,0.1111111111111111
53,45,Apr 08,5,0,0,0.1111111111111111
54,60,Apr 09,5,15,0,0.08333333333333333
55,60,Apr 10,5,0,0,0.08333333333333333
56,60,Apr 11,5,0,0,0.08333333333333333
57,60,Apr 12,5,0,0,0.08333333333333333
58,60,Apr 13,5,0,0,0.08333333333333333
59,74,Apr 14,5,14,0,0.06756756756756757
60,117,Apr 15,5,43,0,0.042735042735042736
61,117,Apr 16,5,0,0,0.042735042735042736
62,143,Apr 17,6,26,1,0.04195804195804196
63,143,Apr 18,6,0,0,0.04195804195804196
64,143,Apr 19,6,0,0,0.04195804195804196
65,160,Apr 20,6,17,0,0.0375
66,165,Apr 21,6,5,0,0.03636363636363636
67,186,Apr 22,6,21,0,0.03225806451612903
68,186,Apr 23,6,0,0,0.03225806451612903
69,200,Apr 24,6,14,0,0.03
70,200,Apr 25,8,0,2,0.04
71,200,Apr 26,8,0,0,0.04
72,207,Apr 27,8,7,0,0.03864734299516908
73,207,Apr 28,8,0,0,0.03864734299516908
74,207,Apr 29,8,0,0,0.03864734299516908
75,220,Apr 30,9,13,1,0.04090909090909091
76,229,May 01,9,9,0,0.039301310043668124
77,229,May 02,9,0,0,0.039301310043668124
78,229,May 03,9,0,0,0.039301310043668124
79,236,May 04,10,7,1,0.0423728813559322
80,236,May 05,10,0,0,0.0423728813559322
81,264,May 06,10,28,0,0.03787878787878788
82,264,May 07,10,0,0,0.03787878787878788
