,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,1,Mar 05,0,1,0,0.0
20,1,Mar 06,0,0,0,0.0
21,1,Mar 07,0,0,0,0.0
22,9,Mar 08,0,8,0,0.0
23,9,Mar 09,0,0,0,0.0
24,13,Mar 10,0,4,0,0.0
25,22,Mar 11,0,9,0,0.0
26,23,Mar 12,0,1,0,0.0
27,23,Mar 13,0,0,0,0.0
28,27,Mar 14,0,4,0,0.0
29,35,Mar 15,0,8,0,0.0
30,41,Mar 16,0,6,0,0.0
31,50,Mar 17,0,9,0,0.0
32,69,Mar 18,1,19,0,0.014492753623188406
33,87,Mar 19,1,18,0,0.011494252873563218
34,113,Mar 20,2,26,1,0.017699115044247787
35,117,Mar 21,2,4,0,0.017094017094017096
36,134,Mar 22,2,17,0,0.014925373134328358
37,158,Mar 23,2,24,0,0.012658227848101266
38,177,Mar 24,2,19,0,0.011299435028248588
39,201,Mar 25,2,24,0,0.009950248756218905
40,231,Mar 26,2,30,0,0.008658008658008658
41,263,Mar 27,2,32,0,0.0076045627376425855
42,295,Mar 28,2,32,0,0.006779661016949152
43,314,Mar 29,2,19,0,0.006369426751592357
44,330,Mar 30,2,16,0,0.006060606060606061
45,347,Mar 31,2,17,0,0.005763688760806916
46,375,Apr 01,2,28,0,0.005333333333333333
47,396,Apr 02,2,21,0,0.005050505050505051
48,416,Apr 03,2,20,0,0.004807692307692308
49,435,Apr 04,2,19,0,0.004597701149425287
50,454,Apr 05,2,19,0,0.004405286343612335
51,467,Apr 06,2,13,0,0.004282655246252677
52,483,Apr 07,2,16,0,0.004140786749482402
53,502,Apr 08,3,19,1,0.00597609561752988
54,539,Apr 09,3,37,0,0.0055658627087198514
55,558,Apr 10,3,19,0,0.005376344086021506
56,577,Apr 11,3,19,0,0.005199306759098787
57,595,Apr 12,3,18,0,0.005042016806722689
58,612,Apr 13,3,17,0,0.004901960784313725
59,618,Apr 14,3,6,0,0.0048543689320388345
60,626,Apr 15,4,8,1,0.006389776357827476
61,642,Apr 16,4,16,0,0.006230529595015576
62,649,Apr 17,4,7,0,0.0061633281972265025
63,655,Apr 18,4,6,0,0.0061068702290076335
64,660,Apr 19,5,5,1,0.007575757575757576
65,662,Apr 20,6,2,1,0.00906344410876133
66,669,Apr 21,6,7,0,0.008968609865470852
67,681,Apr 22,6,12,0,0.00881057268722467
68,686,Apr 23,6,5,0,0.008746355685131196
69,687,Apr 24,6,1,0,0.008733624454148471
70,693,Apr 25,6,6,0,0.008658008658008658
71,695,Apr 26,6,2,0,0.008633093525179856
72,697,Apr 27,6,2,0,0.00860832137733142
73,705,Apr 28,6,8,0,0.00851063829787234
74,713,Apr 29,6,8,0,0.008415147265077139
75,719,Apr 30,6,6,0,0.008344923504867872
76,725,May 01,6,6,0,0.008275862068965517
77,733,May 02,6,8,0,0.008185538881309686
78,739,May 03,6,6,0,0.008119079837618403
79,742,May 04,6,3,0,0.008086253369272238
80,755,May 05,6,13,0,0.007947019867549669
81,761,May 06,6,6,0,0.00788436268068331
82,765,May 07,6,4,0,0.00784313725490196
