,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,1,Feb 25,0,1,0,0.0
11,3,Feb 26,0,2,0,0.0
12,3,Feb 27,0,0,0,0.0
13,5,Feb 28,0,2,0,0.0
14,6,Feb 29,0,1,0,0.0
15,7,Mar 01,0,1,0,0.0
16,8,Mar 02,0,1,0,0.0
17,9,Mar 03,0,1,0,0.0
18,10,Mar 04,0,1,0,0.0
19,10,Mar 05,0,0,0,0.0
20,11,Mar 06,0,1,0,0.0
21,12,Mar 07,0,1,0,0.0
22,12,Mar 08,0,0,0,0.0
23,13,Mar 09,0,1,0,0.0
24,15,Mar 10,0,2,0,0.0
25,19,Mar 11,0,4,0,0.0
26,27,Mar 12,0,8,0,0.0
27,32,Mar 13,0,5,0,0.0
28,39,Mar 14,0,7,0,0.0
29,49,Mar 15,0,10,0,0.0
30,57,Mar 16,0,8,0,0.0
31,69,Mar 17,0,12,0,0.0
32,89,Mar 18,0,20,0,0.0
33,110,Mar 19,1,21,1,0.00909090909090909
34,130,Mar 20,1,20,0,0.007692307692307693
35,206,Mar 21,1,76,0,0.0048543689320388345
36,254,Mar 22,1,48,0,0.003937007874015748
37,315,Mar 23,1,61,0,0.0031746031746031746
38,382,Mar 24,1,67,0,0.002617801047120419
39,442,Mar 25,1,60,0,0.0022624434389140274
40,495,Mar 26,3,53,2,0.006060606060606061
41,586,Mar 27,3,91,0,0.005119453924914676
42,657,Mar 28,5,71,2,0.0076103500761035
43,713,Mar 29,6,56,1,0.008415147265077139
44,790,Mar 30,6,77,0,0.007594936708860759
45,867,Mar 31,6,77,0,0.006920415224913495
46,963,Apr 01,6,96,0,0.006230529595015576
47,1011,Apr 02,7,48,1,0.006923837784371909
48,1079,Apr 03,8,68,1,0.0074142724745134385
49,1126,Apr 04,12,47,4,0.010657193605683837
50,1182,Apr 05,15,56,3,0.012690355329949238
51,1222,Apr 06,16,40,1,0.01309328968903437
52,1282,Apr 07,18,60,2,0.014040561622464899
53,1343,Apr 08,19,61,1,0.014147431124348473
54,1407,Apr 09,20,64,1,0.014214641080312722
55,1495,Apr 10,21,88,1,0.014046822742474917
56,1534,Apr 11,21,39,0,0.013689700130378096
57,1600,Apr 12,23,66,2,0.014375
58,1650,Apr 13,25,50,2,0.015151515151515152
59,1704,Apr 14,31,54,6,0.018192488262910797
60,1741,Apr 15,33,37,2,0.018954623779437105
61,1791,Apr 16,35,50,2,0.01954215522054718
62,1814,Apr 17,36,23,1,0.019845644983461964
63,1832,Apr 18,39,18,3,0.0212882096069869
64,1871,Apr 19,47,39,8,0.02512025654730091
65,1881,Apr 20,47,10,0,0.024986709197235512
66,1908,Apr 21,48,27,1,0.025157232704402517
67,1950,Apr 22,48,42,0,0.024615384615384615
68,1981,Apr 23,50,31,2,0.02523977788995457
69,2009,Apr 24,51,28,1,0.02538576406172225
70,2016,Apr 25,54,7,3,0.026785714285714284
71,2030,Apr 26,55,14,1,0.027093596059113302
72,2039,Apr 27,59,9,4,0.02893575282000981
73,2047,Apr 28,63,8,4,0.030776746458231558
74,2062,Apr 29,67,15,4,0.03249272550921436
75,2076,Apr 30,69,14,2,0.033236994219653176
76,2085,May 01,75,9,6,0.03597122302158273
77,2088,May 02,77,3,2,0.036877394636015325
78,2096,May 03,79,8,2,0.03769083969465649
79,2101,May 04,80,5,1,0.03807710613993336
80,2112,May 05,83,11,3,0.039299242424242424
81,2119,May 06,85,7,2,0.04011326097215668
82,2125,May 07,86,6,1,0.04047058823529412
