,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,1,Mar 13,0,1,0,0.0
28,2,Mar 14,0,1,0,0.0
29,2,Mar 15,0,0,0,0.0
30,2,Mar 16,0,0,0,0.0
31,3,Mar 17,0,1,0,0.0
32,3,Mar 18,0,0,0,0.0
33,3,Mar 19,1,0,0,0.3333333333333333
34,3,Mar 20,1,0,0,0.3333333333333333
35,3,Mar 21,1,0,0,0.3333333333333333
36,3,Mar 22,1,0,0,0.3333333333333333
37,4,Mar 23,1,1,0,0.25
38,6,Mar 24,1,2,0,0.16666666666666666
39,6,Mar 25,1,0,0,0.16666666666666666
40,7,Mar 26,1,1,0,0.14285714285714285
41,8,Mar 27,1,1,0,0.125
42,8,Mar 28,1,0,0,0.125
43,8,Mar 29,1,0,0,0.125
44,11,Mar 30,1,3,0,0.09090909090909091
45,11,Mar 31,1,0,0,0.09090909090909091
46,11,Apr 01,1,0,0,0.09090909090909091
47,11,Apr 02,1,0,0,0.09090909090909091
48,11,Apr 03,1,0,0,0.09090909090909091
49,11,Apr 04,1,0,0,0.09090909090909091
50,11,Apr 05,1,0,0,0.09090909090909091
51,13,Apr 06,1,2,0,0.07692307692307693
52,13,Apr 07,1,0,0,0.07692307692307693
53,14,Apr 08,1,1,0,0.07142857142857142
54,14,Apr 09,1,0,0,0.07142857142857142
55,14,Apr 10,1,0,0,0.07142857142857142
56,14,Apr 11,1,0,0,0.07142857142857142
57,14,Apr 12,1,0,0,0.07142857142857142
58,14,Apr 13,1,0,0,0.07142857142857142
59,14,Apr 14,1,0,0,0.07142857142857142
60,14,Apr 15,1,0,0,0.07142857142857142
61,14,Apr 16,1,0,0,0.07142857142857142
62,14,Apr 17,1,0,0,0.07142857142857142
63,14,Apr 18,1,0,0,0.07142857142857142
64,14,Apr 19,1,0,0,0.07142857142857142
65,14,Apr 20,1,0,0,0.07142857142857142
66,14,Apr 21,1,0,0,0.07142857142857142
67,14,Apr 22,1,0,0,0.07142857142857142
68,14,Apr 23,1,0,0,0.07142857142857142
69,16,Apr 24,1,2,0,0.0625
70,16,Apr 25,1,0,0,0.0625
71,16,Apr 26,1,0,0,0.0625
72,16,Apr 27,1,0,0,0.0625
73,16,Apr 28,1,0,0,0.0625
74,16,Apr 29,1,0,0,0.0625
75,16,Apr 30,1,0,0,0.0625
76,16,May 01,1,0,0,0.0625
77,16,May 02,1,0,0,0.0625
78,16,May 03,1,0,0,0.0625
79,16,May 04,1,0,0,0.0625
80,16,May 05,1,0,0,0.0625
81,16,May 06,1,0,0,0.0625
82,16,May 07,1,0,0,0.0625
