,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,2,Mar 09,0,2,0,0.0
24,2,Mar 10,0,0,0,0.0
25,6,Mar 11,0,4,0,0.0
26,10,Mar 12,0,4,0,0.0
27,14,Mar 13,0,4,0,0.0
28,26,Mar 14,0,12,0,0.0
29,33,Mar 15,0,7,0,0.0
30,46,Mar 16,0,13,0,0.0
31,49,Mar 17,0,3,0,0.0
32,58,Mar 18,0,9,0,0.0
33,67,Mar 19,0,9,0,0.0
34,75,Mar 20,0,8,0,0.0
35,84,Mar 21,1,9,0,0.011904761904761904
36,95,Mar 22,1,11,0,0.010526315789473684
37,116,Mar 23,1,21,0,0.008620689655172414
38,124,Mar 24,3,8,0,0.024193548387096774
39,132,Mar 25,3,8,0,0.022727272727272728
40,146,Mar 26,3,14,1,0.02054794520547945
41,162,Mar 27,5,16,0,0.030864197530864196
42,179,Mar 28,5,17,1,0.027932960893854747
43,214,Mar 29,6,35,1,0.028037383177570093
44,230,Mar 30,7,16,1,0.030434782608695653
45,262,Mar 31,8,32,0,0.030534351145038167
46,320,Apr 01,9,58,1,0.028125
47,356,Apr 02,10,36,1,0.028089887640449437
48,396,Apr 03,11,40,1,0.027777777777777776
49,426,Apr 04,9,30,1,0.02112676056338028
50,446,Apr 05,9,20,0,0.020179372197309416
51,465,Apr 06,9,19,0,0.01935483870967742
52,494,Apr 07,9,29,0,0.018218623481781375
53,526,Apr 08,9,32,0,0.017110266159695818
54,564,Apr 09,10,38,0,0.01773049645390071
55,595,Apr 10,10,31,0,0.01680672268907563
56,616,Apr 11,10,21,0,0.016233766233766232
57,633,Apr 12,11,17,1,0.017377567140600316
58,662,Apr 13,12,29,0,0.01812688821752266
59,695,Apr 14,12,33,1,0.017266187050359712
60,715,Apr 15,12,20,0,0.016783216783216783
61,735,Apr 16,12,20,0,0.0163265306122449
62,750,Apr 17,12,15,1,0.016
63,761,Apr 18,12,11,0,0.01576872536136662
64,767,Apr 19,12,6,0,0.01564537157757497
65,772,Apr 20,12,5,0,0.015544041450777202
66,784,Apr 21,12,12,0,0.015306122448979591
67,790,Apr 22,13,6,0,0.016455696202531647
68,795,Apr 23,13,5,0,0.016352201257861635
69,804,Apr 24,14,9,1,0.017412935323383085
70,810,Apr 25,14,6,0,0.01728395061728395
71,817,Apr 26,14,7,0,0.017135862913096694
72,822,Apr 27,15,5,1,0.01824817518248175
73,837,Apr 28,15,15,0,0.017921146953405017
74,843,Apr 29,15,6,0,0.017793594306049824
75,850,Apr 30,15,7,1,0.01764705882352941
76,857,May 01,15,7,0,0.01750291715285881
77,864,May 02,15,7,0,0.017361111111111112
78,872,May 03,15,8,0,0.017201834862385322
79,874,May 04,15,2,0,0.017162471395881007
80,878,May 05,15,4,0,0.017084282460136675
81,883,May 06,15,5,0,0.01698754246885617
82,889,May 07,15,6,0,0.01687289088863892
