,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,3,Mar 01,0,3,0,0.0
16,4,Mar 02,0,1,0,0.0
17,5,Mar 03,0,1,0,0.0
18,8,Mar 04,0,3,0,0.0
19,12,Mar 05,0,4,0,0.0
20,19,Mar 06,0,7,0,0.0
21,26,Mar 07,0,7,0,0.0
22,32,Mar 08,0,6,0,0.0
23,38,Mar 09,0,6,0,0.0
24,63,Mar 10,0,25,0,0.0
25,94,Mar 11,0,31,0,0.0
26,116,Mar 12,0,22,0,0.0
27,141,Mar 13,0,25,0,0.0
28,189,Mar 14,0,48,0,0.0
29,293,Mar 15,0,104,0,0.0
30,344,Mar 16,0,51,0,0.0
31,434,Mar 17,0,90,0,0.0
32,522,Mar 18,0,88,0,0.0
33,694,Mar 19,0,172,0,0.0
34,833,Mar 20,0,139,0,0.0
35,995,Mar 21,0,162,0,0.0
36,1120,Mar 22,1,125,1,0.0008928571428571428
37,1236,Mar 23,1,116,0,0.0008090614886731392
38,1394,Mar 24,3,158,2,0.002152080344332855
39,1654,Mar 25,6,260,3,0.0036275695284159614
40,1925,Mar 26,9,271,3,0.004675324675324675
41,2279,Mar 27,9,354,0,0.003949100482667837
42,2631,Mar 28,11,352,2,0.004180919802356519
43,2817,Mar 29,16,186,5,0.0056798012069577564
44,3001,Mar 30,23,184,7,0.007664111962679107
45,3308,Mar 31,31,307,8,0.009371221281741234
46,3589,Apr 01,39,281,8,0.010866536639732517
47,3858,Apr 02,44,269,5,0.011404872991187144
48,4190,Apr 03,53,332,9,0.012649164677804296
49,4472,Apr 04,59,282,6,0.013193202146690518
50,4587,Apr 05,67,115,8,0.01460649662088511
51,4822,Apr 06,78,235,11,0.016175860638739114
52,5017,Apr 07,88,195,10,0.01754036276659358
53,5312,Apr 08,99,295,11,0.018637048192771084
54,5569,Apr 09,112,257,13,0.02011133057999641
55,5732,Apr 10,119,163,7,0.020760642009769716
56,5902,Apr 11,129,170,10,0.021856997627922738
57,5991,Apr 12,138,89,9,0.02303455182774161
58,6059,Apr 13,143,68,5,0.023601254332398087
59,6111,Apr 14,161,52,18,0.026345933562428408
60,6301,Apr 15,166,190,5,0.026345024599269958
61,6433,Apr 16,169,132,3,0.02627079123270636
62,6549,Apr 17,173,116,4,0.026416246755229807
63,6606,Apr 18,181,57,8,0.027399333938843477
64,6746,Apr 19,186,140,5,0.02757189445597391
65,6900,Apr 20,194,154,8,0.028115942028985506
66,7033,Apr 21,201,133,7,0.02857955353334281
67,7132,Apr 22,208,99,7,0.029164329781267526
68,7187,Apr 23,210,55,2,0.029219423959927646
69,7273,Apr 24,214,86,4,0.029423896603877356
70,7352,Apr 25,218,79,4,0.029651795429815015
71,7404,Apr 26,220,52,2,0.02971366828741221
72,7445,Apr 27,223,41,3,0.02995298858294157
73,7504,Apr 28,227,59,4,0.03025053304904051
74,7579,Apr 29,227,75,0,0.02995118089457712
75,7682,Apr 30,236,103,9,0.030721166362926322
76,7737,May 01,240,55,4,0.031019775106630478
77,7755,May 02,245,18,5,0.03159252095422308
78,7781,May 03,248,26,3,0.03187250996015936
79,7819,May 04,252,38,4,0.03222918531781558
80,7896,May 05,257,77,5,0.03254812563323202
81,7974,May 06,262,78,5,0.032856784549786806
82,8031,May 07,270,57,8,0.03361972357116175
