,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,1,Mar 18,0,1,0,0.0
33,1,Mar 19,0,0,0,0.0
34,1,Mar 20,0,0,0,0.0
35,1,Mar 21,0,0,0,0.0
36,1,Mar 22,0,0,0,0.0
37,3,Mar 23,0,2,0,0.0
38,3,Mar 24,0,0,0,0.0
39,11,Mar 25,0,8,0,0.0
40,11,Mar 26,0,0,0,0.0
41,12,Mar 27,0,1,0,0.0
42,14,Mar 28,0,2,0,0.0
43,18,Mar 29,0,4,0,0.0
44,18,Mar 30,0,0,0,0.0
45,30,Mar 31,0,12,0,0.0
46,33,Apr 01,0,3,0,0.0
47,40,Apr 02,0,7,0,0.0
48,49,Apr 03,0,9,0,0.0
49,50,Apr 04,0,1,0,0.0
50,59,Apr 05,0,9,0,0.0
51,90,Apr 06,0,31,0,0.0
52,90,Apr 07,0,0,0,0.0
53,135,Apr 08,0,45,0,0.0
54,140,Apr 09,1,5,0,0.007142857142857143
55,150,Apr 10,1,10,0,0.006666666666666667
56,187,Apr 11,2,37,1,0.0106951871657754
57,214,Apr 12,2,27,0,0.009345794392523364
58,298,Apr 13,2,84,0,0.006711409395973154
59,363,Apr 14,2,65,0,0.005509641873278237
60,435,Apr 15,2,72,0,0.004597701149425287
61,591,Apr 16,2,156,0,0.00338409475465313
62,732,Apr 17,2,141,0,0.00273224043715847
63,732,Apr 18,2,0,0,0.00273224043715847
64,846,Apr 19,2,114,0,0.002364066193853428
65,846,Apr 20,2,0,0,0.002364066193853428
66,945,Apr 21,2,99,0,0.0021164021164021165
67,974,Apr 22,2,29,0,0.002053388090349076
68,986,Apr 23,2,12,0,0.002028397565922921
69,999,Apr 24,2,13,0,0.002002002002002002
70,1008,Apr 25,2,9,0,0.001984126984126984
71,1023,Apr 26,2,15,0,0.0019550342130987292
72,1035,Apr 27,2,12,0,0.001932367149758454
73,1072,Apr 28,2,37,0,0.0018656716417910447
74,1077,Apr 29,2,5,0,0.0018570102135561746
75,1089,Apr 30,2,12,0,0.0018365472910927456
76,1097,May 01,2,8,0,0.0018231540565177757
77,1112,May 02,2,15,0,0.0017985611510791368
78,1112,May 03,2,0,0,0.0017985611510791368
79,1116,May 04,2,4,0,0.0017921146953405018
80,1120,May 05,2,4,0,0.0017857142857142857
81,1124,May 06,3,4,1,0.0026690391459074734
82,1133,May 07,3,9,0,0.00264783759929391
