,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,1,Mar 01,0,1,0,0.0
16,1,Mar 02,0,0,0,0.0
17,1,Mar 03,0,0,0,0.0
18,1,Mar 04,0,0,0,0.0
19,1,Mar 05,0,0,0,0.0
20,2,Mar 06,0,1,0,0.0
21,2,Mar 07,0,0,0,0.0
22,5,Mar 08,0,3,0,0.0
23,5,Mar 09,0,0,0,0.0
24,5,Mar 10,0,0,0,0.0
25,5,Mar 11,0,0,0,0.0
26,5,Mar 12,0,0,0,0.0
27,5,Mar 13,0,0,0,0.0
28,11,Mar 14,0,6,0,0.0
29,11,Mar 15,0,0,0,0.0
30,21,Mar 16,1,10,1,0.047619047619047616
31,21,Mar 17,1,0,0,0.047619047619047616
32,34,Mar 18,2,13,1,0.058823529411764705
33,34,Mar 19,2,0,0,0.058823529411764705
34,72,Mar 20,2,38,0,0.027777777777777776
35,112,Mar 21,3,40,1,0.026785714285714284
36,202,Mar 22,3,90,0,0.01485148514851485
37,245,Mar 23,3,43,0,0.012244897959183673
38,312,Mar 24,6,67,3,0.019230769230769232
39,392,Mar 25,10,80,4,0.025510204081632654
40,488,Mar 26,10,96,0,0.020491803278688523
41,581,Mar 27,20,93,10,0.03442340791738382
42,719,Mar 28,28,138,8,0.03894297635605007
43,859,Mar 29,39,140,11,0.04540162980209546
44,901,Mar 30,42,42,3,0.04661487236403995
45,1109,Mar 31,51,208,9,0.045987376014427414
46,1284,Apr 01,57,175,6,0.04439252336448598
47,1380,Apr 02,60,96,3,0.043478260869565216
48,1488,Apr 03,68,108,8,0.0456989247311828
49,1578,Apr 04,77,90,9,0.048795944233206594
50,1745,Apr 05,82,167,5,0.04699140401146132
51,1828,Apr 06,86,83,4,0.047045951859956234
52,1956,Apr 07,98,128,12,0.050102249488752554
53,2111,Apr 08,108,155,10,0.05116058739933681
54,2349,Apr 09,118,238,10,0.05023414218816517
55,2620,Apr 10,126,271,8,0.048091603053435114
56,2759,Apr 11,135,139,9,0.04893077201884741
57,2967,Apr 12,173,208,38,0.058308055274688235
58,3167,Apr 13,177,200,4,0.055888853804862644
59,3286,Apr 14,183,119,6,0.055690809494826535
60,3614,Apr 15,189,328,6,0.052296624239070284
61,3755,Apr 16,196,141,7,0.052197070572569906
62,4126,Apr 17,200,371,4,0.048473097430925836
63,4335,Apr 18,217,209,17,0.05005767012687428
64,4680,Apr 19,226,345,9,0.04829059829059829
65,4964,Apr 20,235,284,9,0.04734085414987913
66,5044,Apr 21,245,80,10,0.0485725614591594
67,5300,Apr 22,260,256,15,0.04905660377358491
68,5543,Apr 23,265,243,5,0.047808046184376694
69,5749,Apr 24,267,206,2,0.04644285962776135
70,5926,Apr 25,273,177,6,0.04606817414782315
71,6135,Apr 26,278,209,5,0.045313773431132846
72,6293,Apr 27,282,158,4,0.04481169553472112
73,6416,Apr 28,286,123,4,0.044576059850374064
74,6652,Apr 29,293,236,7,0.044046903187011426
75,6972,Apr 30,301,320,8,0.04317269076305221
76,7288,May 01,313,316,12,0.04294731064763996
77,7578,May 02,326,290,13,0.043019266297176034
78,7954,May 03,333,376,7,0.04186572793562987
79,8235,May 04,346,281,13,0.04201578627808136
80,8480,May 05,354,245,8,0.04174528301886792
81,8807,May 06,362,327,8,0.04110366753718633
82,9095,May 07,373,288,11,0.041011544804837825
