,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,1,Feb 29,0,1,0,0.0
15,6,Mar 01,0,5,0,0.0
16,6,Mar 02,0,0,0,0.0
17,7,Mar 03,0,1,0,0.0
18,10,Mar 04,0,3,0,0.0
19,13,Mar 05,0,3,0,0.0
20,13,Mar 06,0,0,0,0.0
21,14,Mar 07,0,1,0,0.0
22,14,Mar 08,0,0,0,0.0
23,15,Mar 09,0,1,0,0.0
24,17,Mar 10,0,2,0,0.0
25,17,Mar 11,0,0,0,0.0
26,17,Mar 12,0,0,0,0.0
27,23,Mar 13,1,6,1,0.043478260869565216
28,28,Mar 14,2,5,1,0.07142857142857142
29,37,Mar 15,2,9,0,0.05405405405405406
30,58,Mar 16,2,21,0,0.034482758620689655
31,111,Mar 17,2,53,0,0.018018018018018018
32,168,Mar 18,3,57,1,0.017857142857142856
33,260,Mar 19,3,92,0,0.011538461538461539
34,426,Mar 20,7,166,4,0.01643192488262911
35,532,Mar 21,7,106,0,0.013157894736842105
36,789,Mar 22,14,257,7,0.017743979721166033
37,981,Mar 23,18,192,4,0.01834862385321101
38,1082,Mar 24,27,101,9,0.024953789279112754
39,1211,Mar 25,29,129,2,0.023947151114781174
40,1403,Mar 26,34,192,5,0.024233784746970778
41,1627,Mar 27,41,224,7,0.02519975414874001
42,1823,Mar 28,48,196,7,0.026330224904004388
43,1924,Mar 29,58,101,10,0.030145530145530147
44,1966,Mar 30,62,42,4,0.03153611393692777
45,2302,Mar 31,79,336,17,0.03431798436142485
46,2758,Apr 01,98,456,19,0.03553299492385787
47,3163,Apr 02,120,405,22,0.0379386658235852
48,3368,Apr 03,145,205,25,0.043052256532066506
49,3465,Apr 04,172,97,27,0.04963924963924964
50,3646,Apr 05,180,181,8,0.04936917169500823
51,3747,Apr 06,191,101,11,0.05097411262343208
52,3995,Apr 07,220,248,29,0.05506883604505632
53,4450,Apr 08,242,455,22,0.05438202247191011
54,4965,Apr 09,272,515,30,0.054783484390735146
55,7161,Apr 10,297,2196,25,0.041474654377880185
56,7257,Apr 11,315,96,18,0.0434063662670525
57,7466,Apr 12,333,209,18,0.04460219662469864
58,7529,Apr 13,355,63,22,0.04715101607119139
59,7603,Apr 14,369,74,14,0.048533473628830724
60,7858,Apr 15,388,255,19,0.04937643166200051
61,8225,Apr 16,403,367,15,0.04899696048632219
62,8450,Apr 17,421,225,18,0.04982248520710059
63,9022,Apr 18,456,572,35,0.050543116825537575
64,9468,Apr 19,474,446,18,0.050063371356147024
65,10128,Apr 20,507,660,33,0.05005924170616114
66,10398,Apr 21,520,270,13,0.05000961723408348
67,10850,Apr 22,537,452,17,0.049493087557603684
68,11183,Apr 23,560,333,23,0.05007600822677278
69,20258,Apr 24,576,9075,16,0.028433211570737485
70,20258,Apr 25,576,0,0,0.028433211570737485
71,20258,Apr 26,576,0,0,0.028433211570737485
72,20779,Apr 27,663,521,87,0.0319072140141489
73,21797,Apr 28,871,1018,208,0.039959627471670416
74,22214,Apr 29,883,417,12,0.039749707391734945
75,22473,Apr 30,900,259,17,0.040048057669203045
76,23875,May 01,1063,1402,163,0.044523560209424086
77,25003,May 02,1371,1128,308,0.05483341998960125
78,27077,May 03,1564,2074,193,0.057761199542046754
79,29420,May 04,1569,2343,5,0.05333106730115568
80,29420,May 05,1569,0,0,0.05333106730115568
81,29420,May 06,1618,0,49,0.05499660095173352
82,30298,May 07,1654,878,36,0.05459106211631131
