,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,0,Mar 18,0,0,0,0.0
33,1,Mar 19,0,1,0,0.0
34,1,Mar 20,0,0,0,0.0
35,3,Mar 21,0,2,0,0.0
36,3,Mar 22,0,0,0,0.0
37,3,Mar 23,0,0,0,0.0
38,5,Mar 24,0,2,0,0.0
39,9,Mar 25,0,4,0,0.0
40,13,Mar 26,0,4,0,0.0
41,13,Mar 27,0,0,0,0.0
42,19,Mar 28,0,6,0,0.0
43,24,Mar 29,0,5,0,0.0
44,30,Mar 30,0,6,0,0.0
45,32,Mar 31,1,2,0,0.03125
46,33,Apr 01,2,1,1,0.06060606060606061
47,41,Apr 02,2,8,0,0.04878048780487805
48,46,Apr 03,3,5,1,0.06521739130434782
49,56,Apr 04,3,10,0,0.05357142857142857
50,62,Apr 05,3,6,0,0.04838709677419355
51,69,Apr 06,4,7,1,0.057971014492753624
52,78,Apr 07,4,9,0,0.05128205128205128
53,93,Apr 08,5,15,1,0.053763440860215055
54,103,Apr 09,6,10,1,0.05825242718446602
55,117,Apr 10,6,14,0,0.05128205128205128
56,118,Apr 11,6,1,0,0.05084745762711865
57,125,Apr 12,6,7,0,0.048
58,137,Apr 13,6,12,0,0.043795620437956206
59,149,Apr 14,6,12,0,0.040268456375838924
60,159,Apr 15,6,10,0,0.03773584905660377
61,164,Apr 16,6,5,0,0.036585365853658534
62,177,Apr 17,7,13,1,0.03954802259887006
63,190,Apr 18,7,13,0,0.03684210526315789
64,201,Apr 19,7,11,0,0.03482587064676617
65,218,Apr 20,7,17,0,0.03211009174311927
66,225,Apr 21,7,7,0,0.03111111111111111
67,237,Apr 22,7,12,0,0.029535864978902954
68,250,Apr 23,8,13,1,0.032
69,261,Apr 24,8,11,0,0.03065134099616858
70,274,Apr 25,8,13,0,0.029197080291970802
71,298,Apr 26,8,24,0,0.026845637583892617
72,323,Apr 27,8,25,0,0.02476780185758514
73,345,Apr 28,8,22,0,0.02318840579710145
74,377,Apr 29,9,32,1,0.023872679045092837
75,395,Apr 30,10,18,1,0.02531645569620253
76,424,May 01,10,29,0,0.02358490566037736
77,446,May 02,11,22,1,0.02466367713004484
78,490,May 03,11,44,0,0.022448979591836733
79,555,May 04,13,65,2,0.023423423423423424
80,587,May 05,13,32,0,0.022146507666098807
81,633,May 06,15,46,2,0.023696682464454975
82,695,May 07,15,62,0,0.02158273381294964
