,Dates,Cases,Deaths,Active Cases,Daily Cases,Daily Deaths,CFR,Cases growth rate,Deaths growth rate
0,Feb 15,0,0,0,0,0,0.0,0.0,0.0
1,Feb 16,0,0,0,0,0,0.0,0.0,0.0
2,Feb 17,0,0,0,0,0,0.0,0.0,0.0
3,Feb 18,0,0,0,0,0,0.0,0.0,0.0
4,Feb 19,0,0,0,0,0,0.0,0.0,0.0
5,Feb 20,0,0,0,0,0,0.0,0.0,0.0
6,Feb 21,0,0,0,0,0,0.0,0.0,0.0
7,Feb 22,0,0,0,0,0,0.0,0.0,0.0
8,Feb 23,0,0,0,0,0,0.0,0.0,0.0
9,Feb 24,0,0,0,0,0,0.0,0.0,0.0
10,Feb 25,0,0,0,0,0,0.0,0.0,0.0
11,Feb 26,0,0,0,0,0,0.0,0.0,0.0
12,Feb 27,0,0,0,0,0,0.0,0.0,0.0
13,Feb 28,0,0,0,0,0,0.0,0.0,0.0
14,Feb 29,0,0,0,0,0,0.0,0.0,0.0
15,Mar 01,0,0,0,0,0,0.0,0.0,0.0
16,Mar 02,0,0,0,0,0,0.0,0.0,0.0
17,Mar 03,0,0,0,0,0,0.0,0.0,0.0
18,Mar 04,0,0,0,0,0,0.0,0.0,0.0
19,Mar 05,0,0,0,0,0,0.0,0.0,0.0
20,Mar 06,0,0,0,0,0,0.0,0.0,0.0
21,Mar 07,0,0,0,0,0,0.0,0.0,0.0
22,Mar 08,0,0,0,0,0,0.0,0.0,0.0
23,Mar 09,0,0,0,0,0,0.0,0.0,0.0
24,Mar 10,0,0,0,0,0,0.0,0.0,0.0
25,Mar 11,0,0,0,0,0,0.0,0.0,0.0
26,Mar 12,0,0,0,0,0,0.0,0.0,0.0
27,Mar 13,0,0,0,0,0,0.0,0.0,0.0
28,Mar 14,1,0,1,1,0,0.0,0.0,0.0
29,Mar 15,1,0,1,0,0,0.0,1.0,0.0
30,Mar 16,1,0,1,0,0,0.0,1.0,0.0
31,Mar 17,1,0,1,0,0,0.0,1.0,0.0
32,Mar 18,4,0,4,3,0,0.0,4.0,0.0
33,Mar 19,6,0,6,2,0,0.0,1.5,0.0
34,Mar 20,6,0,6,0,0,0.0,1.0,0.0
35,Mar 21,6,0,6,0,0,0.0,1.0,0.0
36,Mar 22,6,0,6,0,0,0.0,1.0,0.0
37,Mar 23,9,0,9,3,0,0.0,1.5,0.0
38,Mar 24,9,0,9,0,0,0.0,1.0,0.0
39,Mar 25,9,0,9,0,0,0.0,1.0,0.0
40,Mar 26,12,0,12,3,0,0.0,1.3333333333333333,0.0
41,Mar 27,12,0,12,0,0,0.0,1.0,0.0
42,Mar 28,12,0,12,0,0,0.0,1.0,0.0
43,Mar 29,12,0,12,0,0,0.0,1.0,0.0
44,Mar 30,12,0,12,0,0,0.0,1.0,0.0
45,Mar 31,15,0,14,3,0,0.0,1.25,0.0
46,Apr 01,15,0,14,0,0,0.0,1.0,0.0
47,Apr 02,15,0,14,0,0,0.0,1.0,0.0
48,Apr 03,16,0,15,1,0,0.0,1.0666666666666667,0.0
49,Apr 04,16,0,15,0,0,0.0,1.0,0.0
50,Apr 05,16,0,15,0,0,0.0,1.0,0.0
51,Apr 06,16,0,13,0,0,0.0,1.0,0.0
52,Apr 07,16,0,13,0,0,0.0,1.0,0.0
53,Apr 08,18,0,15,2,0,0.0,1.125,0.0
54,Apr 09,18,0,15,0,0,0.0,1.0,0.0
55,Apr 10,18,0,15,0,0,0.0,1.0,0.0
56,Apr 11,18,0,15,0,0,0.0,1.0,0.0
57,Apr 12,21,0,18,3,0,0.0,1.1666666666666667,0.0
58,Apr 13,21,0,17,0,0,0.0,1.0,0.0
59,Apr 14,41,0,37,20,0,0.0,1.9523809523809523,0.0
60,Apr 15,51,0,47,10,0,0.0,1.2439024390243902,0.0
61,Apr 16,51,0,47,0,0,0.0,1.0,0.0
62,Apr 17,79,0,75,28,0,0.0,1.5490196078431373,0.0
63,Apr 18,79,0,75,0,0,0.0,1.0,0.0
64,Apr 19,79,0,75,0,0,0.0,1.0,0.0
65,Apr 20,153,0,146,74,0,0.0,1.9367088607594938,0.0
66,Apr 21,209,0,202,56,0,0.0,1.3660130718954249,0.0
67,Apr 22,209,1,201,0,0,0.004784688995215311,1.0,0.0
68,Apr 23,209,1,201,0,0,0.004784688995215311,1.0,1.0
69,Apr 24,214,1,206,5,0,0.004672897196261682,1.0239234449760766,1.0
70,Apr 25,258,1,250,44,0,0.003875968992248062,1.205607476635514,1.0
71,Apr 26,258,1,249,0,0,0.003875968992248062,1.0,1.0
72,Apr 27,258,1,248,0,0,0.003875968992248062,1.0,1.0
73,Apr 28,315,1,305,57,0,0.0031746031746031746,1.2209302325581395,1.0
74,Apr 29,315,1,305,0,0,0.0031746031746031746,1.0,1.0
75,Apr 30,315,1,305,0,0,0.0031746031746031746,1.0,1.0
