,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,1,Feb 27,0,1,0,0.0
13,1,Feb 28,0,0,0,0.0
14,1,Feb 29,0,0,0,0.0
15,1,Mar 01,0,0,0,0.0
16,1,Mar 02,0,0,0,0.0
17,2,Mar 03,0,1,0,0.0
18,2,Mar 04,0,0,0,0.0
19,5,Mar 05,0,3,0,0.0
20,10,Mar 06,0,5,0,0.0
21,10,Mar 07,0,0,0,0.0
22,10,Mar 08,0,0,0,0.0
23,10,Mar 09,0,0,0,0.0
24,13,Mar 10,0,3,0,0.0
25,16,Mar 11,0,3,0,0.0
26,27,Mar 12,0,11,0,0.0
27,79,Mar 13,0,52,0,0.0
28,115,Mar 14,0,36,0,0.0
29,171,Mar 15,0,56,0,0.0
30,205,Mar 16,0,34,0,0.0
31,225,Mar 17,0,20,0,0.0
32,258,Mar 18,0,33,0,0.0
33,267,Mar 19,0,9,0,0.0
34,283,Mar 20,0,16,0,0.0
35,306,Mar 21,0,23,0,0.0
36,326,Mar 22,0,20,0,0.0
37,352,Mar 23,0,26,0,0.0
38,369,Mar 24,0,17,0,0.0
39,404,Mar 25,1,35,1,0.0024752475247524753
40,538,Mar 26,1,134,0,0.0018587360594795538
41,575,Mar 27,1,37,0,0.0017391304347826088
42,645,Mar 28,1,70,0,0.0015503875968992248
43,679,Mar 29,3,34,2,0.004418262150220913
44,715,Mar 30,3,36,0,0.004195804195804196
45,745,Mar 31,4,30,1,0.005369127516778523
46,779,Apr 01,5,34,1,0.006418485237483954
47,858,Apr 02,11,79,6,0.01282051282051282
48,961,Apr 03,12,103,1,0.012486992715920915
49,1039,Apr 04,13,78,1,0.012512030798845043
50,1097,Apr 05,15,58,2,0.013673655423883319
51,1108,Apr 06,19,11,4,0.017148014440433214
52,1149,Apr 07,21,41,2,0.018276762402088774
53,1185,Apr 08,24,36,3,0.020253164556962026
54,1207,Apr 09,24,22,0,0.01988400994200497
55,1258,Apr 10,24,51,0,0.019077901430842606
56,1304,Apr 11,24,46,0,0.018404907975460124
57,1309,Apr 12,25,5,1,0.019098548510313215
58,1332,Apr 13,28,23,3,0.021021021021021023
59,1373,Apr 14,31,41,3,0.022578295702840496
60,1400,Apr 15,35,27,4,0.025
61,1434,Apr 16,36,34,1,0.02510460251046025
62,1459,Apr 17,38,25,2,0.02604523646333105
63,1512,Apr 18,38,53,0,0.02513227513227513
64,1528,Apr 19,40,16,2,0.02617801047120419
65,1535,Apr 20,40,7,0,0.026058631921824105
66,1552,Apr 21,43,17,3,0.027706185567010308
67,1559,Apr 22,44,7,1,0.028223220012828735
68,1592,Apr 23,45,33,1,0.028266331658291458
69,1605,Apr 24,46,13,1,0.02866043613707165
70,1635,Apr 25,46,30,0,0.028134556574923548
71,1643,Apr 26,49,8,3,0.02982349360925137
72,1647,Apr 27,50,4,1,0.030358227079538554
73,1660,Apr 28,50,13,0,0.030120481927710843
74,1666,Apr 29,50,6,0,0.030012004801920768
75,1689,Apr 30,52,23,2,0.03078744819419775
76,1694,May 01,52,5,0,0.030696576151121605
77,1699,May 02,53,5,1,0.031194820482636845
78,1700,May 03,55,1,2,0.03235294117647059
79,1703,May 04,55,3,0,0.03229594832648268
80,1711,May 05,55,8,0,0.032144944476914086
81,1713,May 06,55,2,0,0.03210741389375365
82,1720,May 07,56,7,1,0.03255813953488372
