,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,1,Mar 14,0,1,0,0.0
29,1,Mar 15,0,0,0,0.0
30,1,Mar 16,0,0,0,0.0
31,1,Mar 17,0,0,0,0.0
32,1,Mar 18,0,0,0,0.0
33,1,Mar 19,0,0,0,0.0
34,1,Mar 20,0,0,0,0.0
35,1,Mar 21,0,0,0,0.0
36,4,Mar 22,0,3,0,0.0
37,4,Mar 23,0,0,0,0.0
38,4,Mar 24,0,0,0,0.0
39,4,Mar 25,0,0,0,0.0
40,6,Mar 26,0,2,0,0.0
41,9,Mar 27,0,3,0,0.0
42,9,Mar 28,0,0,0,0.0
43,9,Mar 29,0,0,0,0.0
44,9,Mar 30,0,0,0,0.0
45,9,Mar 31,0,0,0,0.0
46,9,Apr 01,0,0,0,0.0
47,9,Apr 02,0,0,0,0.0
48,9,Apr 03,0,0,0,0.0
49,9,Apr 04,0,0,0,0.0
50,9,Apr 05,0,0,0,0.0
51,10,Apr 06,0,1,0,0.0
52,10,Apr 07,0,0,0,0.0
53,12,Apr 08,0,2,0,0.0
54,12,Apr 09,0,0,0,0.0
55,12,Apr 10,0,0,0,0.0
56,12,Apr 11,0,0,0,0.0
57,14,Apr 12,0,2,0,0.0
58,15,Apr 13,0,1,0,0.0
59,15,Apr 14,0,0,0,0.0
60,15,Apr 15,0,0,0,0.0
61,16,Apr 16,1,1,0,0.0625
62,16,Apr 17,1,0,0,0.0625
63,22,Apr 18,1,6,0,0.045454545454545456
64,22,Apr 19,1,0,0,0.045454545454545456
65,24,Apr 20,1,2,0,0.041666666666666664
66,31,Apr 21,1,7,0,0.03225806451612903
67,31,Apr 22,1,0,0,0.03225806451612903
68,31,Apr 23,1,0,0,0.03225806451612903
69,36,Apr 24,1,5,0,0.027777777777777776
70,56,Apr 25,1,20,0,0.017857142857142856
71,59,Apr 26,1,3,0,0.01694915254237288
72,65,Apr 27,1,6,0,0.015384615384615385
73,71,Apr 28,1,6,0,0.014084507042253521
74,91,Apr 29,1,20,0,0.01098901098901099
75,100,Apr 30,1,9,0,0.01
76,106,May 01,1,6,0,0.009433962264150943
77,108,May 02,1,2,0,0.009259259259259259
78,112,May 03,1,4,0,0.008928571428571428
79,116,May 04,1,4,0,0.008620689655172414
80,119,May 05,1,3,0,0.008403361344537815
81,123,May 06,2,4,1,0.016260162601626018
82,153,May 07,2,30,0,0.013071895424836602
