,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,1,Mar 13,0,1,0,0.0
28,1,Mar 14,0,0,0,0.0
29,4,Mar 15,0,3,0,0.0
30,5,Mar 16,0,1,0,0.0
31,6,Mar 17,0,1,0,0.0
32,6,Mar 18,0,0,0,0.0
33,7,Mar 19,0,1,0,0.0
34,9,Mar 20,0,2,0,0.0
35,9,Mar 21,0,0,0,0.0
36,11,Mar 22,0,2,0,0.0
37,11,Mar 23,0,0,0,0.0
38,12,Mar 24,0,1,0,0.0
39,12,Mar 25,0,0,0,0.0
40,12,Mar 26,0,0,0,0.0
41,16,Mar 27,0,4,0,0.0
42,16,Mar 28,0,0,0,0.0
43,21,Mar 29,0,5,0,0.0
44,23,Mar 30,0,2,0,0.0
45,26,Mar 31,0,3,0,0.0
46,29,Apr 01,0,3,0,0.0
47,29,Apr 02,0,0,0,0.0
48,35,Apr 03,0,6,0,0.0
49,38,Apr 04,0,3,0,0.0
50,43,Apr 05,2,5,0,0.046511627906976744
51,44,Apr 06,2,1,0,0.045454545454545456
52,52,Apr 07,2,8,0,0.038461538461538464
53,55,Apr 08,2,3,0,0.03636363636363636
54,56,Apr 09,2,1,0,0.03571428571428571
55,65,Apr 10,3,9,1,0.046153846153846156
56,69,Apr 11,3,4,0,0.043478260869565216
57,71,Apr 12,3,2,0,0.04225352112676056
58,74,Apr 13,3,3,0,0.04054054054054054
59,82,Apr 14,3,8,0,0.036585365853658534
60,85,Apr 15,3,3,0,0.03529411764705882
61,92,Apr 16,3,7,0,0.03260869565217391
62,96,Apr 17,3,4,0,0.03125
63,105,Apr 18,3,9,0,0.02857142857142857
64,108,Apr 19,3,3,0,0.027777777777777776
65,111,Apr 20,3,3,0,0.02702702702702703
66,114,Apr 21,3,3,0,0.02631578947368421
67,116,Apr 22,3,2,0,0.02586206896551724
68,116,Apr 23,3,0,0,0.02586206896551724
69,117,Apr 24,3,1,0,0.02564102564102564
70,122,Apr 25,3,5,0,0.02459016393442623
71,123,Apr 26,3,1,0,0.024390243902439025
72,124,Apr 27,3,1,0,0.024193548387096774
73,126,Apr 28,3,2,0,0.023809523809523808
74,130,Apr 29,3,4,0,0.023076923076923078
75,131,Apr 30,3,1,0,0.022900763358778626
76,133,May 01,3,2,0,0.022556390977443608
77,133,May 02,3,0,0,0.022556390977443608
78,135,May 03,3,2,0,0.022222222222222223
79,140,May 04,3,5,0,0.02142857142857143
80,145,May 05,4,5,1,0.027586206896551724
81,162,May 06,4,17,0,0.024691358024691357
82,191,May 07,4,29,0,0.020942408376963352
