,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,1,Mar 04,0,1,0,0.0
19,1,Mar 05,0,0,0,0.0
20,2,Mar 06,0,1,0,0.0
21,2,Mar 07,0,0,0,0.0
22,2,Mar 08,0,0,0,0.0
23,2,Mar 09,0,0,0,0.0
24,2,Mar 10,0,0,0,0.0
25,2,Mar 11,0,0,0,0.0
26,2,Mar 12,0,0,0,0.0
27,3,Mar 13,0,1,0,0.0
28,10,Mar 14,0,7,0,0.0
29,11,Mar 15,0,1,0,0.0
30,18,Mar 16,0,7,0,0.0
31,47,Mar 17,0,29,0,0.0
32,58,Mar 18,0,11,0,0.0
33,72,Mar 19,0,14,0,0.0
34,80,Mar 20,0,8,0,0.0
35,92,Mar 21,0,12,0,0.0
36,115,Mar 22,0,23,0,0.0
37,118,Mar 23,0,3,0,0.0
38,122,Mar 24,0,4,0,0.0
39,132,Mar 25,0,10,0,0.0
40,140,Mar 26,0,8,0,0.0
41,144,Mar 27,0,4,0,0.0
42,155,Mar 28,0,11,0,0.0
43,159,Mar 29,0,4,0,0.0
44,168,Mar 30,0,9,0,0.0
45,169,Mar 31,0,1,0,0.0
46,173,Apr 01,0,4,0,0.0
47,177,Apr 02,0,4,0,0.0
48,179,Apr 03,0,2,0,0.0
49,181,Apr 04,0,2,0,0.0
50,181,Apr 05,0,0,0,0.0
51,183,Apr 06,0,2,0,0.0
52,184,Apr 07,0,1,0,0.0
53,184,Apr 08,0,0,0,0.0
54,184,Apr 09,0,0,0,0.0
55,184,Apr 10,0,0,0,0.0
56,184,Apr 11,0,0,0,0.0
57,184,Apr 12,0,0,0,0.0
58,184,Apr 13,0,0,0,0.0
59,184,Apr 14,0,0,0,0.0
60,184,Apr 15,0,0,0,0.0
61,184,Apr 16,0,0,0,0.0
62,184,Apr 17,0,0,0,0.0
63,184,Apr 18,0,0,0,0.0
64,185,Apr 19,0,1,0,0.0
65,185,Apr 20,0,0,0,0.0
66,185,Apr 21,0,0,0,0.0
67,185,Apr 22,0,0,0,0.0
68,187,Apr 23,0,2,0,0.0
69,187,Apr 24,0,0,0,0.0
70,187,Apr 25,0,0,0,0.0
71,187,Apr 26,0,0,0,0.0
72,187,Apr 27,0,0,0,0.0
73,187,Apr 28,0,0,0,0.0
74,187,Apr 29,0,0,0,0.0
75,187,Apr 30,0,0,0,0.0
76,187,May 01,0,0,0,0.0
77,187,May 02,0,0,0,0.0
78,187,May 03,0,0,0,0.0
79,187,May 04,0,0,0,0.0
80,187,May 05,0,0,0,0.0
81,187,May 06,0,0,0,0.0
82,187,May 07,0,0,0,0.0
