,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,1,Feb 15,0,0,0,0.0
1,1,Feb 16,0,0,0,0.0
2,1,Feb 17,0,0,0,0.0
3,1,Feb 18,0,0,0,0.0
4,1,Feb 19,0,0,0,0.0
5,1,Feb 20,0,0,0,0.0
6,1,Feb 21,0,0,0,0.0
7,1,Feb 22,0,0,0,0.0
8,1,Feb 23,0,0,0,0.0
9,1,Feb 24,0,0,0,0.0
10,1,Feb 25,0,0,0,0.0
11,2,Feb 26,0,1,0,0.0
12,2,Feb 27,0,0,0,0.0
13,3,Feb 28,0,1,0,0.0
14,3,Feb 29,0,0,0,0.0
15,6,Mar 01,0,3,0,0.0
16,7,Mar 02,0,1,0,0.0
17,7,Mar 03,0,0,0,0.0
18,7,Mar 04,0,0,0,0.0
19,12,Mar 05,0,5,0,0.0
20,15,Mar 06,0,3,0,0.0
21,19,Mar 07,0,4,0,0.0
22,25,Mar 08,0,6,0,0.0
23,33,Mar 09,0,8,0,0.0
24,40,Mar 10,0,7,0,0.0
25,65,Mar 11,0,25,0,0.0
26,109,Mar 12,0,44,0,0.0
27,155,Mar 13,0,46,0,0.0
28,225,Mar 14,0,70,0,0.0
29,244,Mar 15,0,19,0,0.0
30,278,Mar 16,0,34,0,0.0
31,322,Mar 17,0,44,0,0.0
32,359,Mar 18,0,37,0,0.0
33,400,Mar 19,0,41,0,0.0
34,450,Mar 20,0,50,0,0.0
35,523,Mar 21,1,73,0,0.0019120458891013384
36,626,Mar 22,1,103,0,0.001597444089456869
37,700,Mar 23,1,74,0,0.0014285714285714286
38,792,Mar 24,1,92,0,0.0012626262626262627
39,880,Mar 25,3,88,0,0.003409090909090909
40,958,Mar 26,5,78,1,0.005219206680584551
41,1041,Mar 27,7,83,1,0.0067243035542747355
42,1167,Mar 28,9,126,1,0.007712082262210797
43,1240,Mar 29,11,73,1,0.008870967741935484
44,1352,Mar 30,13,112,2,0.009615384615384616
45,1418,Mar 31,17,66,2,0.011988716502115656
46,1446,Apr 01,17,28,2,0.011756569847856155
47,1518,Apr 02,19,72,2,0.012516469038208168
48,1615,Apr 03,20,97,2,0.01238390092879257
49,1882,Apr 04,25,267,2,0.013283740701381509
50,1927,Apr 05,28,45,3,0.014530358069538143
51,2176,Apr 06,27,249,2,0.012408088235294117
52,2308,Apr 07,34,132,2,0.014731369150779897
53,2487,Apr 08,40,179,4,0.016083634901487735
54,2605,Apr 09,42,118,3,0.016122840690978888
55,2769,Apr 10,48,164,4,0.01733477789815818
56,2905,Apr 11,49,136,3,0.016867469879518072
57,2974,Apr 12,56,69,4,0.01882985877605918
58,3064,Apr 13,59,90,5,0.019255874673629242
59,3161,Apr 14,64,97,4,0.02024675735526732
60,3237,Apr 15,72,76,5,0.022242817423540315
61,3369,Apr 16,75,132,4,0.02226179875333927
62,3489,Apr 17,82,120,5,0.0235024362281456
63,3681,Apr 18,90,192,6,0.02444987775061125
64,3783,Apr 19,94,102,6,0.024848004229447527
65,3868,Apr 20,98,85,5,0.025336091003102378
66,4014,Apr 21,141,146,11,0.035127055306427506
67,4129,Apr 22,149,115,11,0.03608621942358925
68,4284,Apr 23,172,155,14,0.040149393090569564
69,4395,Apr 24,177,111,14,0.040273037542662114
70,4475,Apr 25,186,80,13,0.04156424581005587
71,4576,Apr 26,190,101,14,0.041520979020979024
72,4695,Apr 27,193,119,14,0.04110756123535676
73,4740,Apr 28,199,45,8,0.0419831223628692
74,4906,Apr 29,206,166,8,0.041989400733795354
75,4995,Apr 30,211,89,6,0.04224224224224224
76,5051,May 01,218,56,5,0.04315977034250643
77,5176,May 02,220,125,5,0.04250386398763524
78,5254,May 03,230,78,6,0.04377617053673392
79,5327,May 04,240,73,7,0.045053501032476066
80,5412,May 05,246,85,6,0.045454545454545456
81,5573,May 06,252,161,7,0.045218015431544946
82,5673,May 07,255,100,6,0.0449497620306716
