,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,5,Mar 07,0,5,0,0.0
22,5,Mar 08,0,0,0,0.0
23,5,Mar 09,0,0,0,0.0
24,5,Mar 10,0,0,0,0.0
25,6,Mar 11,0,1,0,0.0
26,6,Mar 12,0,0,0,0.0
27,6,Mar 13,0,0,0,0.0
28,7,Mar 14,0,1,0,0.0
29,7,Mar 15,0,0,0,0.0
30,11,Mar 16,0,4,0,0.0
31,15,Mar 17,0,4,0,0.0
32,15,Mar 18,0,0,0,0.0
33,15,Mar 19,0,0,0,0.0
34,15,Mar 20,0,0,0,0.0
35,18,Mar 21,0,3,0,0.0
36,18,Mar 22,0,0,0,0.0
37,20,Mar 23,0,2,0,0.0
38,23,Mar 24,0,3,0,0.0
39,28,Mar 25,0,5,0,0.0
40,28,Mar 26,0,0,0,0.0
41,28,Mar 27,0,0,0,0.0
42,28,Mar 28,0,0,0,0.0
43,43,Mar 29,0,15,0,0.0
44,43,Mar 30,0,0,0,0.0
45,51,Mar 31,0,8,0,0.0
46,51,Apr 01,0,0,0,0.0
47,51,Apr 02,0,0,0,0.0
48,57,Apr 03,0,6,0,0.0
49,61,Apr 04,0,4,0,0.0
50,68,Apr 05,0,7,0,0.0
51,72,Apr 06,0,4,0,0.0
52,77,Apr 07,0,5,0,0.0
53,83,Apr 08,0,6,0,0.0
54,83,Apr 09,0,0,0,0.0
55,83,Apr 10,0,0,0,0.0
56,86,Apr 11,0,3,0,0.0
57,86,Apr 12,0,0,0,0.0
58,86,Apr 13,0,0,0,0.0
59,86,Apr 14,0,0,0,0.0
60,86,Apr 15,0,0,0,0.0
61,86,Apr 16,0,0,0,0.0
62,96,Apr 17,0,10,0,0.0
63,96,Apr 18,0,0,0,0.0
64,96,Apr 19,0,0,0,0.0
65,97,Apr 20,1,1,0,0.010309278350515464
66,97,Apr 21,1,0,0,0.010309278350515464
67,107,Apr 22,1,10,0,0.009345794392523364
68,107,Apr 23,1,0,0,0.009345794392523364
69,111,Apr 24,1,4,0,0.009009009009009009
70,111,Apr 25,1,0,0,0.009009009009009009
71,111,Apr 26,1,0,0,0.009009009009009009
72,111,Apr 27,1,0,0,0.009009009009009009
73,125,Apr 28,1,14,0,0.008
74,125,Apr 29,1,0,0,0.008
75,126,Apr 30,1,1,0,0.007936507936507936
76,128,May 01,1,2,0,0.0078125
77,128,May 02,1,0,0,0.0078125
78,128,May 03,1,0,0,0.0078125
79,133,May 04,1,5,0,0.007518796992481203
80,133,May 05,1,0,0,0.007518796992481203
81,138,May 06,1,5,0,0.007246376811594203
82,138,May 07,1,0,0,0.007246376811594203
