,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,1,Mar 13,0,1,0,0.0
28,1,Mar 14,0,0,0,0.0
29,1,Mar 15,0,0,0,0.0
30,1,Mar 16,0,0,0,0.0
31,3,Mar 17,0,2,0,0.0
32,3,Mar 18,0,0,0,0.0
33,3,Mar 19,0,0,0,0.0
34,4,Mar 20,1,1,0,0.25
35,5,Mar 21,1,1,0,0.2
36,5,Mar 22,1,0,0,0.2
37,6,Mar 23,1,1,0,0.16666666666666666
38,6,Mar 24,1,0,0,0.16666666666666666
39,6,Mar 25,1,0,0,0.16666666666666666
40,7,Mar 26,1,1,0,0.14285714285714285
41,7,Mar 27,1,0,0,0.14285714285714285
42,7,Mar 28,1,0,0,0.14285714285714285
43,7,Mar 29,1,0,0,0.14285714285714285
44,7,Mar 30,1,0,0,0.14285714285714285
45,16,Mar 31,1,9,0,0.0625
46,18,Apr 01,1,2,0,0.05555555555555555
47,21,Apr 02,1,3,0,0.047619047619047616
48,21,Apr 03,1,0,0,0.047619047619047616
49,21,Apr 04,1,0,0,0.047619047619047616
50,21,Apr 05,1,0,0,0.047619047619047616
51,24,Apr 06,1,3,0,0.041666666666666664
52,30,Apr 07,1,6,0,0.03333333333333333
53,34,Apr 08,1,4,0,0.029411764705882353
54,44,Apr 09,1,10,0,0.022727272727272728
55,44,Apr 10,1,0,0,0.022727272727272728
56,46,Apr 11,1,2,0,0.021739130434782608
57,49,Apr 12,1,3,0,0.02040816326530612
58,57,Apr 13,1,8,0,0.017543859649122806
59,57,Apr 14,1,0,0,0.017543859649122806
60,80,Apr 15,1,23,0,0.0125
61,80,Apr 16,1,0,0,0.0125
62,108,Apr 17,1,28,0,0.009259259259259259
63,108,Apr 18,1,0,0,0.009259259259259259
64,109,Apr 19,1,1,0,0.009174311926605505
65,120,Apr 20,1,11,0,0.008333333333333333
66,156,Apr 21,1,36,0,0.00641025641025641
67,166,Apr 22,1,10,0,0.006024096385542169
68,167,Apr 23,2,1,1,0.011976047904191617
69,172,Apr 24,3,5,1,0.01744186046511628
70,176,Apr 25,3,4,0,0.017045454545454544
71,176,Apr 26,3,0,0,0.017045454545454544
72,211,Apr 27,3,35,0,0.014218009478672985
73,238,Apr 28,3,27,0,0.012605042016806723
74,276,Apr 29,3,38,0,0.010869565217391304
75,276,Apr 30,3,0,0,0.010869565217391304
76,276,May 01,3,0,0,0.010869565217391304
77,335,May 02,5,59,2,0.014925373134328358
78,335,May 03,5,0,0,0.014925373134328358
79,367,May 04,6,32,1,0.01634877384196185
80,397,May 05,6,30,0,0.015113350125944584
81,397,May 06,6,0,0,0.015113350125944584
82,504,May 07,8,107,2,0.015873015873015872
