,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,1,Mar 17,0,1,0,0.0
32,1,Mar 18,0,0,0,0.0
33,1,Mar 19,0,0,0,0.0
34,1,Mar 20,0,0,0,0.0
35,1,Mar 21,0,0,0,0.0
36,1,Mar 22,0,0,0,0.0
37,2,Mar 23,1,1,0,0.5
38,3,Mar 24,1,1,0,0.3333333333333333
39,3,Mar 25,1,0,0,0.3333333333333333
40,3,Mar 26,1,0,0,0.3333333333333333
41,3,Mar 27,1,0,0,0.3333333333333333
42,3,Mar 28,1,0,0,0.3333333333333333
43,4,Mar 29,1,1,0,0.25
44,4,Mar 30,1,0,0,0.25
45,4,Mar 31,1,0,0,0.25
46,4,Apr 01,1,0,0,0.25
47,4,Apr 02,1,0,0,0.25
48,4,Apr 03,1,0,0,0.25
49,4,Apr 04,1,0,0,0.25
50,4,Apr 05,1,0,0,0.25
51,4,Apr 06,1,0,0,0.25
52,4,Apr 07,1,0,0,0.25
53,4,Apr 08,1,0,0,0.25
54,4,Apr 09,1,0,0,0.25
55,4,Apr 10,1,0,0,0.25
56,9,Apr 11,1,5,0,0.1111111111111111
57,9,Apr 12,1,0,0,0.1111111111111111
58,9,Apr 13,1,0,0,0.1111111111111111
59,9,Apr 14,1,0,0,0.1111111111111111
60,9,Apr 15,1,0,0,0.1111111111111111
61,9,Apr 16,1,0,0,0.1111111111111111
62,9,Apr 17,1,0,0,0.1111111111111111
63,9,Apr 18,1,0,0,0.1111111111111111
64,10,Apr 19,1,1,0,0.1
65,10,Apr 20,1,0,0,0.1
66,10,Apr 21,1,0,0,0.1
67,10,Apr 22,1,0,0,0.1
68,10,Apr 23,1,0,0,0.1
69,10,Apr 24,1,0,0,0.1
70,10,Apr 25,1,0,0,0.1
71,10,Apr 26,1,0,0,0.1
72,10,Apr 27,1,0,0,0.1
73,10,Apr 28,1,0,0,0.1
74,10,Apr 29,1,0,0,0.1
75,11,Apr 30,1,1,0,0.09090909090909091
76,12,May 01,1,1,0,0.08333333333333333
77,17,May 02,1,5,0,0.058823529411764705
78,17,May 03,1,0,0,0.058823529411764705
79,17,May 04,1,0,0,0.058823529411764705
80,17,May 05,1,0,0,0.058823529411764705
81,17,May 06,1,0,0,0.058823529411764705
82,18,May 07,1,1,0,0.05555555555555555
