,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,1,Mar 03,0,1,0,0.0
18,1,Mar 04,0,0,0,0.0
19,1,Mar 05,0,0,0,0.0
20,1,Mar 06,0,0,0,0.0
21,1,Mar 07,0,0,0,0.0
22,1,Mar 08,0,0,0,0.0
23,1,Mar 09,0,0,0,0.0
24,1,Mar 10,0,0,0,0.0
25,1,Mar 11,0,0,0,0.0
26,1,Mar 12,0,0,0,0.0
27,1,Mar 13,0,0,0,0.0
28,1,Mar 14,0,0,0,0.0
29,1,Mar 15,0,0,0,0.0
30,3,Mar 16,0,2,0,0.0
31,3,Mar 17,0,0,0,0.0
32,8,Mar 18,0,5,0,0.0
33,10,Mar 19,0,2,0,0.0
34,10,Mar 20,0,0,0,0.0
35,10,Mar 21,0,0,0,0.0
36,15,Mar 22,0,5,0,0.0
37,15,Mar 23,0,0,0,0.0
38,15,Mar 24,0,0,0,0.0
39,26,Mar 25,0,11,0,0.0
40,35,Mar 26,0,9,0,0.0
41,55,Mar 27,0,20,0,0.0
42,56,Mar 28,0,1,0,0.0
43,65,Mar 29,0,9,0,0.0
44,69,Mar 30,0,4,0,0.0
45,69,Mar 31,0,0,0,0.0
46,81,Apr 01,0,12,0,0.0
47,88,Apr 02,0,7,0,0.0
48,95,Apr 03,0,7,0,0.0
49,98,Apr 04,0,3,0,0.0
50,103,Apr 05,0,5,0,0.0
51,109,Apr 06,0,6,0,0.0
52,113,Apr 07,0,4,0,0.0
53,120,Apr 08,0,7,0,0.0
54,123,Apr 09,0,3,0,0.0
55,127,Apr 10,0,4,0,0.0
56,129,Apr 11,0,2,0,0.0
57,129,Apr 12,0,0,0,0.0
58,129,Apr 13,0,0,0,0.0
59,129,Apr 14,0,0,0,0.0
60,131,Apr 15,0,2,0,0.0
61,131,Apr 16,0,0,0,0.0
62,132,Apr 17,0,1,0,0.0
63,132,Apr 18,0,0,0,0.0
64,132,Apr 19,0,0,0,0.0
65,132,Apr 20,0,0,0,0.0
66,132,Apr 21,0,0,0,0.0
67,132,Apr 22,0,0,0,0.0
68,133,Apr 23,0,1,0,0.0
69,133,Apr 24,0,0,0,0.0
70,136,Apr 25,0,3,0,0.0
71,141,Apr 26,0,5,0,0.0
72,141,Apr 27,0,0,0,0.0
73,141,Apr 28,0,0,0,0.0
74,141,Apr 29,0,0,0,0.0
75,144,Apr 30,0,3,0,0.0
76,144,May 01,0,0,0,0.0
77,144,May 02,0,0,0,0.0
78,144,May 03,0,0,0,0.0
79,144,May 04,0,0,0,0.0
80,144,May 05,0,0,0,0.0
81,144,May 06,0,0,0,0.0
82,144,May 07,0,0,0,0.0
