,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,1,Feb 26,0,1,0,0.0
12,3,Feb 27,0,2,0,0.0
13,4,Feb 28,0,1,0,0.0
14,7,Feb 29,0,3,0,0.0
15,7,Mar 01,0,0,0,0.0
16,7,Mar 02,0,0,0,0.0
17,7,Mar 03,0,0,0,0.0
18,9,Mar 04,0,2,0,0.0
19,31,Mar 05,0,22,0,0.0
20,45,Mar 06,0,14,0,0.0
21,66,Mar 07,0,21,0,0.0
22,73,Mar 08,0,7,0,0.0
23,84,Mar 09,0,11,0,0.0
24,89,Mar 10,0,5,0,0.0
25,99,Mar 11,0,10,0,0.0
26,117,Mar 12,1,18,1,0.008547008547008548
27,190,Mar 13,1,73,0,0.005263157894736842
28,228,Mar 14,3,38,2,0.013157894736842105
29,331,Mar 15,4,103,1,0.012084592145015106
30,352,Mar 16,4,21,0,0.011363636363636364
31,387,Mar 17,5,35,1,0.012919896640826873
32,418,Mar 18,5,31,0,0.011961722488038277
33,464,Mar 19,6,46,1,0.01293103448275862
34,495,Mar 20,10,31,4,0.020202020202020204
35,530,Mar 21,13,35,3,0.024528301886792454
36,624,Mar 22,15,94,2,0.02403846153846154
37,695,Mar 23,17,71,2,0.02446043165467626
38,743,Mar 24,20,48,3,0.026917900403768506
39,821,Mar 25,22,78,2,0.02679658952496955
40,892,Mar 26,27,71,5,0.030269058295964126
41,966,Mar 27,28,74,1,0.028985507246376812
42,1061,Mar 28,32,95,4,0.030160226201696512
43,1156,Mar 29,39,95,7,0.03373702422145329
44,1212,Mar 30,46,56,7,0.037953795379537955
45,1314,Mar 31,49,102,3,0.03729071537290715
46,1415,Apr 01,51,101,2,0.03604240282685512
47,1544,Apr 02,53,129,2,0.03432642487046632
48,1613,Apr 03,63,69,10,0.03905765654060756
49,1673,Apr 04,68,60,5,0.04064554692169755
50,1735,Apr 05,73,62,5,0.04207492795389049
51,1755,Apr 06,79,20,6,0.045014245014245016
52,1832,Apr 07,81,77,2,0.04421397379912664
53,1884,Apr 08,83,52,2,0.0440552016985138
54,1955,Apr 09,87,71,4,0.044501278772378514
55,2011,Apr 10,92,56,5,0.04574838388861263
56,2081,Apr 11,93,70,1,0.04469005285920231
57,2114,Apr 12,98,33,5,0.046357615894039736
58,2145,Apr 13,99,31,1,0.046153846153846156
59,2170,Apr 14,101,25,2,0.046543778801843315
60,2192,Apr 15,102,22,1,0.046532846715328466
61,2207,Apr 16,105,15,3,0.047575894879927506
62,2224,Apr 17,108,17,3,0.048561151079136694
63,2235,Apr 18,110,11,2,0.049217002237136466
64,2235,Apr 19,113,0,3,0.050559284116331094
65,2245,Apr 20,116,10,3,0.051670378619153676
66,2401,Apr 21,121,156,5,0.05039566847147022
67,2408,Apr 22,121,7,0,0.05024916943521595
68,2463,Apr 23,125,55,4,0.05075111652456354
69,2490,Apr 24,130,27,5,0.05220883534136546
70,2506,Apr 25,130,16,0,0.05187549880287311
71,2517,Apr 26,134,11,4,0.05323798172427493
72,2534,Apr 27,136,17,2,0.05367008681925809
73,2566,Apr 28,138,32,2,0.05378020265003897
74,2576,Apr 29,139,10,1,0.053959627329192544
75,2591,Apr 30,140,15,1,0.05403319181783095
76,2612,May 01,140,21,0,0.05359877488514548
77,2620,May 02,143,8,3,0.05458015267175573
78,2626,May 03,144,6,1,0.05483625285605483
79,2632,May 04,146,6,2,0.05547112462006079
80,2642,May 05,146,10,0,0.05526116578349735
81,2663,May 06,147,21,1,0.0552009012392039
82,2678,May 07,148,15,1,0.05526512322628827
