,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,1,Mar 13,0,1,0,0.0
28,3,Mar 14,0,2,0,0.0
29,5,Mar 15,0,2,0,0.0
30,6,Mar 16,0,1,0,0.0
31,18,Mar 17,0,12,0,0.0
32,33,Mar 18,0,15,0,0.0
33,33,Mar 19,0,0,0,0.0
34,51,Mar 20,1,18,0,0.0196078431372549
35,56,Mar 21,1,5,0,0.017857142857142856
36,58,Mar 22,1,2,0,0.017241379310344827
37,62,Mar 23,1,4,0,0.016129032258064516
38,73,Mar 24,1,11,0,0.0136986301369863
39,73,Mar 25,1,0,0,0.0136986301369863
40,73,Mar 26,1,0,0,0.0136986301369863
41,73,Mar 27,1,0,0,0.0136986301369863
42,102,Mar 28,2,29,1,0.0196078431372549
43,106,Mar 29,4,4,2,0.03773584905660377
44,106,Mar 30,4,0,0,0.03773584905660377
45,114,Mar 31,4,8,0,0.03508771929824561
46,125,Apr 01,6,11,2,0.048
47,128,Apr 02,6,3,0,0.046875
48,130,Apr 03,7,2,1,0.05384615384615385
49,134,Apr 04,7,4,0,0.05223880597014925
50,135,Apr 05,7,1,0,0.05185185185185185
51,139,Apr 06,7,4,0,0.050359712230215826
52,139,Apr 07,7,0,0,0.050359712230215826
53,141,Apr 08,8,2,1,0.05673758865248227
54,143,Apr 09,8,2,0,0.055944055944055944
55,143,Apr 10,8,0,0,0.055944055944055944
56,143,Apr 11,8,0,0,0.055944055944055944
57,143,Apr 12,8,0,0,0.055944055944055944
58,145,Apr 13,8,2,0,0.05517241379310345
59,145,Apr 14,8,0,0,0.05517241379310345
60,145,Apr 15,8,0,0,0.05517241379310345
61,145,Apr 16,8,0,0,0.05517241379310345
62,145,Apr 17,8,0,0,0.05517241379310345
63,148,Apr 18,8,3,0,0.05405405405405406
64,148,Apr 19,8,0,0,0.05405405405405406
65,148,Apr 20,8,0,0,0.05405405405405406
66,148,Apr 21,12,0,4,0.08108108108108109
67,148,Apr 22,12,0,0,0.08108108108108109
68,148,Apr 23,12,0,0,0.08108108108108109
69,149,Apr 24,12,1,0,0.08053691275167785
70,149,Apr 25,12,0,0,0.08053691275167785
71,149,Apr 26,12,0,0,0.08053691275167785
72,149,Apr 27,12,0,0,0.08053691275167785
73,149,Apr 28,12,0,0,0.08053691275167785
74,149,Apr 29,12,0,0,0.08053691275167785
75,151,Apr 30,12,2,0,0.07947019867549669
76,152,May 01,12,1,0,0.07894736842105263
77,152,May 02,12,0,0,0.07894736842105263
78,152,May 03,12,0,0,0.07894736842105263
79,152,May 04,12,0,0,0.07894736842105263
80,152,May 05,12,0,0,0.07894736842105263
81,152,May 06,13,0,1,0.08552631578947369
82,153,May 07,13,1,0,0.08496732026143791
