,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,1,Mar 13,0,1,0,0.0
28,1,Mar 14,0,0,0,0.0
29,1,Mar 15,1,0,0,1.0
30,8,Mar 16,1,7,0,0.125
31,8,Mar 17,1,0,0,0.125
32,8,Mar 18,1,0,0,0.125
33,9,Mar 19,1,1,0,0.1111111111111111
34,12,Mar 20,1,3,0,0.08333333333333333
35,17,Mar 21,1,5,0,0.058823529411764705
36,19,Mar 22,1,2,0,0.05263157894736842
37,20,Mar 23,1,1,0,0.05
38,21,Mar 24,1,1,0,0.047619047619047616
39,24,Mar 25,1,3,0,0.041666666666666664
40,25,Mar 26,1,1,0,0.04
41,28,Mar 27,1,3,0,0.03571428571428571
42,34,Mar 28,1,6,0,0.029411764705882353
43,34,Mar 29,1,0,0,0.029411764705882353
44,36,Mar 30,1,2,0,0.027777777777777776
45,38,Mar 31,1,2,0,0.02631578947368421
46,39,Apr 01,1,1,0,0.02564102564102564
47,47,Apr 02,1,8,0,0.02127659574468085
48,50,Apr 03,1,3,0,0.02
49,61,Apr 04,2,11,1,0.03278688524590164
50,70,Apr 05,3,9,1,0.04285714285714286
51,70,Apr 06,3,0,0,0.04285714285714286
52,77,Apr 07,3,7,0,0.03896103896103896
53,87,Apr 08,3,10,0,0.034482758620689655
54,95,Apr 09,3,8,0,0.031578947368421054
55,126,Apr 10,3,31,0,0.023809523809523808
56,137,Apr 11,3,11,0,0.021897810218978103
57,155,Apr 12,5,18,2,0.03225806451612903
58,156,Apr 13,5,1,0,0.03205128205128205
59,167,Apr 14,5,11,0,0.029940119760479042
60,180,Apr 15,5,13,0,0.027777777777777776
61,196,Apr 16,5,16,0,0.025510204081632654
62,214,Apr 17,7,18,2,0.03271028037383177
63,235,Apr 18,7,21,0,0.029787234042553193
64,257,Apr 19,7,22,0,0.027237354085603113
65,289,Apr 20,7,32,0,0.02422145328719723
66,294,Apr 21,7,5,0,0.023809523809523808
67,316,Apr 22,8,22,1,0.02531645569620253
68,342,Apr 23,10,26,2,0.029239766081871343
69,384,Apr 24,11,42,1,0.028645833333333332
70,430,Apr 25,11,46,0,0.02558139534883721
71,473,Apr 26,13,43,2,0.02748414376321353
72,500,Apr 27,15,27,2,0.03
73,530,Apr 28,15,30,0,0.02830188679245283
74,557,Apr 29,16,27,1,0.02872531418312388
75,585,Apr 30,16,28,0,0.02735042735042735
76,599,May 01,16,14,0,0.02671118530884808
77,644,May 02,16,45,0,0.024844720496894408
78,688,May 03,17,44,1,0.024709302325581394
79,703,May 04,17,15,0,0.02418207681365576
80,730,May 05,19,27,2,0.026027397260273973
81,763,May 06,19,33,0,0.02490170380078637
82,798,May 07,21,35,2,0.02631578947368421
