,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,0,Mar 18,0,0,0,0.0
33,0,Mar 19,0,0,0,0.0
34,0,Mar 20,0,0,0,0.0
35,0,Mar 21,0,0,0,0.0
36,0,Mar 22,0,0,0,0.0
37,0,Mar 23,0,0,0,0.0
38,0,Mar 24,0,0,0,0.0
39,2,Mar 25,0,2,0,0.0
40,2,Mar 26,0,0,0,0.0
41,2,Mar 27,0,0,0,0.0
42,2,Mar 28,0,0,0,0.0
43,2,Mar 29,0,0,0,0.0
44,8,Mar 30,0,6,0,0.0
45,8,Mar 31,0,0,0,0.0
46,9,Apr 01,0,1,0,0.0
47,9,Apr 02,0,0,0,0.0
48,15,Apr 03,0,6,0,0.0
49,18,Apr 04,0,3,0,0.0
50,18,Apr 05,0,0,0,0.0
51,18,Apr 06,0,0,0,0.0
52,33,Apr 07,0,15,0,0.0
53,33,Apr 08,0,0,0,0.0
54,36,Apr 09,0,3,0,0.0
55,36,Apr 10,0,0,0,0.0
56,38,Apr 11,0,2,0,0.0
57,38,Apr 12,0,0,0,0.0
58,38,Apr 13,0,0,0,0.0
59,43,Apr 14,0,5,0,0.0
60,43,Apr 15,0,0,0,0.0
61,43,Apr 16,0,0,0,0.0
62,43,Apr 17,0,0,0,0.0
63,46,Apr 18,0,3,0,0.0
64,50,Apr 19,0,4,0,0.0
65,50,Apr 20,0,0,0,0.0
66,50,Apr 21,0,0,0,0.0
67,50,Apr 22,0,0,0,0.0
68,50,Apr 23,0,0,0,0.0
69,52,Apr 24,0,2,0,0.0
70,52,Apr 25,0,0,0,0.0
71,53,Apr 26,1,1,0,0.018867924528301886
72,73,Apr 27,1,20,0,0.0136986301369863
73,73,Apr 28,1,0,0,0.0136986301369863
74,205,Apr 29,1,132,0,0.004878048780487805
75,205,Apr 30,1,0,0,0.004878048780487805
76,257,May 01,1,52,0,0.0038910505836575876
77,257,May 02,1,0,0,0.0038910505836575876
78,257,May 03,1,0,0,0.0038910505836575876
79,413,May 04,1,156,0,0.002421307506053269
80,413,May 05,1,0,0,0.002421307506053269
81,475,May 06,2,62,1,0.004210526315789474
82,564,May 07,2,89,0,0.0035460992907801418
