,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,0,Mar 18,0,0,0,0.0
33,0,Mar 19,0,0,0,0.0
34,2,Mar 20,0,2,0,0.0
35,2,Mar 21,0,0,0,0.0
36,2,Mar 22,0,0,0,0.0
37,6,Mar 23,0,4,0,0.0
38,7,Mar 24,0,1,0,0.0
39,8,Mar 25,0,1,0,0.0
40,8,Mar 26,0,0,0,0.0
41,8,Mar 27,0,0,0,0.0
42,8,Mar 28,0,0,0,0.0
43,15,Mar 29,0,7,0,0.0
44,15,Mar 30,0,0,0,0.0
45,15,Mar 31,0,0,0,0.0
46,16,Apr 01,0,1,0,0.0
47,16,Apr 02,0,0,0,0.0
48,18,Apr 03,0,2,0,0.0
49,20,Apr 04,0,2,0,0.0
50,21,Apr 05,1,1,0,0.047619047619047616
51,24,Apr 06,1,3,0,0.041666666666666664
52,25,Apr 07,1,1,0,0.04
53,27,Apr 08,1,2,0,0.037037037037037035
54,30,Apr 09,2,3,1,0.06666666666666667
55,31,Apr 10,2,1,0,0.06451612903225806
56,33,Apr 11,2,2,0,0.06060606060606061
57,33,Apr 12,3,0,1,0.09090909090909091
58,40,Apr 13,3,7,0,0.075
59,40,Apr 14,3,0,0,0.075
60,41,Apr 15,3,1,0,0.07317073170731707
61,41,Apr 16,3,0,0,0.07317073170731707
62,43,Apr 17,3,2,0,0.06976744186046512
63,44,Apr 18,3,1,0,0.06818181818181818
64,47,Apr 19,3,3,0,0.06382978723404255
65,57,Apr 20,3,10,0,0.05263157894736842
66,57,Apr 21,3,0,0,0.05263157894736842
67,62,Apr 22,4,5,1,0.06451612903225806
68,72,Apr 23,5,10,1,0.06944444444444445
69,72,Apr 24,5,0,0,0.06944444444444445
70,72,Apr 25,6,0,1,0.08333333333333333
71,74,Apr 26,6,2,0,0.08108108108108109
72,74,Apr 27,6,0,0,0.08108108108108109
73,76,Apr 28,6,2,0,0.07894736842105263
74,76,Apr 29,6,0,0,0.07894736842105263
75,81,Apr 30,8,5,2,0.09876543209876543
76,85,May 01,8,4,0,0.09411764705882353
77,85,May 02,8,0,0,0.09411764705882353
78,85,May 03,8,0,0,0.09411764705882353
79,100,May 04,11,15,3,0.11
80,101,May 05,12,1,1,0.1188118811881188
81,101,May 06,12,0,0,0.1188118811881188
82,129,May 07,12,28,0,0.09302325581395349
