,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,2,Mar 11,0,2,0,0.0
26,2,Mar 12,0,0,0,0.0
27,2,Mar 13,0,0,0,0.0
28,3,Mar 14,0,1,0,0.0
29,3,Mar 15,0,0,0,0.0
30,6,Mar 16,0,3,0,0.0
31,8,Mar 17,0,2,0,0.0
32,9,Mar 18,0,1,0,0.0
33,12,Mar 19,0,3,0,0.0
34,24,Mar 20,0,12,0,0.0
35,24,Mar 21,0,0,0,0.0
36,26,Mar 22,0,2,0,0.0
37,30,Mar 23,0,4,0,0.0
38,30,Mar 24,0,0,0,0.0
39,52,Mar 25,0,22,0,0.0
40,67,Mar 26,1,15,0,0.014925373134328358
41,68,Mar 27,1,1,0,0.014705882352941176
42,95,Mar 28,1,27,0,0.010526315789473684
43,110,Mar 29,3,15,2,0.02727272727272727
44,139,Mar 30,7,29,4,0.050359712230215826
45,141,Mar 31,7,2,0,0.04964539007092199
46,172,Apr 01,10,31,3,0.05813953488372093
47,219,Apr 02,14,47,4,0.0639269406392694
48,222,Apr 03,15,3,1,0.06756756756756757
49,264,Apr 04,15,42,0,0.056818181818181816
50,268,Apr 05,22,4,7,0.08208955223880597
51,298,Apr 06,22,30,0,0.0738255033557047
52,305,Apr 07,22,7,0,0.07213114754098361
53,312,Apr 08,22,7,0,0.07051282051282051
54,343,Apr 09,23,31,1,0.06705539358600583
55,382,Apr 10,23,39,0,0.060209424083769635
56,392,Apr 11,24,10,1,0.061224489795918366
57,393,Apr 12,25,1,1,0.06361323155216285
58,397,Apr 13,25,4,0,0.06297229219143577
59,407,Apr 14,26,10,1,0.06388206388206388
60,419,Apr 15,31,12,5,0.07398568019093078
61,426,Apr 16,35,7,4,0.08215962441314555
62,442,Apr 17,41,16,6,0.09276018099547512
63,457,Apr 18,46,15,5,0.10065645514223195
64,472,Apr 19,46,15,0,0.09745762711864407
65,477,Apr 20,46,5,0,0.09643605870020965
66,494,Apr 21,46,17,0,0.0931174089068826
67,510,Apr 22,46,16,0,0.09019607843137255
68,519,Apr 23,47,9,1,0.0905587668593449
69,562,Apr 24,47,43,0,0.08362989323843416
70,591,Apr 25,55,29,8,0.09306260575296109
71,627,Apr 26,59,36,4,0.09409888357256778
72,661,Apr 27,61,34,2,0.09228441754916793
73,702,Apr 28,64,41,3,0.09116809116809117
74,738,Apr 29,66,36,2,0.08943089430894309
75,771,Apr 30,71,33,5,0.09208819714656291
76,804,May 01,75,33,4,0.09328358208955224
77,899,May 02,75,95,0,0.08342602892102335
78,1010,May 03,76,111,1,0.07524752475247524
79,1055,May 04,82,45,6,0.07772511848341232
80,1178,May 05,83,123,1,0.07045840407470289
81,1270,May 06,93,92,10,0.07322834645669292
82,1461,May 07,99,191,6,0.06776180698151951
