,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,2,Mar 04,0,2,0,0.0
19,4,Mar 05,0,2,0,0.0
20,4,Mar 06,0,0,0,0.0
21,5,Mar 07,0,1,0,0.0
22,7,Mar 08,0,2,0,0.0
23,9,Mar 09,0,2,0,0.0
24,12,Mar 10,0,3,0,0.0
25,13,Mar 11,0,1,0,0.0
26,16,Mar 12,0,3,0,0.0
27,19,Mar 13,0,3,0,0.0
28,30,Mar 14,0,11,0,0.0
29,32,Mar 15,1,2,0,0.03125
30,39,Mar 16,1,7,0,0.02564102564102564
31,50,Mar 17,1,11,0,0.02
32,58,Mar 18,1,8,0,0.017241379310344827
33,73,Mar 19,1,15,0,0.0136986301369863
34,85,Mar 20,4,12,3,0.047058823529411764
35,103,Mar 21,4,18,0,0.038834951456310676
36,131,Mar 22,6,28,2,0.04580152671755725
37,167,Mar 23,8,36,2,0.04790419161676647
38,187,Mar 24,9,20,1,0.0481283422459893
39,226,Mar 25,10,39,1,0.04424778761061947
40,261,Mar 26,10,35,0,0.038314176245210725
41,300,Mar 27,10,39,0,0.03333333333333333
42,343,Mar 28,11,43,1,0.03206997084548105
43,408,Mar 29,13,65,2,0.031862745098039214
44,447,Mar 30,15,39,2,0.03355704697986577
45,492,Mar 31,16,45,1,0.032520325203252036
46,525,Apr 01,20,33,4,0.0380952380952381
47,585,Apr 02,21,60,1,0.035897435897435895
48,623,Apr 03,26,38,5,0.04173354735152488
49,678,Apr 04,32,55,6,0.0471976401179941
50,733,Apr 05,34,55,2,0.04638472032742155
51,744,Apr 06,38,11,4,0.051075268817204304
52,817,Apr 07,47,73,9,0.05752753977968176
53,895,Apr 08,58,78,11,0.06480446927374302
54,980,Apr 09,66,85,8,0.0673469387755102
55,1190,Apr 10,77,210,11,0.06470588235294118
56,1310,Apr 11,85,120,8,0.0648854961832061
57,1410,Apr 12,99,100,14,0.07021276595744681
58,1458,Apr 13,109,48,10,0.0747599451303155
59,1512,Apr 14,122,54,13,0.08068783068783068
60,1579,Apr 15,134,67,12,0.08486383787207093
61,1652,Apr 16,142,73,8,0.08595641646489104
62,1763,Apr 17,156,111,14,0.08848553601815087
63,1834,Apr 18,172,71,16,0.09378407851690294
64,1916,Apr 19,189,82,17,0.09864300626304802
65,1984,Apr 20,199,68,10,0.1003024193548387
66,2098,Apr 21,213,114,14,0.10152526215443279
67,2168,Apr 22,225,70,12,0.10378228782287822
68,2284,Apr 23,239,116,14,0.10464098073555167
69,2383,Apr 24,250,99,11,0.1049097775912715
70,2443,Apr 25,262,60,12,0.10724519033974621
71,2500,Apr 26,272,57,10,0.1088
72,2583,Apr 27,280,83,8,0.10840108401084012
73,2649,Apr 28,291,66,11,0.10985277463193659
74,2727,Apr 29,300,78,9,0.11001100110011001
75,2775,Apr 30,312,48,12,0.11243243243243244
76,2863,May 01,323,88,11,0.11281872162067762
77,2942,May 02,335,79,12,0.11386811692726037
78,2998,May 03,340,56,5,0.1134089392928619
79,3035,May 04,351,37,11,0.1156507413509061
80,3065,May 05,363,30,12,0.11843393148450244
81,3111,May 06,373,46,10,0.11989713918354226
82,3150,May 07,383,39,10,0.12158730158730159
