,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,1,Feb 28,0,1,0,0.0
14,1,Feb 29,0,0,0,0.0
15,3,Mar 01,0,2,0,0.0
16,9,Mar 02,0,6,0,0.0
17,14,Mar 03,0,5,0,0.0
18,26,Mar 04,0,12,0,0.0
19,37,Mar 05,0,11,0,0.0
20,45,Mar 06,0,8,0,0.0
21,50,Mar 07,0,5,0,0.0
22,58,Mar 08,0,8,0,0.0
23,65,Mar 09,0,7,0,0.0
24,81,Mar 10,0,16,0,0.0
25,85,Mar 11,0,4,0,0.0
26,117,Mar 12,0,32,0,0.0
27,134,Mar 13,0,17,0,0.0
28,161,Mar 14,0,27,0,0.0
29,180,Mar 15,0,19,0,0.0
30,199,Mar 16,0,19,0,0.0
31,247,Mar 17,0,48,0,0.0
32,250,Mar 18,0,3,0,0.0
33,330,Mar 19,0,80,0,0.0
34,409,Mar 20,0,79,0,0.0
35,473,Mar 21,1,64,1,0.0021141649048625794
36,568,Mar 22,1,95,0,0.0017605633802816902
37,588,Mar 23,1,20,0,0.0017006802721088435
38,648,Mar 24,2,60,1,0.0030864197530864196
39,737,Mar 25,2,89,0,0.0027137042062415195
40,802,Mar 26,2,65,0,0.0024937655860349127
41,890,Mar 27,2,88,0,0.0022471910112359553
42,963,Mar 28,2,73,0,0.0020768431983385254
43,1020,Mar 29,2,57,0,0.00196078431372549
44,1086,Mar 30,2,66,0,0.001841620626151013
45,1135,Mar 31,2,49,0,0.001762114537444934
46,1220,Apr 01,2,85,0,0.001639344262295082
47,1319,Apr 02,4,99,2,0.003032600454890068
48,1364,Apr 03,4,45,0,0.002932551319648094
49,1417,Apr 04,4,53,0,0.0028228652081863093
50,1486,Apr 05,4,69,0,0.0026917900403768506
51,1562,Apr 06,6,76,2,0.0038412291933418692
52,1586,Apr 07,6,24,0,0.0037831021437578815
53,1616,Apr 08,6,30,0,0.0037128712871287127
54,1648,Apr 09,6,32,0,0.0036407766990291263
55,1675,Apr 10,7,27,1,0.00417910447761194
56,1689,Apr 11,8,14,1,0.004736530491415038
57,1701,Apr 12,8,12,0,0.004703115814226925
58,1711,Apr 13,8,10,0,0.004675628287551139
59,1720,Apr 14,8,9,0,0.004651162790697674
60,1727,Apr 15,8,7,0,0.004632310364794441
61,1739,Apr 16,8,12,0,0.004600345025876941
62,1754,Apr 17,9,15,1,0.005131128848346636
63,1760,Apr 18,9,6,0,0.005113636363636364
64,1771,Apr 19,9,11,0,0.005081874647092038
65,1773,Apr 20,10,2,1,0.0056401579244218835
66,1778,Apr 21,10,5,0,0.00562429696287964
67,1785,Apr 22,10,7,0,0.0056022408963585435
68,1789,Apr 23,10,4,0,0.005589714924538848
69,1789,Apr 24,10,0,0,0.005589714924538848
70,1790,Apr 25,10,1,0,0.00558659217877095
71,1792,Apr 26,10,2,0,0.005580357142857143
72,1792,Apr 27,10,0,0,0.005580357142857143
73,1795,Apr 28,10,3,0,0.005571030640668524
74,1797,Apr 29,10,2,0,0.005564830272676683
75,1797,Apr 30,10,0,0,0.005564830272676683
76,1798,May 01,10,1,0,0.0055617352614015575
77,1798,May 02,10,0,0,0.0055617352614015575
78,1799,May 03,10,1,0,0.005558643690939411
79,1799,May 04,10,0,0,0.005558643690939411
80,1799,May 05,10,0,0,0.005558643690939411
81,1799,May 06,10,0,0,0.005558643690939411
82,1801,May 07,10,2,0,0.00555247084952804
