,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,2,Feb 19,2,2,0,1.0
5,5,Feb 20,2,3,0,0.4
6,18,Feb 21,4,13,2,0.2222222222222222
7,29,Feb 22,6,11,2,0.20689655172413793
8,43,Feb 23,8,14,2,0.18604651162790697
9,61,Feb 24,12,18,4,0.19672131147540983
10,95,Feb 25,16,34,4,0.16842105263157894
11,139,Feb 26,19,44,3,0.1366906474820144
12,245,Feb 27,26,106,7,0.10612244897959183
13,388,Feb 28,34,143,8,0.08762886597938144
14,593,Feb 29,43,205,9,0.07251264755480608
15,978,Mar 01,54,385,11,0.05521472392638037
16,1501,Mar 02,66,523,12,0.04397068620919387
17,2336,Mar 03,77,835,11,0.03296232876712329
18,2922,Mar 04,92,586,15,0.03148528405201916
19,3513,Mar 05,108,591,16,0.030742954739538857
20,4747,Mar 06,124,1234,16,0.02612176111228144
21,5823,Mar 07,145,1076,21,0.024901253649321657
22,6566,Mar 08,194,743,49,0.02954614681693573
23,7161,Mar 09,237,595,43,0.03309593632174277
24,8042,Mar 10,291,881,54,0.03618502859985078
25,9000,Mar 11,354,958,63,0.03933333333333333
26,10075,Mar 12,429,1075,75,0.04258064516129032
27,11364,Mar 13,514,1289,85,0.04523055262231609
28,12729,Mar 14,611,1365,97,0.048000628486134025
29,13938,Mar 15,724,1209,113,0.05194432486726933
30,14991,Mar 16,853,1053,129,0.056900807150957244
31,16169,Mar 17,988,1178,135,0.06110458284371328
32,17361,Mar 18,1135,1192,147,0.06537641840907782
33,18407,Mar 19,1284,1046,149,0.06975607105992286
34,19644,Mar 20,1433,1237,149,0.07294848299735288
35,20610,Mar 21,1556,966,123,0.0754973313925279
36,21638,Mar 22,1685,1028,129,0.0778722617617155
37,23049,Mar 23,1812,1411,127,0.07861512430040349
38,24811,Mar 24,1934,1762,122,0.0779492966829229
39,27017,Mar 25,2077,2206,143,0.07687752156049894
40,29406,Mar 26,2234,2389,157,0.07597089029449772
41,32332,Mar 27,2378,2926,144,0.0735494247185451
42,35408,Mar 28,2517,3076,139,0.07108563036601898
43,38309,Mar 29,2640,2901,123,0.06891331018820643
44,41495,Mar 30,2757,3186,117,0.06644173996867092
45,44605,Mar 31,2898,3110,141,0.06497029480999889
46,47593,Apr 01,3036,2988,138,0.06379089361880949
47,50468,Apr 02,3160,2875,124,0.06261393358167552
48,53183,Apr 03,3294,2715,134,0.061937085158791344
49,55743,Apr 04,3452,2560,158,0.061927058105950526
50,58226,Apr 05,3603,2483,151,0.061879572699481335
51,60500,Apr 06,3739,2274,136,0.06180165289256198
52,62589,Apr 07,3872,2089,133,0.061863905798143444
53,64586,Apr 08,3993,1997,121,0.06182454401882761
54,66220,Apr 09,4110,1634,117,0.062065841135608577
55,68192,Apr 10,4232,1972,122,0.06206006569685594
56,70029,Apr 11,4357,1837,125,0.06221708149480929
57,71686,Apr 12,4474,1657,117,0.06241107050191111
58,73303,Apr 13,4585,1617,111,0.06254859964803623
59,74877,Apr 14,4683,1574,98,0.06254256981449577
60,76389,Apr 15,4777,1512,94,0.06253518176700834
61,77995,Apr 16,4869,1606,92,0.06242707865888839
62,79494,Apr 17,4958,1499,89,0.062369487005308574
63,80868,Apr 18,5031,1374,73,0.062212494435376166
64,82211,Apr 19,5118,1343,87,0.06225444283611682
65,83505,Apr 20,5209,1294,91,0.062379498233638704
66,84802,Apr 21,5297,1297,88,0.06246314945402231
67,85996,Apr 22,5391,1194,94,0.06268896227731523
68,87026,Apr 23,5481,1030,90,0.06298117803874705
69,88194,Apr 24,5574,1168,93,0.0632015783386625
70,89328,Apr 25,5650,1134,76,0.06325004477879276
71,90481,Apr 26,5710,1153,60,0.06310717167140062
72,91472,Apr 27,5806,991,96,0.06347297533671506
73,92584,Apr 28,5877,1112,71,0.063477490711138
74,93657,Apr 29,5957,1073,80,0.06360442892682874
75,94640,Apr 30,6028,983,71,0.06369399830938292
76,95646,May 01,6091,1006,63,0.06368274679547498
77,96448,May 02,6156,802,65,0.0638271400132714
78,97424,May 03,6203,976,47,0.06367014288060437
79,98647,May 04,6277,1223,74,0.06363092643466096
80,99970,May 05,6340,1323,63,0.06341902570771231
81,101650,May 06,6418,1680,78,0.06313821938022626
82,103135,May 07,6486,1485,68,0.06288844718087944
