,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,1,Feb 22,0,1,0,0.0
8,1,Feb 23,0,0,0,0.0
9,1,Feb 24,0,0,0,0.0
10,5,Feb 25,0,4,0,0.0
11,5,Feb 26,0,0,0,0.0
12,7,Feb 27,0,2,0,0.0
13,8,Feb 28,0,1,0,0.0
14,13,Feb 29,0,5,0,0.0
15,19,Mar 01,0,6,0,0.0
16,27,Mar 02,0,8,0,0.0
17,32,Mar 03,0,5,0,0.0
18,37,Mar 04,2,5,2,0.05405405405405406
19,40,Mar 05,3,3,1,0.075
20,46,Mar 06,4,6,1,0.08695652173913043
21,54,Mar 07,4,8,0,0.07407407407407407
22,65,Mar 08,6,11,2,0.09230769230769231
23,71,Mar 09,7,6,1,0.09859154929577464
24,71,Mar 10,7,0,0,0.09859154929577464
25,71,Mar 11,7,0,0,0.09859154929577464
26,83,Mar 12,8,12,1,0.0963855421686747
27,101,Mar 13,9,18,1,0.0891089108910891
28,110,Mar 14,10,9,1,0.09090909090909091
29,124,Mar 15,10,14,0,0.08064516129032258
30,133,Mar 16,10,9,0,0.07518796992481203
31,154,Mar 17,11,21,1,0.07142857142857142
32,164,Mar 18,12,10,1,0.07317073170731707
33,192,Mar 19,13,28,1,0.06770833333333333
34,208,Mar 20,17,16,4,0.08173076923076923
35,214,Mar 21,17,6,0,0.0794392523364486
36,233,Mar 22,20,19,3,0.08583690987124463
37,266,Mar 23,23,33,3,0.08646616541353383
38,316,Mar 24,27,50,4,0.08544303797468354
39,346,Mar 25,29,30,2,0.0838150289017341
40,382,Mar 26,36,36,7,0.09424083769633508
41,458,Mar 27,40,76,4,0.08733624454148471
42,506,Mar 28,42,48,2,0.08300395256916997
43,547,Mar 29,42,41,0,0.07678244972577697
44,630,Mar 30,46,83,4,0.07301587301587302
45,694,Mar 31,50,64,4,0.07204610951008646
46,728,Apr 01,52,34,2,0.07142857142857142
47,772,Apr 02,54,44,2,0.06994818652849741
48,820,Apr 03,54,48,0,0.06585365853658537
49,878,Apr 04,56,58,2,0.06378132118451026
50,961,Apr 05,61,83,5,0.06347554630593132
51,1031,Apr 06,64,70,3,0.06207565470417071
52,1122,Apr 07,65,91,1,0.057932263814616754
53,1202,Apr 08,69,80,4,0.05740432612312812
54,1232,Apr 09,69,30,0,0.056006493506493504
55,1279,Apr 10,70,47,1,0.054730258014073496
56,1318,Apr 11,72,39,2,0.054628224582701064
57,1352,Apr 12,76,34,4,0.05621301775147929
58,1378,Apr 13,78,26,2,0.05660377358490566
59,1400,Apr 14,78,22,0,0.055714285714285716
60,1415,Apr 15,79,15,1,0.0558303886925795
61,1434,Apr 16,80,19,1,0.05578800557880056
62,1482,Apr 17,81,48,1,0.05465587044534413
63,1513,Apr 18,82,31,1,0.054196959682749506
64,1539,Apr 19,82,26,0,0.05328135152696556
65,1574,Apr 20,82,35,0,0.052096569250317665
66,1602,Apr 21,83,28,1,0.05181023720349563
67,1631,Apr 22,83,29,0,0.050889025137952175
68,1677,Apr 23,83,46,0,0.04949314251639833
69,1708,Apr 24,86,31,3,0.05035128805620609
70,1763,Apr 25,86,55,0,0.04878048780487805
71,1820,Apr 26,87,57,1,0.0478021978021978
72,1847,Apr 27,88,27,1,0.047644829453167295
73,1928,Apr 28,90,81,2,0.046680497925311204
74,2003,Apr 29,92,75,2,0.04593110334498253
75,2085,Apr 30,93,82,1,0.04460431654676259
76,2153,May 01,94,68,1,0.04366000928936368
77,2219,May 02,95,66,1,0.04281207751239297
78,2296,May 03,97,77,2,0.04224738675958188
79,2346,May 04,98,50,1,0.041773231031543054
80,2431,May 05,102,85,4,0.04195804195804196
81,2480,May 06,102,49,0,0.04112903225806452
82,2543,May 07,102,63,0,0.04011010617381046
