,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,0,Mar 18,0,0,0,0.0
33,1,Mar 19,0,1,0,0.0
34,2,Mar 20,0,1,0,0.0
35,2,Mar 21,0,0,0,0.0
36,5,Mar 22,0,3,0,0.0
37,13,Mar 23,0,8,0,0.0
38,23,Mar 24,0,10,0,0.0
39,23,Mar 25,0,0,0,0.0
40,26,Mar 26,0,3,0,0.0
41,29,Mar 27,0,3,0,0.0
42,32,Mar 28,0,3,0,0.0
43,42,Mar 29,0,10,0,0.0
44,49,Mar 30,0,7,0,0.0
45,60,Mar 31,0,11,0,0.0
46,68,Apr 01,1,8,0,0.014705882352941176
47,95,Apr 02,1,27,0,0.010526315789473684
48,114,Apr 03,1,19,0,0.008771929824561403
49,126,Apr 04,1,12,0,0.007936507936507936
50,127,Apr 05,1,1,0,0.007874015748031496
51,139,Apr 06,1,12,0,0.007194244604316547
52,150,Apr 07,1,11,0,0.006666666666666667
53,158,Apr 08,1,8,0,0.006329113924050633
54,190,Apr 09,1,32,0,0.005263157894736842
55,201,Apr 10,1,11,0,0.004975124378109453
56,226,Apr 11,2,25,1,0.008849557522123894
57,228,Apr 12,2,2,0,0.008771929824561403
58,242,Apr 13,2,14,0,0.008264462809917356
59,254,Apr 14,2,12,0,0.007874015748031496
60,256,Apr 15,4,2,2,0.015625
61,284,Apr 16,4,28,0,0.014084507042253521
62,291,Apr 17,4,7,0,0.013745704467353952
63,297,Apr 18,6,6,2,0.020202020202020204
64,298,Apr 19,6,1,0,0.020134228187919462
65,300,Apr 20,9,2,3,0.03
66,307,Apr 21,9,7,0,0.029315960912052116
67,307,Apr 22,15,0,6,0.048859934853420196
68,307,Apr 23,16,0,1,0.05211726384364821
69,308,Apr 24,18,1,2,0.05844155844155844
70,308,Apr 25,18,0,0,0.05844155844155844
71,308,Apr 26,18,0,0,0.05844155844155844
72,308,Apr 27,20,0,2,0.06493506493506493
73,309,Apr 28,21,1,1,0.06796116504854369
74,313,Apr 29,21,4,0,0.0670926517571885
75,315,Apr 30,21,2,0,0.06666666666666667
76,316,May 01,22,1,1,0.06962025316455696
77,320,May 02,22,4,0,0.06875
78,321,May 03,22,1,0,0.06853582554517133
79,325,May 04,23,4,1,0.07076923076923076
80,326,May 05,23,1,0,0.0705521472392638
81,327,May 06,23,1,0,0.07033639143730887
82,329,May 07,23,2,0,0.06990881458966565
