,Cases,Deaths,Daily Cases,Daily Deaths,CFR
0,3,0,0,0,0.0
1,3,0,0,0,0.0
2,3,0,0,0,0.0
3,3,0,0,0,0.0
4,3,0,0,0,0.0
5,4,0,1,0,0.0
6,21,1,17,1,0.047619047619047616
7,79,2,58,1,0.02531645569620253
8,157,3,78,1,0.01910828025477707
9,229,7,72,4,0.03056768558951965
10,323,11,94,4,0.034055727554179564
11,470,12,147,1,0.02553191489361702
12,655,17,185,5,0.025954198473282442
13,889,21,234,4,0.023622047244094488
14,1128,29,239,8,0.025709219858156027
15,1701,41,573,12,0.024103468547912992
16,2036,52,335,11,0.025540275049115914
17,2502,79,466,27,0.03157474020783373
18,3089,107,587,28,0.03463904176108773
19,3858,148,769,41,0.0383618455158113
20,4636,197,778,49,0.042493528904227786
21,5883,233,1247,36,0.039605643379228284
22,7375,366,1492,133,0.0496271186440678
23,9172,463,1797,97,0.050479720889664195
24,10149,631,977,168,0.062173613163858506
25,12462,827,2313,196,0.06636173968865351
26,15113,1016,2651,189,0.06722689075630252
27,17660,1266,2547,250,0.07168742921857305
28,21157,1441,3497,175,0.06810984544122513
29,24747,1809,3590,368,0.0730997696690508
30,27980,2158,3233,349,0.0771265189421015
31,31506,2503,3526,345,0.07944518504411859
32,35713,2978,4207,475,0.08338700193206955
33,41035,3405,5322,427,0.08297794565614719
34,47021,4032,5986,627,0.08574892069500861
35,53578,4825,6557,793,0.0900556198439658
36,59138,5476,5560,651,0.09259697656329263
37,63927,6077,4789,601,0.09506155458569931
38,69176,6820,5249,743,0.09858910604834047
39,74386,7503,5210,683,0.10086575430860646
40,80589,8215,6203,712,0.10193698891908325
41,86498,9134,5909,919,0.10559781729057319
42,92472,10023,5974,889,0.10838956657150273
43,97689,10779,5217,756,0.1103399563922243
44,101739,11591,4050,812,0.11392877854116908
45,105792,12428,4053,837,0.11747580157289776
46,110574,13155,4782,727,0.11897010147050843
47,115242,13915,4668,760,0.12074590860970827
48,119827,14681,4585,766,0.1225182972118137
49,124632,15362,4805,681,0.12325887412542526
50,128948,15887,4316,525,0.12320470267084406
51,132547,16523,3599,636,0.12465766860057187
52,135586,17127,3039,604,0.12631835145221484
53,139422,17669,3836,542,0.12673035819311157
54,143626,18279,4204,610,0.12726804339047249
55,147577,18849,3951,570,0.12772315469212683
56,152271,19468,4694,619,0.12785100248898346
57,156363,19899,4092,431,0.12726156443659944
58,159516,20465,3153,566,0.12829434037964843
59,162488,21067,2972,602,0.12965265127270936
60,165155,21645,2667,578,0.1310587024310496
61,168941,22170,3786,525,0.1312292457130004
62,172434,22745,3493,575,0.1319055406706334
63,175925,23227,3491,482,0.13202785277817253
64,178972,23660,3047,433,0.13219945019332632
65,181228,24114,2256,454,0.13305890921932592
66,183957,24648,2729,534,0.13398783411340695
67,187327,25085,3370,437,0.1339102211640607
68,189973,25549,2646,464,0.13448753243882025
69,192994,25969,3021,420,0.13455858731359524
70,195351,26384,2357,415,0.13505945707982042
71,197675,26644,2324,260,0.13478689768559504
72,199414,26977,1739,333,0.13528137442707133
73,201505,27359,2091,382,0.13577330587330338
74,203591,27682,2086,323,0.13596868230913942
75,205463,27967,1872,285,0.13611696509833887
76,207428,28236,1965,269,0.13612434194033593
77,209328,28710,1900,474,0.13715317587709241
78,210717,28884,1389,174,0.1370748444596307
79,211938,29079,1221,195,0.13720522039464372
80,213013,29315,1075,236,0.13762070859525005
81,214457,29684,1444,369,0.13841469385471214
