,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,1,Mar 11,0,1,0,0.0
26,1,Mar 12,0,0,0,0.0
27,1,Mar 13,0,0,0,0.0
28,2,Mar 14,0,1,0,0.0
29,4,Mar 15,0,2,0,0.0
30,4,Mar 16,0,0,0,0.0
31,4,Mar 17,0,0,0,0.0
32,9,Mar 18,0,5,0,0.0
33,9,Mar 19,0,0,0,0.0
34,9,Mar 20,0,0,0,0.0
35,14,Mar 21,0,5,0,0.0
36,14,Mar 22,0,0,0,0.0
37,25,Mar 23,0,11,0,0.0
38,73,Mar 24,0,48,0,0.0
39,80,Mar 25,0,7,0,0.0
40,96,Mar 26,0,16,0,0.0
41,101,Mar 27,0,5,0,0.0
42,101,Mar 28,0,0,0,0.0
43,165,Mar 29,1,64,0,0.006060606060606061
44,168,Mar 30,1,3,0,0.005952380952380952
45,179,Mar 31,1,11,0,0.00558659217877095
46,190,Apr 01,1,11,0,0.005263157894736842
47,194,Apr 02,1,4,0,0.005154639175257732
48,218,Apr 03,1,24,0,0.0045871559633027525
49,245,Apr 04,1,27,0,0.004081632653061225
50,261,Apr 05,3,16,2,0.011494252873563218
51,323,Apr 06,3,62,0,0.009287925696594427
52,349,Apr 07,3,26,0,0.008595988538681949
53,384,Apr 08,3,35,0,0.0078125
54,444,Apr 09,3,60,0,0.006756756756756757
55,480,Apr 10,3,36,0,0.00625
56,533,Apr 11,4,53,1,0.0075046904315197
57,574,Apr 12,5,41,1,0.008710801393728223
58,626,Apr 13,6,52,1,0.009584664536741214
59,638,Apr 14,6,12,0,0.009404388714733543
60,654,Apr 15,6,16,0,0.009174311926605505
61,654,Apr 16,6,0,0,0.009174311926605505
62,688,Apr 17,6,34,0,0.00872093023255814
63,801,Apr 18,8,113,2,0.009987515605493134
64,847,Apr 19,9,46,1,0.010625737898465172
65,879,Apr 20,10,32,1,0.011376564277588168
66,916,Apr 21,13,37,3,0.014192139737991267
67,952,Apr 22,14,36,1,0.014705882352941176
68,1004,Apr 23,14,52,0,0.013944223107569721
69,1077,Apr 24,14,73,0,0.012999071494893221
70,1077,Apr 25,14,0,0,0.012999071494893221
71,1150,Apr 26,14,73,0,0.01217391304347826
72,1164,Apr 27,14,14,0,0.012027491408934709
73,1183,Apr 28,14,19,0,0.011834319526627219
74,1238,Apr 29,14,55,0,0.011308562197092083
75,1275,Apr 30,14,37,0,0.010980392156862745
76,1333,May 01,15,58,1,0.011252813203300824
77,1362,May 02,15,29,0,0.011013215859030838
78,1398,May 03,17,36,2,0.012160228898426323
79,1432,May 04,17,34,0,0.011871508379888268
80,1464,May 05,18,32,1,0.012295081967213115
81,1516,May 06,18,52,0,0.011873350923482849
82,1571,May 07,20,55,2,0.012730744748567792
