,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,53,Feb 15,1,0,0,0.018867924528301886
1,59,Feb 16,1,6,0,0.01694915254237288
2,66,Feb 17,1,7,0,0.015151515151515152
3,74,Feb 18,1,8,0,0.013513513513513514
4,84,Feb 19,1,10,0,0.011904761904761904
5,94,Feb 20,1,10,0,0.010638297872340425
6,109,Feb 21,1,15,0,0.009174311926605505
7,134,Feb 22,1,25,0,0.007462686567164179
8,146,Feb 23,1,12,0,0.00684931506849315
9,159,Feb 24,1,13,0,0.006289308176100629
10,161,Feb 25,1,2,0,0.006211180124223602
11,172,Feb 26,3,11,2,0.01744186046511628
12,214,Feb 27,4,42,1,0.018691588785046728
13,233,Feb 28,5,19,1,0.02145922746781116
14,241,Feb 29,5,8,0,0.02074688796680498
15,256,Mar 01,6,15,1,0.0234375
16,274,Mar 02,6,18,0,0.021897810218978103
17,293,Mar 03,6,19,0,0.020477815699658702
18,331,Mar 04,6,38,0,0.01812688821752266
19,364,Mar 05,6,33,0,0.016483516483516484
20,420,Mar 06,6,56,0,0.014285714285714285
21,461,Mar 07,6,41,0,0.013015184381778741
22,502,Mar 08,7,41,1,0.013944223107569721
23,530,Mar 09,9,28,2,0.016981132075471698
24,587,Mar 10,12,57,3,0.020442930153321975
25,639,Mar 11,15,52,3,0.023474178403755867
26,691,Mar 12,19,52,4,0.027496382054992764
27,734,Mar 13,21,43,2,0.02861035422343324
28,804,Mar 14,22,70,1,0.02736318407960199
29,833,Mar 15,24,29,2,0.028811524609843937
30,850,Mar 16,28,17,4,0.03294117647058824
31,878,Mar 17,29,28,1,0.03302961275626424
32,914,Mar 18,29,36,0,0.03172866520787746
33,943,Mar 19,33,29,4,0.03499469777306469
34,1007,Mar 20,35,64,2,0.03475670307845084
35,1054,Mar 21,36,47,1,0.03415559772296015
36,1101,Mar 22,41,47,5,0.03723887375113533
37,1128,Mar 23,42,27,1,0.03723404255319149
38,1193,Mar 24,43,65,1,0.03604358759430008
39,1307,Mar 25,45,114,2,0.03442999234889059
40,1387,Mar 26,47,80,2,0.033886085075702954
41,1499,Mar 27,49,112,2,0.03268845897264843
42,1693,Mar 28,52,194,3,0.03071470761961016
43,1866,Mar 29,54,173,2,0.028938906752411574
44,1953,Mar 30,56,87,2,0.02867383512544803
45,2178,Mar 31,57,225,1,0.026170798898071626
46,2384,Apr 01,57,206,0,0.023909395973154363
47,2617,Apr 02,63,233,6,0.02407336645013374
48,2935,Apr 03,69,318,6,0.023509369676320273
49,3139,Apr 04,77,204,8,0.02453010512902198
50,3654,Apr 05,85,515,8,0.023262178434592228
51,3906,Apr 06,92,252,7,0.023553507424475168
52,4257,Apr 07,93,351,1,0.021846370683579985
53,4667,Apr 08,94,410,1,0.02014141847010928
54,5347,Apr 09,99,680,5,0.018515055171123996
55,6005,Apr 10,99,658,0,0.016486261448792672
56,6748,Apr 11,108,743,9,0.016004742145820983
57,7370,Apr 12,123,622,15,0.016689280868385347
58,7618,Apr 13,143,248,20,0.01877133105802048
59,7885,Apr 14,146,267,3,0.018516169942929612
60,8626,Apr 15,178,741,32,0.020635288662184094
61,9231,Apr 16,190,605,12,0.02058281876286426
62,9787,Apr 17,190,556,0,0.019413507714314906
63,10296,Apr 18,222,509,32,0.02156177156177156
64,10797,Apr 19,236,501,14,0.02185792349726776
65,11135,Apr 20,263,338,27,0.023619218679838346
66,11512,Apr 21,281,377,18,0.024409312022237666
67,11950,Apr 22,299,438,18,0.02502092050209205
68,12368,Apr 23,328,418,29,0.02652005174644243
69,12712,Apr 24,345,344,17,0.027139710509754562
70,13231,Apr 25,360,519,15,0.02720882775300431
71,13449,Apr 26,372,218,12,0.027660049074280615
72,13614,Apr 27,385,165,13,0.02827971206111356
73,13736,Apr 28,394,122,9,0.028683750728013976
74,13895,Apr 29,413,159,19,0.029722921914357683
75,14088,Apr 30,430,193,17,0.03052243043725156
76,14305,May 01,455,217,25,0.031807060468367704
77,14571,May 02,474,266,19,0.03253036854025118
78,14877,May 03,487,306,13,0.03273509444108355
79,15078,May 04,536,201,49,0.03554848123093248
80,15253,May 05,556,175,20,0.03645184553858257
81,15253,May 06,556,0,0,0.03645184553858257
82,15477,May 07,577,224,21,0.03728112683336564
