,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,1,Mar 02,0,1,0,0.0
17,1,Mar 03,0,0,0,0.0
18,1,Mar 04,0,0,0,0.0
19,1,Mar 05,0,0,0,0.0
20,1,Mar 06,0,0,0,0.0
21,1,Mar 07,0,0,0,0.0
22,1,Mar 08,0,0,0,0.0
23,1,Mar 09,0,0,0,0.0
24,1,Mar 10,0,0,0,0.0
25,1,Mar 11,0,0,0,0.0
26,1,Mar 12,0,0,0,0.0
27,1,Mar 13,0,0,0,0.0
28,1,Mar 14,0,0,0,0.0
29,12,Mar 15,0,11,0,0.0
30,29,Mar 16,0,17,0,0.0
31,48,Mar 17,0,19,0,0.0
32,56,Mar 18,0,8,0,0.0
33,69,Mar 19,0,13,0,0.0
34,84,Mar 20,0,15,0,0.0
35,100,Mar 21,0,16,0,0.0
36,112,Mar 22,0,12,0,0.0
37,127,Mar 23,0,15,0,0.0
38,154,Mar 24,0,27,0,0.0
39,172,Mar 25,0,18,0,0.0
40,212,Mar 26,0,40,0,0.0
41,235,Mar 27,1,23,1,0.00425531914893617
42,246,Mar 28,1,11,0,0.0040650406504065045
43,259,Mar 29,3,13,2,0.011583011583011582
44,268,Mar 30,5,9,2,0.018656716417910446
45,274,Mar 31,5,6,0,0.01824817518248175
46,278,Apr 01,5,4,0,0.017985611510791366
47,299,Apr 02,5,21,0,0.016722408026755852
48,310,Apr 03,5,11,0,0.016129032258064516
49,323,Apr 04,5,13,0,0.015479876160990712
50,345,Apr 05,5,22,0,0.014492753623188406
51,349,Apr 06,6,4,1,0.017191977077363897
52,353,Apr 07,6,4,0,0.0169971671388102
53,358,Apr 08,6,5,0,0.01675977653631285
54,372,Apr 09,7,14,1,0.01881720430107527
55,372,Apr 10,7,0,0,0.01881720430107527
56,381,Apr 11,7,9,0,0.01837270341207349
57,389,Apr 12,7,8,0,0.017994858611825194
58,391,Apr 13,7,2,0,0.017902813299232736
59,397,Apr 14,7,6,0,0.017632241813602016
60,401,Apr 15,7,4,0,0.017456359102244388
61,402,Apr 16,7,1,0,0.017412935323383085
62,407,Apr 17,7,5,0,0.0171990171990172
63,413,Apr 18,7,6,0,0.01694915254237288
64,417,Apr 19,7,4,0,0.016786570743405275
65,425,Apr 20,7,8,0,0.01647058823529412
66,428,Apr 21,7,3,0,0.016355140186915886
67,435,Apr 22,7,7,0,0.016091954022988506
68,437,Apr 23,7,2,0,0.016018306636155607
69,441,Apr 24,7,4,0,0.015873015873015872
70,444,Apr 25,7,3,0,0.015765765765765764
71,447,Apr 26,7,3,0,0.015659955257270694
72,449,Apr 27,7,2,0,0.015590200445434299
73,449,Apr 28,8,0,1,0.017817371937639197
74,451,Apr 29,8,2,0,0.017738359201773836
75,453,Apr 30,8,2,0,0.017660044150110375
76,459,May 01,8,6,0,0.017429193899782137
77,460,May 02,9,1,1,0.01956521739130435
78,461,May 03,9,1,0,0.019522776572668113
79,465,May 04,9,4,0,0.01935483870967742
80,471,May 05,9,6,0,0.01910828025477707
81,473,May 06,9,2,0,0.019027484143763214
82,494,May 07,9,21,0,0.018218623481781375
