,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,4,Mar 13,0,4,0,0.0
28,6,Mar 14,0,2,0,0.0
29,9,Mar 15,0,3,0,0.0
30,10,Mar 16,0,1,0,0.0
31,33,Mar 17,0,23,0,0.0
32,36,Mar 18,0,3,0,0.0
33,44,Mar 19,0,8,0,0.0
34,52,Mar 20,0,8,0,0.0
35,54,Mar 21,0,2,0,0.0
36,60,Mar 22,0,6,0,0.0
37,62,Mar 23,0,2,0,0.0
38,72,Mar 24,0,10,0,0.0
39,81,Mar 25,0,9,0,0.0
40,113,Mar 26,1,32,1,0.008849557522123894
41,150,Mar 27,1,37,0,0.006666666666666667
42,228,Mar 28,1,78,0,0.0043859649122807015
43,284,Mar 29,1,56,0,0.0035211267605633804
44,302,Mar 30,1,18,0,0.0033112582781456954
45,343,Mar 31,2,41,1,0.0058309037900874635
46,380,Apr 01,3,37,1,0.007894736842105263
47,435,Apr 02,3,55,0,0.006896551724137931
48,464,Apr 03,3,29,0,0.00646551724137931
49,531,Apr 04,5,67,2,0.009416195856873822
50,584,Apr 05,6,53,1,0.010273972602739725
51,662,Apr 06,6,78,0,0.00906344410876133
52,697,Apr 07,6,35,0,0.00860832137733142
53,727,Apr 08,7,30,1,0.009628610729023384
54,781,Apr 09,8,54,1,0.010243277848911651
55,812,Apr 10,10,31,2,0.012315270935960592
56,865,Apr 11,10,53,0,0.011560693641618497
57,951,Apr 12,10,86,0,0.010515247108307046
58,1091,Apr 13,12,140,2,0.010999083409715857
59,1232,Apr 14,14,141,2,0.011363636363636364
60,1295,Apr 15,16,63,2,0.012355212355212355
61,1402,Apr 16,17,107,1,0.012125534950071327
62,1546,Apr 17,17,144,0,0.010996119016817595
63,1615,Apr 18,17,69,0,0.010526315789473684
64,1676,Apr 19,17,61,0,0.010143198090692125
65,1852,Apr 20,19,176,2,0.010259179265658747
66,1995,Apr 21,19,143,0,0.009523809523809525
67,2135,Apr 22,19,140,0,0.008899297423887589
68,2289,Apr 23,20,154,1,0.00873743993010048
69,2416,Apr 24,25,127,5,0.010347682119205299
70,2601,Apr 25,25,185,0,0.009611687812379853
71,2717,Apr 26,25,116,0,0.009201324990798674
72,2835,Apr 27,25,118,0,0.008818342151675485
73,3027,Apr 28,25,192,0,0.008259002312520648
74,3138,Apr 29,25,111,0,0.007966857871255577
75,3402,Apr 30,25,264,0,0.007348618459729571
76,3597,May 01,25,195,0,0.006950236308034473
77,3857,May 02,25,260,0,0.0064817215452424165
78,3920,May 03,27,63,2,0.0068877551020408165
79,4049,May 04,29,129,2,0.0071622622869844405
80,4205,May 05,29,156,0,0.006896551724137931
81,4422,May 06,30,217,1,0.0067842605156037995
82,4578,May 07,30,156,0,0.00655307994757536
