,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,5,Feb 24,0,5,0,0.0
10,11,Feb 25,0,6,0,0.0
11,26,Feb 26,0,15,0,0.0
12,43,Feb 27,0,17,0,0.0
13,45,Feb 28,0,2,0,0.0
14,45,Feb 29,0,0,0,0.0
15,46,Mar 01,0,1,0,0.0
16,56,Mar 02,0,10,0,0.0
17,56,Mar 03,0,0,0,0.0
18,56,Mar 04,0,0,0,0.0
19,58,Mar 05,0,2,0,0.0
20,58,Mar 06,0,0,0,0.0
21,61,Mar 07,0,3,0,0.0
22,64,Mar 08,0,3,0,0.0
23,65,Mar 09,0,1,0,0.0
24,69,Mar 10,0,4,0,0.0
25,72,Mar 11,0,3,0,0.0
26,80,Mar 12,0,8,0,0.0
27,100,Mar 13,0,20,0,0.0
28,104,Mar 14,0,4,0,0.0
29,112,Mar 15,0,8,0,0.0
30,123,Mar 16,0,11,0,0.0
31,130,Mar 17,0,7,0,0.0
32,142,Mar 18,0,12,0,0.0
33,148,Mar 19,0,6,0,0.0
34,159,Mar 20,0,11,0,0.0
35,176,Mar 21,0,17,0,0.0
36,188,Mar 22,0,12,0,0.0
37,189,Mar 23,0,1,0,0.0
38,191,Mar 24,0,2,0,0.0
39,195,Mar 25,0,4,0,0.0
40,208,Mar 26,0,13,0,0.0
41,225,Mar 27,0,17,0,0.0
42,235,Mar 28,0,10,0,0.0
43,255,Mar 29,0,20,0,0.0
44,266,Mar 30,0,11,0,0.0
45,289,Mar 31,0,23,0,0.0
46,317,Apr 01,0,28,0,0.0
47,342,Apr 02,0,25,0,0.0
48,417,Apr 03,0,75,0,0.0
49,479,Apr 04,1,62,1,0.0020876826722338203
50,556,Apr 05,1,77,0,0.0017985611510791368
51,665,Apr 06,1,109,0,0.0015037593984962407
52,743,Apr 07,1,78,0,0.0013458950201884253
53,855,Apr 08,1,112,0,0.0011695906432748538
54,910,Apr 09,1,55,0,0.001098901098901099
55,993,Apr 10,1,83,0,0.0010070493454179255
56,1154,Apr 11,1,161,0,0.0008665511265164644
57,1234,Apr 12,1,80,0,0.0008103727714748784
58,1300,Apr 13,2,66,1,0.0015384615384615385
59,1355,Apr 14,3,55,1,0.002214022140221402
60,1405,Apr 15,3,50,0,0.002135231316725979
61,1524,Apr 16,3,119,0,0.001968503937007874
62,1658,Apr 17,5,134,2,0.0030156815440289505
63,1751,Apr 18,6,93,1,0.0034266133637921186
64,1915,Apr 19,7,164,1,0.0036553524804177544
65,1995,Apr 20,9,80,2,0.004511278195488722
66,2080,Apr 21,11,85,2,0.005288461538461539
67,2248,Apr 22,13,168,2,0.005782918149466192
68,2399,Apr 23,14,151,1,0.005835764902042517
69,2614,Apr 24,15,215,1,0.005738332058148432
70,2892,Apr 25,19,278,4,0.00656984785615491
71,3075,Apr 26,20,183,1,0.0065040650406504065
72,3288,Apr 27,22,213,2,0.006690997566909975
73,3440,Apr 28,23,152,1,0.006686046511627907
74,3740,Apr 29,24,300,1,0.006417112299465241
75,4024,Apr 30,26,284,2,0.0064612326043737576
76,4377,May 01,30,353,4,0.006854009595613434
77,4619,May 02,33,242,3,0.007144403550552067
78,4983,May 03,38,364,5,0.00762592815572948
79,5278,May 04,40,295,2,0.007578628268283441
80,5804,May 05,40,526,0,0.006891798759476223
81,6289,May 06,42,485,2,0.0066783272380346636
82,6567,May 07,44,278,2,0.006700167504187605
