,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,0,Mar 16,0,0,0,0.0
31,0,Mar 17,0,0,0,0.0
32,3,Mar 18,0,3,0,0.0
33,3,Mar 19,0,0,0,0.0
34,6,Mar 20,0,3,0,0.0
35,14,Mar 21,0,8,0,0.0
36,14,Mar 22,0,0,0,0.0
37,16,Mar 23,0,2,0,0.0
38,42,Mar 24,0,26,0,0.0
39,44,Mar 25,0,2,0,0.0
40,44,Mar 26,0,0,0,0.0
41,58,Mar 27,0,14,0,0.0
42,58,Mar 28,0,0,0,0.0
43,84,Mar 29,0,26,0,0.0
44,94,Mar 30,0,10,0,0.0
45,107,Mar 31,0,13,0,0.0
46,111,Apr 01,0,4,0,0.0
47,116,Apr 02,0,5,0,0.0
48,130,Apr 03,1,14,0,0.007692307692307693
49,144,Apr 04,1,14,0,0.006944444444444444
50,147,Apr 05,1,3,0,0.006802721088435374
51,216,Apr 06,4,69,3,0.018518518518518517
52,228,Apr 07,4,12,0,0.017543859649122806
53,270,Apr 08,4,42,0,0.014814814814814815
54,280,Apr 09,4,10,0,0.014285714285714285
55,298,Apr 10,5,18,1,0.016778523489932886
56,339,Apr 11,5,41,0,0.014749262536873156
57,377,Apr 12,5,38,0,0.013262599469496022
58,419,Apr 13,5,42,0,0.011933174224343675
59,430,Apr 14,5,11,0,0.011627906976744186
60,449,Apr 15,5,19,0,0.011135857461024499
61,466,Apr 16,5,17,0,0.01072961373390558
62,489,Apr 17,5,23,0,0.010224948875255624
63,506,Apr 18,5,17,0,0.009881422924901186
64,554,Apr 19,5,48,0,0.009025270758122744
65,568,Apr 20,7,14,2,0.01232394366197183
66,590,Apr 21,7,22,0,0.011864406779661017
67,612,Apr 22,7,22,0,0.011437908496732025
68,631,Apr 23,8,19,1,0.012678288431061807
69,656,Apr 24,8,25,0,0.012195121951219513
70,665,Apr 25,8,9,0,0.012030075187969926
71,682,Apr 26,8,17,0,0.011730205278592375
72,695,Apr 27,8,13,0,0.011510791366906475
73,708,Apr 28,8,13,0,0.011299435028248588
74,729,Apr 29,8,21,0,0.010973936899862825
75,746,Apr 30,8,17,0,0.010723860589812333
76,756,May 01,8,10,0,0.010582010582010581
77,769,May 02,8,13,0,0.010403120936280884
78,795,May 03,10,26,2,0.012578616352201259
79,830,May 04,10,35,0,0.012048192771084338
80,843,May 05,11,13,1,0.013048635824436536
81,871,May 06,12,28,1,0.013777267508610792
82,895,May 07,12,24,0,0.013407821229050279
