,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,1,Mar 02,0,1,0,0.0
17,1,Mar 03,0,0,0,0.0
18,1,Mar 04,0,0,0,0.0
19,1,Mar 05,0,0,0,0.0
20,1,Mar 06,0,0,0,0.0
21,1,Mar 07,0,0,0,0.0
22,3,Mar 08,0,2,0,0.0
23,6,Mar 09,0,3,0,0.0
24,8,Mar 10,0,2,0,0.0
25,10,Mar 11,0,2,0,0.0
26,16,Mar 12,0,6,0,0.0
27,17,Mar 13,0,1,0,0.0
28,26,Mar 14,0,9,0,0.0
29,30,Mar 15,0,4,0,0.0
30,34,Mar 16,0,4,0,0.0
31,60,Mar 17,0,26,0,0.0
32,71,Mar 18,0,11,0,0.0
33,86,Mar 19,0,15,0,0.0
34,111,Mar 20,0,25,0,0.0
35,124,Mar 21,0,13,0,0.0
36,139,Mar 22,0,15,0,0.0
37,180,Mar 23,0,41,0,0.0
38,197,Mar 24,0,17,0,0.0
39,221,Mar 25,0,24,0,0.0
40,244,Mar 26,0,23,0,0.0
41,280,Mar 27,0,36,0,0.0
42,305,Mar 28,0,25,0,0.0
43,347,Mar 29,0,42,0,0.0
44,376,Mar 30,0,29,0,0.0
45,398,Mar 31,0,22,0,0.0
46,446,Apr 01,0,48,0,0.0
47,458,Apr 02,0,12,0,0.0
48,493,Apr 03,1,35,1,0.002028397565922921
49,509,Apr 04,1,16,0,0.0019646365422396855
50,533,Apr 05,1,24,0,0.001876172607879925
51,542,Apr 06,1,9,0,0.0018450184501845018
52,548,Apr 07,2,6,1,0.0036496350364963502
53,577,Apr 08,2,29,0,0.0034662045060658577
54,589,Apr 09,3,12,1,0.0050933786078098476
55,612,Apr 10,3,23,0,0.004901960784313725
56,630,Apr 11,3,18,0,0.004761904761904762
57,651,Apr 12,5,21,2,0.007680491551459293
58,655,Apr 13,5,4,0,0.007633587786259542
59,657,Apr 14,5,2,0,0.0076103500761035
60,666,Apr 15,5,9,0,0.0075075075075075074
61,675,Apr 16,5,9,0,0.007407407407407408
62,682,Apr 17,5,7,0,0.007331378299120235
63,712,Apr 18,5,30,0,0.007022471910112359
64,727,Apr 19,5,15,0,0.0068775790921595595
65,739,Apr 20,5,12,0,0.006765899864682003
66,748,Apr 21,9,9,4,0.012032085561497326
67,761,Apr 22,11,13,2,0.01445466491458607
68,778,Apr 23,11,17,0,0.014138817480719794
69,784,Apr 24,12,6,1,0.015306122448979591
70,804,Apr 25,12,20,0,0.014925373134328358
71,812,Apr 26,12,8,0,0.014778325123152709
72,818,Apr 27,13,6,1,0.01589242053789731
73,836,Apr 28,13,18,0,0.01555023923444976
74,849,Apr 29,15,13,2,0.0176678445229682
75,858,Apr 30,15,9,0,0.017482517482517484
76,870,May 01,16,12,1,0.01839080459770115
77,871,May 02,16,1,0,0.018369690011481057
78,879,May 03,16,8,0,0.01820250284414107
79,896,May 04,16,17,0,0.017857142857142856
80,896,May 05,17,0,1,0.018973214285714284
81,900,May 06,17,4,0,0.01888888888888889
82,909,May 07,18,9,1,0.019801980198019802
