,Cases,Dates,Deaths,Daily Cases,Daily Deaths,CFR
0,0,Feb 15,0,0,0,0.0
1,0,Feb 16,0,0,0,0.0
2,0,Feb 17,0,0,0,0.0
3,0,Feb 18,0,0,0,0.0
4,0,Feb 19,0,0,0,0.0
5,0,Feb 20,0,0,0,0.0
6,0,Feb 21,0,0,0,0.0
7,0,Feb 22,0,0,0,0.0
8,0,Feb 23,0,0,0,0.0
9,0,Feb 24,0,0,0,0.0
10,0,Feb 25,0,0,0,0.0
11,0,Feb 26,0,0,0,0.0
12,0,Feb 27,0,0,0,0.0
13,0,Feb 28,0,0,0,0.0
14,0,Feb 29,0,0,0,0.0
15,0,Mar 01,0,0,0,0.0
16,0,Mar 02,0,0,0,0.0
17,0,Mar 03,0,0,0,0.0
18,0,Mar 04,0,0,0,0.0
19,0,Mar 05,0,0,0,0.0
20,0,Mar 06,0,0,0,0.0
21,0,Mar 07,0,0,0,0.0
22,0,Mar 08,0,0,0,0.0
23,0,Mar 09,0,0,0,0.0
24,0,Mar 10,0,0,0,0.0
25,0,Mar 11,0,0,0,0.0
26,0,Mar 12,0,0,0,0.0
27,0,Mar 13,0,0,0,0.0
28,0,Mar 14,0,0,0,0.0
29,0,Mar 15,0,0,0,0.0
30,1,Mar 16,0,1,0,0.0
31,2,Mar 17,0,1,0,0.0
32,2,Mar 18,0,0,0,0.0
33,2,Mar 19,0,0,0,0.0
34,2,Mar 20,0,0,0,0.0
35,3,Mar 21,0,1,0,0.0
36,3,Mar 22,0,0,0,0.0
37,3,Mar 23,0,0,0,0.0
38,3,Mar 24,0,0,0,0.0
39,3,Mar 25,0,0,0,0.0
40,3,Mar 26,0,0,0,0.0
41,3,Mar 27,0,0,0,0.0
42,3,Mar 28,0,0,0,0.0
43,3,Mar 29,0,0,0,0.0
44,3,Mar 30,0,0,0,0.0
45,3,Mar 31,0,0,0,0.0
46,6,Apr 01,0,3,0,0.0
47,6,Apr 02,0,0,0,0.0
48,7,Apr 03,0,1,0,0.0
49,10,Apr 04,1,3,0,0.1
50,13,Apr 05,3,3,2,0.23076923076923078
51,14,Apr 06,3,1,0,0.21428571428571427
52,14,Apr 07,3,0,0,0.21428571428571427
53,31,Apr 08,4,17,1,0.12903225806451613
54,31,Apr 09,4,0,0,0.12903225806451613
55,37,Apr 10,5,6,1,0.13513513513513514
56,48,Apr 11,5,11,0,0.10416666666666667
57,50,Apr 12,5,2,0,0.1
58,59,Apr 13,6,9,1,0.1016949152542373
59,59,Apr 14,6,0,0,0.1016949152542373
60,59,Apr 15,6,0,0,0.1016949152542373
61,59,Apr 16,6,0,0,0.1016949152542373
62,76,Apr 17,7,17,1,0.09210526315789473
63,76,Apr 18,7,0,0,0.09210526315789473
64,91,Apr 19,8,15,1,0.08791208791208792
65,99,Apr 20,8,8,0,0.08080808080808081
66,101,Apr 21,8,2,0,0.07920792079207921
67,101,Apr 22,8,0,0,0.07920792079207921
68,101,Apr 23,8,0,0,0.07920792079207921
69,117,Apr 24,8,16,0,0.06837606837606838
70,120,Apr 25,11,3,3,0.09166666666666666
71,124,Apr 26,12,4,1,0.0967741935483871
72,124,Apr 27,12,0,0,0.0967741935483871
73,141,Apr 28,16,17,4,0.11347517730496454
74,141,Apr 29,16,0,0,0.11347517730496454
75,141,Apr 30,16,0,0,0.11347517730496454
76,152,May 01,18,11,2,0.11842105263157894
77,154,May 02,18,2,0,0.11688311688311688
78,158,May 03,18,4,0,0.11392405063291139
79,166,May 04,18,8,0,0.10843373493975904
80,170,May 05,20,4,2,0.11764705882352941
81,178,May 06,20,8,0,0.11235955056179775
82,189,May 07,20,11,0,0.10582010582010581
